// This file must be encoded with UTF-8 (e.g. with Windows Notepad)
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'fr' for French
// Format is: English string<tab>Translated string<newline>
Contrast	Kontrast
Brightness	Helligkeit
Sharpen	Schärfen
Lighten Shadows	Schatten aufhellen
Darken Highlights	Lichter abdunkeln
Deep Shadows	Tiefschatten
Color Correction	Farbkorrektur
Contrast Correction	Kontrastkorrektur
Parameter DB:	Parameter DB:
Save to	Speichern
Remove from	Entfernen
Rename:	Umbenennen:
No file or folder name was provided as command line parameter!	Es wurde kein Datei- oder Ordnername als Kommandozeilenparameter angegeben!
To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	Um JPEGView zu verwenden, müssen die Dateitypen JPG, JPEG und BMP mit JPEGView verknüpft werden.
Press ESC to exit...	ESC drücken zum Beenden...
The file '%s' could not be read!	Die Datei '%s' kann nicht gelesen werden!
The file '%s' does not contain a list of file names!	Die Datei '%s' enthält keine Liste von Dateinamen!
The directory '%s' does not contain any image files!	Der Ordner '%s' enthält keine Bilddateien!
Press any key to search the subdirectories for image files.	Bitte eine Taste drücken, um in Unterordnern nach Bilddateien zu suchen.
JPEGView Help	JPEGView Hilfe
Current image	Aktuelles Bild
Close help text display / Close JPEGView	Hilfetextanzeige schliessen / JPEGView beenden
Show/hide this help text	Hilfetext anzeigen / schliessen
Show/hide picture information (EXIF data)	Bild-Informationen anzeigen (EXIF Daten)
Show/hide file name	Dateiname anzeigen / nicht anzeigen
Enable/disable high quality resampling	Hochwertiges Resampling einschalten/ausschalten
Enable/disable keeping of geometry related (zoom/pan/rotation)	Geometrieparameter (Zoom/Pan/Rotation) und Bildbearbeitungsparameter
and image processing (brightness/contrast/sharpen) parameters between images	(Helligkeit/Kontrast/usw) beim Bildwechsel beibehalten/zurücksetzen.
Enable/disable automatic contrast correction (histogram equalization)	Automatische Kontrastkorrektur einschalten / ausschalten (Histogrammequalisierung)
Apply auto contrast correction using only visible section of image	Auto-Kontrastkorrektur nur auf sichtbaren Bildausschnitt anwenden
Enable/disable automatic density correction (local brightness correction)	Automatische Helligkeitskorrektur ein- / ausschalten (LDC)
Increase/decrease lightening of shadows (LDC must be on)	Schatten stärker/schwächer aufhellen (LDC muss eingeschaltet sein)
Increase/decrease darkening of highlights (LDC must be on)	Lichter stärker/schwächer abdunkeln (LDC muss eingeschaltet sein)
Loop through files in current folder	Alle Dateien im aktuellen Ordner anzeigen
Loop through files in current directory and all subfolders	Alle Dateien im aktuellen Ordner und allen Unterordnern anzeigen
Loop through files in current directory and all sibling folders (folders on same level)	Alle Dateien im aktuellen Ordner und in Ordnern auf derselben Ebene anzeigen
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	Anzeige auf alle Bildschirme ausdehnen / Ursprungsgrösse wiederherstellen
Copy screen to clipboard/ Copy processed full size image to clipboard	Bildschirmbild in Zwischenablage kopieren/ Bearbeitetes Bild in Originalgrösse kopieren
Open new image or slideshow file	Neues Bild, Ordner oder Bildliste für Diaschau öffnen
Save processed image to JPEG file (original size)	Bearbeitetes Bild als JPEG Datei speichern (Originalgrösse)
Save (%s)/ delete (%s) image processing parameters in/from parameter DB	Speichern (%s) der Bildparameter in die Parameter DB, bzw. Löschen (%s) der Parameter
Sort images by creation date, resp. modification date, resp. file name	Bilder nach Erstellungsdatum, Änderungsdatum oder Dateinamen sortieren
Goto previous image	Voriges Bild anzeigen
Goto next image	Nächstes Bild anzeigen
PgUp or Left	PgUp oder Pfeil links
