// This file must be encoded with UTF-8 (e.g. with Windows Notepad)	
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'fr' for French	
// Format is: English string<tab>Translated string<newline>	
Contrast	Contraste
Brightness	Gamma
Sharpen	Netteté
Lighten Shadows	Eclaircir les sombres
Darken Highlights	Assombrir les clairs
Deep Shadows	Sombres profonds
Color Correction	Correction des couleurs
Contrast Correction	Correction du contraste
Parameter DB:	DB traitements :
Save to	Enregistrer
Remove from	Supprimer
Rename:	Renommer :
No file or folder name was provided as command line parameter!	Il n'y aucun nom de fichier ou de dossier en paramètre de la ligne de commande !
To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	Pour utiliser JPEGView, associez les formats JPG, JPEG et BMP avec JPEGView.
Press ESC to exit...	Appuyez sur Echap pour quitter...
The file '%s' could not be read!	Le fichier '%s' n'a pas pu être lu !
The file '%s' does not contain a list of file names!	Le fichier '%s' ne contient pas de liste de noms de fichiers !
The directory '%s' does not contain any image files!	Le répertoire '%s' ne contient aucun fichier image !
Press any key to search the subdirectories for image files.	Appuyez sur une touche pour rechercher des fichiers images dans les sous-répertoires.
JPEGView Help	Aide JPEGView
Current image	Image courante
Close help text display / Close JPEGView	Fermer l'aide / Fermer JPEGView
Show/hide this help text	Afficher/masquer l'aide
Show/hide picture information (EXIF data)	Afficher/masquer les informations sur l'image (données EXIF)
Show/hide file name	Afficher/masquer le nom du fichier
Enable/disable high quality resampling	Activer/désactiver le rééchantillonnage haute qualité
Enable/disable keeping of geometry related (zoom/pan/rotation)	Activer/désactiver le maintien des traitements géométriques (zoom / panoramique / rotation)
and image processing (brightness/contrast/sharpen) parameters between images	et de visualisation (contraste / gamma / netteté) d'une image à l'autre
Enable/disable automatic contrast correction (histogram equalization)	Activer/désactiver la correction automatique du contraste (égalisation de l'histogramme)
Apply auto contrast correction using only visible section of image	Appliquer la correction automatique du contraste en utilisant uniquement la partie visible de l'image
Enable/disable automatic density correction (local brightness correction)	Activer/désactiver les corrections sombres et clairs (luminosité locale)
Increase/decrease lightening of shadows (LDC must be on)	Augmenter/diminuer l'éclaircissement des sombres (LDC doit être actif)
Increase/decrease darkening of highlights (LDC must be on)	Augmenter/diminuer l'assombrissement des clairs (LDC doit être actif)
Loop through files in current folder	Parcourir les fichiers du dossier courant
Loop through files in current directory and all subfolders	Parcourir les fichiers du dossier courant et de ses sous-dossiers
Loop through files in current directory and all sibling folders (folders on same level)	Parcourir les fichiers du dossier courant et de ses dossiers frères (dossiers au même niveau)
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	Agrandir/Restaurer le bureau virtuel (uniquement si plusieurs écrans)
Copy screen to clipboard/ Copy processed full size image to clipboard	Copier l'image traitée (capture écran ou taille réelle)
Open new image or slideshow file	Ouvrir une image ou un diaporama
Save processed image to JPEG file (original size)	Enregistrer l'image traitée en JPEG (taille originale)
Save (%s)/ delete (%s) image processing parameters in/from parameter DB	Sauvegarder (%s)/supprimer (%s) le traitement pour cette image dans la DB
Sort images by creation date, resp. modification date, resp. file name	Trier les images par date de création, date de modification, nom du fichier
Goto previous image	Image précédente
Goto next image	Image suivante
PgUp or Left	Pg.Préc ou Gauche
PgDn or Right	Pg.Suiv ou Droite
Goto first/last image of current folder (using sort order as defined)	Aller à la première/dernière image du dossier en cours (selon l'ordre de tri défini)
Increase/decrease brightness	Augmenter/diminuer le gamma
Increase/decrease contrast	Augmenter/diminuer le contraste
Increase/decrease sharpness	Augmenter/diminuer la netteté
Increase/decrease auto color cast correction amount	Augmenter/diminuer la correction automatique des couleurs
Increase/decrease auto contrast correction amount	Augmenter/diminuer la correction automatique du contraste
Enable/disable landscape picture enhancement mode	Activer/désactiver le mode LDC (amélioration des paysages)
Slide show with timeout of n seconds (ESC to stop)	Diaporama avec délai de n secondes (Echap pour arrêter)
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	Configurer le délai respectivement à n/10 sec, n/100 sec (Ctrl+Maj)
Rotate image and fit to screen	Pivoter et ajuster l'image à la fenêtre
Fit image to screen	Ajuster l'image à l'écran
Zoom 1:1 (100 %)	Zoom 1:1 (100%)
Zoom in (%s)/Zoom out (%s)	Zoom avant (%s)/Zoom arrière (%s)
Zoom in/out image	Zoom avant/arrière sur l'image
Pan image	Parcourir l'image
Crop image	Recadrer
Next image	Image suivante
Previous image	Image précédente
up/down	haut/bas
Mouse wheel	Molette de la souris
Left mouse & drag	Clic gauche et déplacer
Ctrl + Left mouse	Ctrl + Clic gauche
Forward mouse button	Bouton Avant de la souris
Back mouse button	Bouton Arrière de la souris
Delete current file on disk permanently	Supprimer le fichier définitivement
Rotate current file on disk lossless by 90 deg (W/H must be multiple of 16)	Pivoter de 90° (sans perte si largeur / hauteur multiple de 16) et enregistrer le fichier
Rotate current file on disk lossless by 270 deg (W/H must be multiple of 16)	Pivoter de 270° (sans perte si largeur / hauteur multiple de 16) et enregistrer le fichier
The file is read-only!	Le fichier est en lecture seule !
Can't rename file	Impossible de renommer le fichier
New name contains backslash character!	Le nouveau nom contient un caractère anti-slash !
Renaming file failed!	Le renommage a échoué !
Reason: 	Raison : 
on	marche
off	arrêt
Do you really want to save the following parameters as default to the INI file	Confirmer la sauvegarde par défaut de ces réglages dans le fichier INI
Auto contrast and color correction: 	Corrections couleurs et contrastes : 
Local density correction: 	Corrections sombres et clairs : 
Order files by: 	Tri des fichiers par : 
Creation date/time	Date de création
Last modification date/time	Date de dernière modification
File name	Nom du fichier
These values will override the values from the INI file located in the program folder of JPEGView!	Ce fichier INI utilisateur aura priorité sur le fichier INI du dossier programme de JPEGView.
Confirm save default parameters	Confirmer la sauvegarde des réglages dans le fichier INI
Images	Images
All Files	Tous les fichiers
Parameter DB file '%s' could not be opened!	Le fichier DB traitements '%s' n'a pas pu être ouvert !
