// This file must be encoded with UTF-8 (e.g. with Windows Notepad)
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'fr' for French
// Format is: English string<tab>Translated string<newline>
// This file is distributed under the same license as the JPEGView package
//Language=Japanese
//TranslatorName=Hiroyuki Matenokoji, maboroshin
//Contact=none
//TranslatorURL=https://pc.genkaku.in/
//LastUpdated=Mar 14, 2022
// 1st Japanese translation : by Hiroyuki Matenokoji. (2015)
// 2nd translator: Japanese by maboroshin (2019-2022, Adjustment, and translate little new part)
Contrast	コントラスト
Brightness	明るさ
Sharpen	シャープ
Lighten Shadows	シャドーを明るく
Darken Highlights	ハイライトを暗く
Deep Shadows	最も暗い部分
Color Correction	色補正
Contrast Correction	コントラストの調整
Parameter DB:	パラメーターファイル:
Save to	保存
Remove from	削除
Rename:	名前の変更
No file or folder name was provided as command line parameter!	コマンド中にファイル名かフォルダ名の指定がありません
To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	JPEGView を使うには、JPG、JPEG、BMPファイルを JPEGViewに 関連付けしてください
Press ESC to exit...	F1: ヘルプ, ESC で終了...
The file '%s' could not be read!	 このファイルを読み込めません。 %s
The file '%s' does not contain a list of file names!	このファイル内にファイル名の一覧はありません。 %s
The directory '%s' does not contain any image files!	このフォルダに画像ファイルはありません。 %s
Press any key to search the subdirectories for image files.	サブフォルダ内の画像を探索するには何かキーを押します。
JPEGView Help	JPEGView ヘルプ
Current image	表示中の画像
Close help text display / Close JPEGView	ヘルプを閉じる / JPEGView の終了
Show/hide this help text	このヘルプを表示/非表示
Show/hide picture information (EXIF data)	画像情報 (EXIF) を表示/非表示
Show/hide file name	ファイル名を表示/非表示
Enable/disable high quality resampling	高品質表示を有効化/無効化
Enable/disable keeping of geometry related (zoom/pan/rotation)	拡大・縮小・回転でGPS座標情報を保持する/しない
and image processing (brightness/contrast/sharpen) parameters between images	明るさ、コントラスト、シャープのパラメーターを保持
Enable/disable automatic contrast correction (histogram equalization)	コントラストの自動補正 (ヒストグラム均等化) を有効化/無効化
Apply auto contrast correction using only visible section of image	可視部分のコントラストを自動補正
Enable/disable automatic density correction (local brightness correction)	色濃度の自動補正 (明るさ調整) を有効化/無効化
Increase/decrease lightening of shadows (LDC must be on)	影を明るく/暗く (LDC がオンの場合)
Increase/decrease darkening of highlights (LDC must be on)	ハイライトを暗く/明るく (LDC がオンの場合)
Loop through files in current folder	フォルダ内を巡回
Loop through files in current directory and all subfolders	すべての下位フォルダも巡回
Loop through files in current directory and all sibling folders (folders on same level)	同列のフォルダも巡回
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	最大化/復元 (マルチモニター環境のみ)
Copy screen to clipboard/ Copy processed full size image to clipboard	画面をクリップボードにコピー/加工したフルサイズ画像をクリップボードにコピー
Open new image or slideshow file	画像またはスライドショーを開く
Save processed image to JPEG file (original size)	加工した画像をJPEGファイルに保存
Save (%s)/ delete (%s) image processing parameters in/from parameter DB	画像加工のパラメーターを保存(%s)/削除(%s) 
Sort images by creation date, resp. modification date, resp. file name	作成日時/更新日時/ファイル名で画像を並び替え
Goto previous image	前の画像
Goto next image	次の画像
PgUp or Left	PgUp または 左矢印
PgDn or Right	PgDown または 右矢印
Goto first/last image of current folder (using sort order as defined)	フォルダ内の最初/最後の画像 (表示順に従う)
Increase/decrease brightness	明るさの増減
Increase/decrease contrast	コントラストの増減
Increase/decrease sharpness	シャープの増減
Increase/decrease auto color cast correction amount	色の自動補正量の増減
Increase/decrease auto contrast correction amount	コントラストの自動補正量の増減
Enable/disable landscape picture enhancement mode	風景画像の改善モードを有効化/無効化
Slide show with timeout of n seconds (ESC to stop)	スライドショー切り替えの秒間隔 (ESCキーで停止)
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	秒間隔を 1/10秒で設定、Ctrl+Shift で 1/100秒
Rotate image and fit to screen	画像の回転と画面にフィット
Fit image to screen	画像を画面にフィット
Zoom 1:1 (100 %)	実寸表示 1:1 (100%)
Zoom in (%s)/Zoom out (%s)	拡大(%s)/縮小(%s)
Zoom in/out image	拡大/縮小
Pan image	全画面表示
Crop image	切り取り
Next image	次の画像
Previous image	前の画像
up/down	上/下
Mouse wheel	マウスホイール
Left mouse & drag	マウスの左クリックでドラッグ
Ctrl + L mouse		Ctrl + マウスの左クリック
Forward mouse button	マウスの進むボタン
Back mouse button	マウスの戻るボタン
Delete current file on disk permanently	表示中の画像ファイルを完全に削除
Rotate current file on disk lossless by 90 deg (W/H must be multiple of 16)	表示中の画像をロスレスで90度回転 (縦横サイズは16の倍数にすべき)
Rotate current file on disk lossless by 270 deg (W/H must be multiple of 16)	表示中の画像をロスレスで270度回転 (縦横サイズは16の倍数にすべき)
The file is read-only!	このファイルは読み取り専用です。
Can't rename file	名前を変更できません
New name contains backslash character!	改名先の名前にバックスラッシュ \ が含まれています。
Renaming file failed!	名前の変更に失敗
Reason: 	原因: 
on	オン
off	オフ
Do you really want to save the following parameters as default to the INI file	以下のパラメーターを規定としてINIファイルに保存しますか？
Auto contrast and color correction:	自動でコントラストと色を補正:
Local density correction:	色濃度の補正:
Order files by:	ファイルの順序:
Creation date/time	作成日時
Last modification date/time	最終更新日時
File name	ファイル名
These values will override the values from the INI file located in the program folder of JPEGView!	このパラメーターはJPEGViewフォルダ内のINIファイルの設定よりも優先されます
Confirm save default parameters	既定のパラメーターの保存を確認
Images	画像
All Files	すべてのファイル
Parameter DB file '%s' could not be opened!	パラメーターファイルが開けません。 %s
Parameter DB file '%s' is not valid (invalid header)!	パラメーターファイルが無効です。 %s
Cannot write to parameter DB file '%s'!	パラメーターファイルに書き込めません。 %s
Cannot read from parameter DB file '%s'!	パラメーターファイルを読み込めません。 %s
Cannot read parameter DB file '%s' because it is too large!	パラメーターファイルが大きすぎます。 %s
The parameter DB file '%s' has been created by a newer version of JPEGView!	パラメーターファイル %s が新しいバージョンの JPEGView で作成されています。
The old parameter DB file '%s' could not be renamed during conversion to new format!	古い形式のパラメーターファイル %s を新しい形式に変換できません。
Parameter DB error	パラメーターファイルのエラー
Error saving file	ファイル保存エラー
Error writing file to disk!	ファイル書き込みエラー
Confirm	確認
Do you really want to permanently delete the file %filename%?	本当に完全に削除しますか？ \n%filename%
Rotate the following file lossless by 90 deg?\n%filename%	画像をロスレスで90度回転しますか？ \n%filename%
Rotate the following file lossless by 270 deg?\n%filename%	画像をロスレスで270度回転しますか？ \n%filename%
Open image...	画像ファイルを開く...
Save processed image...	加工した画像を保存...
Reload image	画像を再読み込み
Copy to clipboard	クリップボードにコピー
Copy original size image	元のサイズのままコピー
Paste from clipboard	クリップボードから貼り付け
Batch rename/copy...	一括で改名/コピー...
Show picture info (EXIF)	画像情報(EXIF)を表示
Show filename	ファイル名を表示
Navigation	巡回先
Loop folder	フォルダ内を巡回
Loop recursively	下位フォルダも巡回
Loop siblings	同列のフォルダも巡回
Display order	表示順
Modification date	更新日時
Creation date	作成日時
Play folder as slideshow/movie	スライドショー/動画でフォルダを表示
Slideshow	スライドショー
Movie	動画
Waiting time	待ち時間
Stop slide show/movie	スライドショー/動画を停止
Rotate +90	+90度回転
Rotate -90	-90度回転
Rotate 180	180度回転
Auto correction	自動補正
Local density correction	色濃度の補正
Keep parameters	パラメーターを保持
Set current parameters as default values...	現在のパラメーターを規定に設定...
Save parameters to DB	パラメーターデータを記憶
Clear parameters from DB	パラメーターデータの記憶を消去
Zoom	拡大
Fit to screen	画面にフィット
Fill with crop	黒枠を切り抜いてフィット
Span all screens	マルチモニター横断
Auto zoom mode	自動拡大の方法
Fit to screen (no zoom)	画面にフィット (拡大なし)
Fill with crop (no zoom)	黒枠を切り抜いてフィット (拡大なし)
Exit	終了
Cyan-Red	シアン/赤
Magenta-Green	マゼンタ/緑
Yellow-Blue	イエロー/青
C - R	C - V
M - G	M - V
Y - B	A - A
Batch rename/copy of files	ファイルを一括で改名/コピー
Image files in folder	このフォルダ内の画像ファイル: 
Placeholders:	引数の使用:
Number (consecutively numbered)	通し番号
Number with N digits	N桁の番号
Extracted number from original file name	元のファイル名中の数値 (最初の数値の連続のみ)
Original file name (with extension)	元のファイル名(拡張子含む)
Original file name (without extension)	元のファイル名(拡張子除く)
Original file extension	元のファイルの拡張子
'My Pictures' folder	「ピクチャ」フォルダ
Day / Month / Year (as numbers)	日 / 月 / 年 (数字)
Year short form (2 digits)	年数2桁
Month / Short form (text)	数字+月 / 月の数字のみ (システムの言語による)
Target folders that are not yet existing are created as needed.	存在しないフォルダは作成されます。
Date placeholders use the modification date of the image.	引数の日付は画像の更新日時を使用します。
Rename/copy images to:	変更先のパスやファイル名:
Rename	変更を実行
Preview	プレビュー
Save as template	テンプレートとして保存
Close	閉じる
Old name	元の名前
Date	日付
New name (>> : file gets copied)	新しい名前 (>> : コピー先)
Select all	すべて選択
Select none	すべて選択解除
The file '%s' could not be %s.	%s ファイルは %s できません。
copied	コピー
renamed	改名
Continue rename/copy?	改名/コピーを続けますか？
Error during rename/copy	改名/コピーのエラー
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d個を改名 %d個をコピー %d個のフォルダを作成
Crop Selection	選択範囲を切り取り
Copy Selection to Clipboard	選択範囲をクリップボードにコピー
Zoom to Selection	選択範囲を拡大
Pasting image from clipboard failed!	クリップボードからの貼り付けに失敗
Image width:	画像の幅:
Image height:	画像の高さ:
