// This file must be encoded with UTF-8 (e.g. with Windows Notepad)
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'fr' for French
// Format is: English string<tab>Translated string<newline>
// Translated by Sérgio Marques, 2011
// This file is distributed under the same license as the JPEGView package
// Portuguese translation of JPEGView package
Contrast	Contraste
Brightness	Brilho
Sharpen	Nitidez
Lighten Shadows	Sombras leves 
Darken Highlights	Sombras médias
Deep Shadows	Sombras profundas
Color Correction	Correção de cores
Contrast Correction	Correção de contraste
Parameter DB:	Parâmetros da BD:
Save to	Gravar como
Remove from	Remover de
Rename:	Mudar nome:
No file or folder name was provided as command line parameter!	Não indicou o nome do ficheiro ou pasta como parâmetro da linha de comandos!
To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	Para utilizar o JPEGView, associe as extensões JPG, JPEG e BMP ao JPEGView
Press ESC to exit...	Prima ESC para sair...
The file '%s' could not be read!	O ficheiro "%s" não pôde ser lido!
The file '%s' does not contain a list of file names!	O ficheiro "%s" não contém uma lista de nomes de ficheiro!
The directory '%s' does not contain any image files!	A pasta "%s" não possui imagens!
Press any key to search the subdirectories for image files.	Prima qualquer tecla para procurar imagens nas subpastas.
JPEGView Help	Ajuda do JPEGView
Current image	Imagem atual
Close help text display / Close JPEGView	Fechar texto de ajuda / Fechar JPEGView
Show/hide this help text	Mostrar/ocultar este texto de ajuda
Show/hide picture information (EXIF data)	Mostrar/ocultar informações da imagem
Show/hide file name	Mostrar/ocultar nome do ficheiro
Enable/disable high quality resampling	Ativar/desativar algoritmo de alta qualidade
Enable/disable keeping of geometry related (zoom/pan/rotation)	Ativar/desativar a manutenção da geometria (tamanho/pan/rotação)
and image processing (brightness/contrast/sharpen) parameters between images	e os parâmetros de imagens (brilho/contraste/nitidez)
Enable/disable automatic contrast correction (histogram equalization)	Ativar/desativar correção automática de contraste (equalização de histograma)
Apply auto contrast correction using only visible section of image	Aplicar correção automática de contraste na secção da imagem visível
Enable/disable automatic density correction (local brightness correction)	Ativar/desativar correção automática da densidade (correção de brilho)
Increase/decrease lightening of shadows (LDC must be on)	Aumentar/diminuir luz das sombras (LDC tem que estar ativo)
Increase/decrease darkening of highlights (LDC must be on)	Aumento/diminuir intensidade de luz (LDC tem que estar ativo)
Loop through files in current folder	Mostrar ficheiros da pasta atual
Loop through files in current directory and all subfolders	Mostrar ficheiros da pasta atual e todas as subpastas
Loop through files in current directory and all sibling folders (folders on same level)	Mostrar ficheiros da pasta atual e outros no mesmo nível
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	Maximizar/restaurar de/para ambiente de trabalho virtual (só para sistemas com vários monitores)
Copy screen to clipboard/ Copy processed full size image to clipboard	Copiar ecrã para a área de transferência/Copiar imagem processada para a área de transferência
Open new image or slideshow file	Abrir nova imagem ou apresentação
Save processed image to JPEG file (original size)	Gravar imagem processada como ficheiro JPEG (tamanho original)
Save (%s)/ delete (%s) image processing parameters in/from parameter DB	Gravar (%s)/Eliminar (%s) parâmetros de processamento de imagem no/do ficheiro de parâmetros da BD
Sort images by creation date, resp. modification date, resp. file name	Organizar imagens por data de criação, data de modificação, nome do ficheiro
Goto previous image	Ir para a imagem anterior
Goto next image	Ir para a imagem seguinte
PgUp or Left	PgUp ou Seta para esquerda
PgDn or Right	PgDown ou Seta para direita
Goto first/last image of current folder (using sort order as defined)	Ir para a primeira/última imagem da pasta atual (utilizar organização definida)
Increase/decrease brightness	Aumentar/diminuir brilho
Increase/decrease contrast	Aumentar/diminuir contraste
Increase/decrease sharpness	Aumentar/diminuir nitidez
Increase/decrease auto color cast correction amount	Aumentar/diminuir valor de correção automática de cores
Increase/decrease auto contrast correction amount	Aumentar/diminuir valor de correção automática de contraste
Enable/disable landscape picture enhancement mode	Ativar/desativar modo de melhoria da imagem na horizontal
Slide show with timeout of n seconds (ESC to stop)	Apresentação com tempo limite de n segundos (ESC para  parar)
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	Definir tempo limite para n/10 seg., respetivamente n/100 seg. (Ctrl+Shift)
Rotate image and fit to screen	Rodar a imagem e ajustar ao ecrã
Fit image to screen	Ajustar imagem ao ecrã
Zoom 1:1 (100 %)	Tamanho 1:1 (100%)
Zoom in (%s)/Zoom out (%s)	Ampliar (%s)/Reduzir (%s)
Zoom in/out image	Ampliar/reduzir imagem
Pan image	Expandir imagem
Crop image	Recortar imagem
Next image	Imagem seguinte
Previous image	Imagem anterior
up/down	Seta para cima/Seta para baixo	
Mouse wheel	Roda do rato
Left mouse & drag	Botão esquerdo do rato e arraste
Ctrl + Left mouse	Ctrl + botão esquerdo do rato
Forward mouse button	Botão "Avançar" do rato
Back mouse button	Botão "Recuar" do rato
Delete current file on disk	Eliminar ficheiro do disco
Rotate current file on disk lossless by 90 deg (W/H must be multiple of 16)	Rodar ficheiro no disco em 90º, mas sem perda de qualidade (W/H deve ser múltiplo de 16)
Rotate current file on disk lossless by 270 deg (W/H must be multiple of 16)	Rodar ficheiro no disco em 270º, mas sem perda de qualidade (W/H deve ser múltiplo de 16)
The file is read-only!	O ficheiro é somente leitura!
Can't rename file	Não foi possível mudar o nome do ficheiro
New name contains backslash character!	O novo nome contém uma barra invertida!
Renaming file failed!	Falha ao mudar o nome do ficheiro!
Reason:	Motivo: 
on	ativar
off	desativar
Do you really want to save the following parameters as default to the INI file	Pretende mesmo gravar os seguintes parâmetros no ficheiro INI e utilizar como padrão?
Auto contrast and color correction:	Contraste automático e correção de cor:
Local density correction:	Correção da densidade:
Order files by:	Ordenar ficheiros por:
Creation date/time	Data/hora de criação
Last modification date/time	Data/hora da última modificação
File name	Nome do ficheiro
These values will override the values from the INI file located in the program folder of JPEGView!	Estes valores vão substituir os valores do ficheiro INI, existente na pasta do JPEGView!
Confirm save default parameters	Confirmação de gravação dos parâmetros
Images	Imagens
All Files	Todos os ficheiros
Parameter DB file '%s' could not be opened!	O ficheiro de parâmetros da BD "%s" não pôde ser aberto!
Parameter DB file '%s' is not valid (invalid header)!	O ficheiro de parâmetros da BD "%s" não é válido (cabeçalho inválido)!
Cannot write to parameter DB file '%s'!	Não foi possível escrever no ficheiro de parâmetros da BD "%s"!
Cannot read from parameter DB file '%s'!	Não foi possível ler o ficheiro de parâmetros da BD "%s"!
Cannot read parameter DB file '%s' because it is too large!	Não foi possível ler o ficheiro de parâmetros da BD "%s", pois é muito grande!
The parameter DB file '%s' has been created by a newer version of JPEGView!	O ficheiro de parâmetros da BD "%s" foi  criado por uma versão mais recente do JPEGView!
The old parameter DB file '%s' could not be renamed during conversion to new format!	O nome do ficheiro de parâmetros da BD "%s" não foi alterado ao converter para o novo formato!
Parameter DB error	Erro de parâmetros da BD
Error saving file	Erro ao gravar o ficheiro
Error writing file to disk!	Erro ao gravar o ficheiro no disco!
Confirm	Confirmação
Do you really want to permanently delete the file %filename%?	Pretende mesmo eliminar permanentemente o ficheiro %filename%?
Rotate the following file lossless by 90 deg?\n%filename%	Rodar o ficheiro \n%filename% em 90º, mas sem perda de qualidade
Rotate the following file lossless by 270 deg?\n%filename%	Rodar o ficheiro \n%filename% em 270º, mas sem perda de qualidade
Open image...	Abrir imagem...
Save processed image...	Gravar imagem processada...
Reload image	Recarregar imagem
Copy to clipboard	Copiar para a área de transferência
Copy original size image	Copiar tamanho original da imagem
Paste from clipboard	Colar da área de transferência
Batch rename/copy...	Copiar/mudar nome em lote...
Show picture info (EXIF)	Mostrar informacões da imagem (EXIF)
Show filename	Mostrar nome do ficheiro
Navigation	Navegação
Loop folder	Mostrar pasta
Loop recursively	Mostrar recursivamente
Loop siblings	Mostrar pastas no mesmo nivel
Display order	Ordem de exibição
Modification date	Data de modificação
Creation date	Data de criação
Play folder as slideshow/movie	Mostrar pasta como apresentação/filme
Slideshow	Apresentação
Movie	Filme
Waiting time	Intervalo entre imagens
Stop slide show/movie	Parar apresentação/filme
Rotate +90	Rotação +90
Rotate -90	Rotação -90
Rotate 180	Rotação 180
Auto correction	Correção automática
Local density correction	Correção de densidade
Keep parameters	Manter parâmetros
Set current parameters as default values...	Gravar parâmetros no ficheiro INI...
Save parameters to DB	Gravar parâmetros na BD
Clear parameters from DB	Apagar parâmetros da BD
Zoom	Ampliação
Fit to screen	Ajustar ao ecrã
Fill with crop	Preencher com recortes
Span all screens	Expandir todos os ecrãs
Auto zoom mode	Modo de ampliação automática
Fit to screen (no zoom)	Ajustar ao ecrã (sem ampliação)
Fill with crop (no zoom)	Preencher com recortes (sem ampliação)
Exit	Sair
Cyan-Red	Ciano Vermelho
Magenta-Green	Magenta Verde
