// Цей файл повинен мати кодування UTF-8 (підійде, наприклад, Блокнот Windows)
// Назва файлу повинна мати вигляд 'strings_%languagecode%.txt' (де %languagecode% - код мови згідно ISO 639, приклад: strings_fr.txt - це французька)
// Формат: Англійський рядок<tab>Перекладений рядок<cr/lf>
//Language=Ukrainian
//TranslatorName=Bonsai
//Contact=none
//TranslatorURL=none
//LastUpdated=Mar 26, 2014
//
Contrast	Контрастність
Brightness	Яскравість
Sharpen	Різкість
Lighten Shadows	Висвітлити тіні
Darken Highlights	Притемнити світло
Deep Shadows	Глибокі тіні
Color Correction	Корекція кольору
Contrast Correction	Корекція контрастності
Parameter DB:	Параметри:
Save to	Зберегти в БД
Remove from	Видалити з БД
Rename:	Перейменувати:
No file or folder name was provided as command line parameter!	У командному рядку не вказано ім'я файлу або папки
To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	Для зручності використання JPEGView асоціюйте програму з файлами JPG, JPEG та BMP.
Press ESC to exit...	Натисніть ESC для виходу...
The file '%s' could not be read!	Неможливо прочитати файл '%s'.
The file '%s' does not contain a list of file names!	В файлі '%s' немає списку імен файлів.
The directory '%s' does not contain any image files!	В папці '%s' немає підтримуваних графічних файлів.
Press any key to search the subdirectories for image files.	Натисніть будь-яку клавішу для пошуку графічних файлів у вкладених папках.
JPEGView Help	Довідка JPEGView
Current image	Поточне зображення
Close help text display / Close JPEGView	Закрити довідку/JPEGView
Show/hide this help text	Показати/приховати цей текст довідки
Show/hide picture information (EXIF data)	Показати/приховати дані про зображення (EXIF)
Show/hide file name	Показати/приховати ім'я файлу
Enable/disable high quality resampling	Увімкнути/вимкнути покращене ресемплювання
Enable/disable keeping of geometry related (zoom/pan/rotation)	Увімкнути/вимкнути збереження геометрії (масштаб/переміщення/поворот)
and image processing (brightness/contrast/sharpen) parameters between images	і обробку (яскравість/контрастність/різкість) між зображеннями
Enable/disable automatic contrast correction (histogram equalization)	Увімкнути/вимкнути автокоррекцію контрастності (підстроювання гістограми)
Apply auto contrast correction using only visible section of image	Застосувати автокорекцію контрастності тільки до видимої області зображення
Enable/disable automatic density correction (local brightness correction)	Увімкнути/вимкнути автокорекцію інтенсивності (локальне підстроювання яскравості - ЛПЯ)
Increase/decrease lightening of shadows (LDC must be on)	Посилити/послабити висвітлювання тіней (потрібно увімкнути ЛПЯ)
Increase/decrease darkening of highlights (LDC must be on)	Посилити/послабити притемнення світла (потрібно увімкнути ЛПЯ)
Loop through files in current folder	Циклічний перегляд файлів у поточній папці
Loop through files in current directory and all subfolders	Циклічний перегляд файлів у поточній папці та її підпапках
Loop through files in current directory and all sibling folders (folders on same level)	Циклічний перегляд файлів у поточній папці і всіх папках того ж рівня
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	Відчинити/відновити на/з віртуальний робочий стіл (для мультимоніторних систем)
Copy screen to clipboard/ Copy processed full size image to clipboard	Скопіювати в буфер обміну екран/оброблене повнорозмірне зображення
Open new image or slideshow file	Відкрити нове зображення або файл із слайдшоу
Save processed image to JPEG file (original size)	Зберегти оброблене зображення як файл JPEG (вихідного розміру)
Save (%s)/ delete (%s) image processing parameters in/from parameter DB	Зберегти (%s) / видалити (%s) параметри обробки зображення в базі даних
Sort images by creation date, resp. modification date, resp. file name	Сортування зображень: за датою створення (C), зміни (M), іменем файла (N), випадково (Z)
Goto previous image	Перейти до попереднього зображення
Goto next image	Перейти до наступного зображення
PgUp or Left	PgUp або стрілка вліво
PgDn or Right	PgDn або стрілка вправо
Goto first/last image of current folder (using sort order as defined)	Перейти до першого/останнього зображення у поточній папці (відповідно з сортуванням)
Increase/decrease brightness	Збільшити/зменшити яскравість
Increase/decrease contrast	Збільшити/зменшити контрастність
Increase/decrease sharpness	Збільшити/зменшити різкість
Increase/decrease auto color cast correction amount	Збільшити/зменшити автокорекцію кольору
Increase/decrease auto contrast correction amount	Збільшити/зменшити автокорекцію контрастності
Enable/disable landscape picture enhancement mode	Увімкнути/вимкнути режим поліпшення зображень
Slide show with timeout of n seconds (ESC to stop)	Запустити слайдшоу з інтервалом N сек (ESC - стоп)
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	Задати інтервал N/10 сек або N/100 сек (Ctrl+Shift)
Rotate image and fit to screen	Повернути зображення і вписати в екран
Fit image to screen	Вписати зображення в екран
