// This file must be encoded with UTF-8 (e.g. with Windows Notepad)
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'zh' for Chinese
// Format is: English string<tab>Translated string<newline>
//Translation Info
//Translator:風逸蘭

Contrast	對比度
Brightness	亮度
Sharpen	銳化
Lighten Shadows	淺陰影
Darken Highlights	加深亮度
Deep Shadows	深陰影
Color Correction	色彩校正
Contrast Correction	對比度校正
Parameter DB:	參數資料庫:
Save to	儲存為
Remove from	移除
Rename:	重新命名:
No file or folder name was provided as command line parameter!	沒有檔案或資料夾名稱被提供為指令行參數!
To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	要使用 JPEGView 請將 JPG, JPEG, BMP 檔案與 JPEGView 關聯。
Press ESC to exit...	按下 ESC 結束...
The file '%s' could not be read!	檔案 '%s' 無法被讀取!
The file '%s' does not contain a list of file names!	檔案 '%s' 不包含檔案名稱清單!
The directory '%s' does not contain any image files!	目錄 '%s' 不包含圖像檔案!
Press any key to search the subdirectories for image files.	按下任意按鍵來搜尋子資料夾中的圖像檔案。
JPEGView Help	JPEGView 說明
Current image	目前圖像
Close help text display / Close JPEGView	關閉說明文字顯示 / 關閉 JPEGView
Show/hide this help text	顯示/隱藏說明文字
Show/hide picture information (EXIF data)	顯示/隱藏圖片訊息 (EXIF 資料)
Show/hide file name	顯示/隱藏檔案名稱
Enable/disable high quality resampling	啟用/停用高品質的重新取樣
Enable/disable keeping of geometry related (zoom/pan/rotation)	啟用/停用保持幾何相關 (縮放/平移/旋轉)
and image processing (brightness/contrast/sharpen) parameters between images	和圖像之間的圖像處理參數 (亮度/對比度/銳化)
Enable/disable automatic contrast correction (histogram equalization)	啟用/停用自動對比度校正 (直方圖均衡化)
Apply auto contrast correction using only visible section of image	僅可見部份圖像套用自動對比度校正
Enable/disable automatic density correction (local brightness correction)	啟用/停用自動的密度校正 (局部亮度校正)
Increase/decrease lightening of shadows (LDC must be on)	增加/減少陰影的亮度 (局部密度補償必須開啟)
Increase/decrease darkening of highlights (LDC must be on)	增加/減少亮點的暗度 (局部密度補償必須開啟)
Loop through files in current folder	遍歷目前資料夾中的檔案
Loop through files in current directory and all subfolders	遍歷目前目錄和所有子資料夾中的檔案
Loop through files in current directory and all sibling folders (folders on same level)	遍歷目前目錄和所有同級資料夾中的檔案 (在同一層級上的資料夾)
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	最大化/還原到/從虛擬桌面 (僅適用於多顯示器系統)
Copy screen to clipboard/ Copy processed full size image to clipboard	複製螢幕到剪貼簿/複製處理的原圖到剪貼簿
Open new image or slideshow file	開啟新的圖像或幻燈片檔案
Save processed image to JPEG file (original size)	儲存處理後的圖像為 JPEG 檔案 (原始大小)
Save (%s)/ delete (%s) image processing parameters in/from parameter DB	儲存 (%s)/ 刪除 (%s) 圖像處理參數在/從參數資料庫
Sort images by creation date, resp. modification date, resp. file name	依據建立日期、修改日期、檔案名稱排序
Goto previous image	移至上一個圖像
Goto next image	 移至下一個圖像
PgUp or Left	PgUp 或 Left
PgDn or Right	PgDn 或 Right
Goto first/last image of current folder (using sort order as defined)	移至目前資料夾的第一個/最後一個圖像 (使用所定義的排序順序)
Increase/decrease brightness	增加/減少亮度
Increase/decrease contrast	增加/減少對比度
Increase/decrease sharpness	增加/減小銳度
Increase/decrease auto color cast correction amount	增加/減少自動膚色的校正量
Increase/decrease auto contrast correction amount	增加/減少自動對比度的校正量
Enable/disable landscape picture enhancement mode	啟用/停用景觀圖像增強模式
Slide show with timeout of n seconds (ESC to stop)	n 秒逾時幻燈片放映 (ESC 停止)
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	設定逾時為 n/10 秒，分別為 n/100 秒 (Ctrl + Shift)
Rotate image and fit to screen	旋轉圖像且適合螢幕
Fit image to screen	圖像適合螢幕
Zoom 1:1 (100 %)	1:1 縮放 (100%)
Zoom in (%s)/Zoom out (%s)	放大 (%s)/縮小 (%s)
Zoom in/out image	放大/縮小圖像
Pan image	移動圖像
Crop image	裁剪圖像
Next image	下一個圖像
Previous image	上一個圖像
up/down	向上/向下
Mouse wheel	滑鼠滾輪
Left mouse & drag	滑鼠左鍵並拖動
Ctrl + Left mouse	按住 Ctrl + 滑鼠左鍵
Forward mouse button	前向滑鼠按鈕
Back mouse button	後退滑鼠按鈕
Delete current file on disk permanently	從磁碟永久刪除目前檔案
Rotate current file on disk lossless by 90 deg (W/H must be multiple of 16)	在磁碟上無損旋轉目前檔案 90 度 (寬度/高度必須是 16 的倍數)
Rotate current file on disk lossless by 270 deg (W/H must be multiple of 16)	在磁碟上無損旋轉目前檔案 270 度 (寬度/高度必須是 16 的倍數)
The file is read-only!	唯讀檔案!
Can't rename file	無法重新命名檔案
New name contains backslash character!	新名稱中包含反斜線字元!
Renaming file failed!	重新命名失敗!
Reason: 	原因: 
on	開啟
off	關閉
