// This file must be encoded with UTF-8 (e.g. with Windows Notepad)
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'fr' for French
// Format is: English string<tab>Translated string<newline>
Contrast	Zuribeltztasuna
Brightness	Dizdira
Sharpen	Garbitasuna
Lighten Shadows	Itzal arinak
Darken Highlights	Itzal ertainak
Deep Shadows	Itzal sakonak
Color Correction	Margo Zuzenketa
Contrast Correction	Zuribeltztasun Zuzenketa
Parameter DB:	BD Parametroak:
Save to	Gorde hemen
Remove from	Kendu hemendik
Rename:	Berrizendatu:
No file or folder name was provided as command line parameter!	Ez da agiriri edo agiritegi izenik eman komando lerro parametro bezala!
To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	JPEGVIkusgailua erabiltzeko, elkartu JPG, JPEG eta BMP agiriak JPEGIkusgailuarekin.
Press ESC to exit...	Sakatu ESC irtetezeko...
The file '%s' could not be read!	'%s' agiria ezin da irakurri!
The file '%s' does not contain a list of file names!	'%s' agirak ez du agiri izenen zerradarik!
The directory '%s' does not contain any image files!	'%s' zuzenbideak ez du irudi agiririk!
Press any key to search the subdirectories for image files.	Sakatu edozein tekla azpizuzenbideetan irudi agiriak biltzeko.
JPEGView Help	JPEGIkusgailu Laguntza
Current image	Oraingo irudia
Close help text display / Close JPEGView	Itxi laguntza idazki erakuspena / Itxi JPEGIkusgailua
Show/hide this help text	Erakutsi/Ezkutatu laguntza idazk hau
Show/hide picture information (EXIF data)	Erakutsi/Ezkutatu irudiaren argibideak (EXIF datuak)
Show/hide file name	Erakutsi/Ezkutatu agiriaren izena
Enable/disable high quality resampling	Gaitu/Ezgaitu ontasun handiko birlaginketa
Enable/disable keeping of geometry related (zoom/pan/rotation)	Gaitu/Ezgaitu geometriari heustea (Zooma/Pan/Itzulkapena)
and image processing (brightness/contrast/sharpen) parameters between images	eta irudi prozesatzea (dizdira/zuribeltztasuna/garbitasuna)
Enable/disable automatic contrast correction (histogram equalization)	Gaitu/Ezgaitu berezgaitasunezko zuribeltztasun zuzenketa (histograma ekualizazioa)
Apply auto contrast correction using only visible section of image	Ezarri berezgaitasunezko zuribeltztasun zuzenketa irudiaren atal ikusgarria bakarrik erabiliz
Enable/disable automatic density correction (local brightness correction)	Gaitu/Ezgaitu berezgaitasunezkoa dentsitate zuzenketa (tokiko dizdira zuzenketa)
Increase/decrease lightening of shadows (LDC must be on)	Gehitu/Gutxitu itzalen argipena (LDC eraginda egon behar da)
Increase/decrease darkening of highlights (LDC must be on)	Gehitu/Gutxitu itzalen ilunpena (LDC eraginda egon behar da)
Loop through files in current folder	Bigiztatu agirien artean uneko agiritegian
Loop through files in current directory and all subfolders	Bigiztatu agirien artean uneko zuzenbidean eta azpizuzenbide guztietan
Loop through files in current directory and all sibling folders (folders on same level)	Bigiztatu agirien artean uneko zuzenbidean eta agiritegi kidetu guztietan (maila bereko agiritegiak)
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	Handitu/Leheneratu mahigain birutale-ra/-tik (monitore-anitzeko sistematan bakarrik)
Copy screen to clipboard/ Copy processed full size image to clipboard	Kopiatu ikusleihoa gakora/ Kopiatu prozesatutako irudia neurri osoan gakora
Open new image or slideshow file	Ireki irudi berri bat edo aurkezpen agiria
Save processed image to JPEG file (original size)	Gorde prozesatutako irudia JPEG agiri batean (jatorrizko neurria)
Save (%s)/ delete (%s) image processing parameters in/from parameter DB	Gorde (%s)/ Ezabatu (%s) irudi prozesapen parametroak DB parametroeta-n/-tik
Sort images by creation date, resp. modification date, resp. file name	Antolatu irudiak sortze egun, aldaketa egun, agiri izen arabera
Goto previous image	Joan aurreko irudira
Goto next image	Joan hurrengo irudira
PgUp or Left	OrrGor edo Ezker
PgDn or Right	OrrBeh edo Eskuin
Goto first/last image of current folder (using sort order as defined)	Joan lehen/azken irudira uneko agiritegian (zehaztutako antolakuntza hurrenkera jarraituz)
Increase/decrease brightness	Gehitu/Gutxitu dizdira
Increase/decrease contrast	Gehitu/Gutxitu zuribeltztasuna
Increase/decrease sharpness	Gehitu/Gutxitu garbitasuna
Increase/decrease auto color cast correction amount	Gehitu/Gutxitu berez margo zuzenketa kopurua 
Increase/decrease auto contrast correction amount	Gehitu/Gutxitu berez zuribeltztasun zuzenketa kopurua
Enable/disable landscape picture enhancement mode	Gaitu/Ezgaitu etzaneko argazki hobekuntza modua
Slide show with timeout of n seconds (ESC to stop)	Argazki aurkezpen tartea n segundu (ESC gelditzeko)
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	Ezarri tartea n/10 seg-tan, edo n/100 seg (Ktrl+Shift)
Rotate image and fit to screen	Itzulikatu irudia eta finkatu ikusleihoan
Fit image to screen	Finkatu irudia ikusleihoan
Zoom 1:1 (100 %)	Zooma 1:1 (100 %)
Zoom in (%s)/Zoom out (%s)	Hurbildu (%s)/Hurrundu (%s) 
Zoom in/out image	Hurbildu/Hurrundu irudia
Pan image	Pan irudia
Crop image	Moztu irudia
Next image	Hurrengo irudia
Previous image	Aurreko irudia
up/down	gora/behera
Mouse wheel	Sagu gurpila
Left mouse & drag	Saguaren ezker botoia eta arrastatu
Ctrl + Left mouse	Ktrl + saguaren ezker botoia
Forward mouse button	Saguaren aurrera botoia
Back mouse button	Saguaren atzera botoia
Delete current file on disk permanently	Ezabatu uneko agiria diskatik betirako
Rotate current file on disk lossless by 90 deg (W/H must be multiple of 16)	Itzulikatu uneko agiria diskan 90° galeragabe (Zab./Gar. 16-ren biderki izan behar dute)
Rotate current file on disk lossless by 270 deg (W/H must be multiple of 16)	Itzulikatu uneko agiria diskan 270° galeragabe (Zab./Gar. 16-ren biderki izan behar dute)
The file is read-only!	Agiria irakurtzeko-bakarrik da!
Can't rename file	Ezin da agiria berrizendatu
New name contains backslash character!	Izen berriak ezkerbarra du!
Renaming file failed!	Hutsegitea agiria berrizendatzerakoan!
Reason: 	Zergaitia:
on	eraginda
off	etenda
Do you really want to save the following parameters as default to the INI file	Egitan nahi duzu hurrengo parametroak berezkotzat bezala gordetzea INI agirian
Auto contrast and color correction: 	Zuribeltztasun eta margo berez zuzenketa:
Local density correction: 	Tokiko dentsitate zuzenketa:
Order files by: 	Antolatu agiriak honela:
Creation date/time	Sortze eguna/ordua
Last modification date/time	Azken aldaketa eguna/ordua
File name	Agiri izena
These values will override the values from the INI file located in the program folder of JPEGView!	Balio hauek ezeztatu egingo dituzte JPEGIkusgailu programaren agiritegiko INI agiriko balioak!
Confirm save default parameters	Baieztatu berezko parametroak gordetzea
Images	Irudiak
All Files	Agiri denak
Parameter DB file '%s' could not be opened!	'%s' parametro DB agiria ezin da ireki!
Parameter DB file '%s' is not valid (invalid header)!	'%s' parametro DB agiria ez da baliozkoa (idazburu baliogabea)!
Cannot write to parameter DB file '%s'!	Ezinezkoa idaztea '%s' parametro DB agirira!
Cannot read from parameter DB file '%s'!	Ezinezkoa irakurtzea '%s' parametro DB agiritik!
Cannot read parameter DB file '%s' because it is too large!	'%s'parametro DB agiria ezin da irakurri handiegia delako!
The parameter DB file '%s' has been created by a newer version of JPEGView!	'%s' parametro DB agiria JPEGIKusgailu bertsio berriago batek sortua da!
The old parameter DB file '%s' could not be renamed during conversion to new format!	'%s' parametro DB zaharra ezin izan da berrizendatu heuskarri berrira bihurtzerakoan!
Parameter DB error	BD parametro akatsa
Error saving file	Akatsa agiria gordetzerakoan
Error writing file to disk!	Akatsa agiria diskan idazterakoan!
Confirm	Baieztatu
Do you really want to permanently delete the file %filename%?	Egitan nahi duzu ezabatzea %filename% agiria betirako?
Rotate the following file lossless by 90 deg?\n%filename%	Itzulikatu hurrengo agiria 90° galeragabe?\n%filename%
Rotate the following file lossless by 270 deg?\n%filename%	Itzulikatu hurrengo agiria 270° galeragabe?\n%filename%
Open image...	Ireki irudia...
Save processed image...	Gorde prozesatutako irudia...
Reload image	Birgertatu irudia
Copy to clipboard	Kopiatu gakora
Copy original size image	Kopiatu irudia jatorrizko neurrian
Paste from clipboard	Itsatsi gakotik
Batch rename/copy...	Multzoka berrizendatu/kopiatu...
Show picture info (EXIF)	Erakutsi argazkiaren argibideak (EXIF)
Show filename	Erakutsi agirizena
Navigation	Nabigazioa
Loop folder	Bigiztatu agiritegia
Loop recursively	Bigiztatu etengabe
Loop siblings	Bigiztatu kidetuak
Display order	Erakuspen hurrenkera
Modification date	Aldaketa eguna
Creation date	Sortze eguna
Play folder as slideshow/movie	Irakurri agiritegia aurkezpen/filma bezala
Slideshow	Aurkezpena
Movie	Filma
Waiting time	Itxaronaldia
Stop slide show/movie	Gelditu aurkezpena/filma
Rotate +90	Itzulikatu +90
Rotate -90	Itzulikatu -90
Auto correction	Berez zuzenketa
Local density correction	Tokiko dentsitate zuzenketa
Keep parameters	Heutsi parametroei
Save parameters to INI...	Gorde parametroak INI-an...
Save parameters to DB	Gorde parametroak DB-an
Clear parameters from DB	Garbitu DB-ko parametroak
Zoom	Zooma
Fit to screen	Finkatu ikusleihora
Fill with crop	Bete mozkinekin
Span all screens	Hedatu ikusleiho denak
Auto zoom mode	Berez zoom modua
Fit to screen (no zoom)	Finkatu ikusleihora (zoom gabe)
Fill with crop (no zoom)	Bete mozkinekin (zoom gabe)
Exit	Irten
Cyan-Red	Zian-Gorria
Magenta-Green	Magenta-Orlegia
Yellow-Blue	Ori-Urdina
C - R	Z - G	
M - G	M - O
Y - B	Or - U
Batch rename/copy of files	Agirien multzokako berrizendatzea/kopiatzea
Image files in folder	Irudi agiriak agiritegian
Placeholders:	Ordezte-ezarpenak:
