// This file must be encoded with UTF-8 (e.g. with Windows Notepad)	
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'fr' for French	
// Format is: English string<tab>Translated string<newline>	
Contrast	Contraste
Brightness	Luminosité
Sharpen	Netteté
Lighten Shadows	Eclairer les ombres
Darken Highlights	Assombrir les points lumineux
Deep Shadows	Ombres profondes
Color Correction	Correction des couleurs
Contrast Correction	Correction de contraste
Parameter DB:	Paramètre BD:
Save to	Enregistrer
Remove from	Supprimer
Rename:	Renommer:
No file or folder name was provided as command line parameter!	Aucun nom de fichier ou dossier a été fourni en tant que paramètre de ligne de commande!
To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	Pour utiliser JPEGView, associez les formats JPG, JPEG et BMP avec JPEGView.
Press ESC to exit...	Appuyez sur Echap pour quitter ...
The file '%s' could not be read!	Le fichier '%s' n'a pas pu être lu!
The file '%s' does not contain a list of file names!	Le fichier '%s' ne contient pas une liste de noms de fichiers!
The directory '%s' does not contain any image files!	Le répertoire '%s' ne contient pas de fichiers image!
Press any key to search the subdirectories for image files.	Appuyez sur une touche pour rechercher dans les sous-répertoires les fichiers image.
JPEGView Help	Aide JPEGView
Current image	Image courante
Close help text display / Close JPEGView	Fermer le panneau d'aide / Fermer JPEGView
Show/hide this help text	Afficher/masquer le panneau d'aide
Show/hide picture information (EXIF data)	Afficher/masquer les informations sur l'image (Donnees EXIF)
Show/hide file name	Afficher/cacher le nom du fichier
Enable/disable high quality resampling	Activer/desactiver la qualité élevée de reéchantillonnage
Enable/disable keeping of geometry related (zoom/pan/rotation)	Activer/desactiver le maintien des transformations géométriques (zoom/pan/rotation)
and image processing (brightness/contrast/sharpen) parameters between images	et du traitement d'image (luminosité/contraste/netteté) des paramètres entre les images
Enable/disable automatic contrast correction (histogram equalization)	Activer/desactiver la correction automatique du contraste (égalisation d'histogramme)
Apply auto contrast correction using only visible section of image	Appliquer la correction automatique de contraste en utilisant uniquement la section visible de l'image
Enable/disable automatic density correction (local brightness correction)	Activer/desactiver la correction automatique de la densité (correction de luminosité locale)
Increase/decrease lightening of shadows (LDC must be on)	Augmentation/diminution allégement des ombres (LDC doit être activé)
Increase/decrease darkening of highlights (LDC must be on)	Augmentation/diminution de noircissement des faits saillants (LDC doit être active)
Loop through files in current folder	Boucle à travers les fichiers dans le dossier courant
Loop through files in current directory and all subfolders	Boucle dans les fichiers du répertoire courant et tous les sous-dossiers
Loop through files in current directory and all sibling folders (folders on same level)	Boucle dans les fichiers du répertoire courant et tous les dossiers soeur (dossiers au même niveau)
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	Agrandir/Restaurer le bureau virtuel (uniquement pour les systèmes multi-écrans)
Copy screen to clipboard/ Copy processed full size image to clipboard	Copie d'écran dans le presse papier / Copier image transformée en taille réelle dans le presse papier
Open new image or slideshow file	Ouvrir le fichier image ou le diaporama
Save processed image to JPEG file (original size)	Enregistrer l'image traitée pour fichier JPEG (format original)
Save (s)/ delete (d) image processing parameters in/from parameter DB	Sauvegarder (s)/supprimer (d) les paramètres de traitement d'image dans paramètre BD
Sort images by creation date, resp. modification date, resp. file name	Trier les images par date de création, resp. date de modification, resp. le nom du fichier
Goto previous image	Aller à l'image précédente
Goto next image	Aller à l'image suivante
PgUp or Left	PgUp ou Gauche
PgDn or Right	PgDn ou Droite
Goto first/last image of current folder (using sort order as defined)	Aller à la premiere/dernière image du dossier en cours (en utilisant l'ordre de tri tel que défini)
Increase/decrease brightness	Augmenter/diminuer la luminosité
Increase/decrease contrast	Augmenter/diminuer le contraste
Increase/decrease sharpness	Augmenter/diminuer la netteté
Increase/decrease auto color cast correction amount	Augmenter/diminuer la correction automatique des couleurs
Increase/decrease auto contrast correction amount	Augmenter/diminuer la quantite de correction automatique de contraste
Enable/disable landscape picture enhancement mode	Activer/desactiver le mode d'amélioration des images (LDC)
Slide show with timeout of n seconds (ESC to stop)	Diaporama avec delai de n secondes (ESC pour arrêter)
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	Configurer delai à n/10 sec, respectivement n/100 sec (Ctrl+Maj)
