// This file must be encoded with UTF-8 (e.g. with Windows Notepad)
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'fr' for French
// Format is: English string<tab>Translated string<newline>
// Translated by Carpegieri Torezan
Contrast	Contraste
Brightness	Brilho
Sharpen	Nitidez
Lighten Shadows	Sombras leves 
Darken Highlights	Sombras medias
Deep Shadows	Sombras profundas
Color Correction	Correção de Colores
Contrast Correction	Correção de Contraste
Parameter DB:	Parámetros BD:
Save to	Salvar como
Remove from	Apagar de
Rename:	Renomear:
No file or folder name was provided as command line parameter!	Nenhum arquivo ou pasta foi passada como um parâmetro da linha de comando!
To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	Para usar JPEGView, associe as extensões JPG, JPEG e BMP com JPEGView.
Press ESC to exit...	Presione ESC para sair...
The file '%s' could not be read!	O arquivo '%s' não pode ser lido!
The file '%s' does not contain a list of file names!	O arquivo '%s' não contém uma lista de nomes de arquivos!
The directory '%s' does not contain any image files!	A pasta '%s' ão contém imagens!
Press any key to search the subdirectories for image files.	Presione qualquer tecla para buscar imagens nas pastas.
JPEGView Help	Ajuda de JPEGView
Current image	Imagem atual
Close help text display / Close JPEGView	Fechar texto de ajuda / Fechar JPEGView
Show/hide this help text	Mostrar/Esconder este texto de ajuda
Show/hide picture information (EXIF data)	Mostrar/Esconder informações sobre a imagem
Show/hide file name	Mostrar/Esconder nome do arquivo
Enable/disable high quality resampling	Habilitar/Desabilitar algoritmo de alta qualidade
Enable/disable keeping of geometry related (zoom/pan/rotation)	Habilitar/Desabilitar manter a relação de aspecto (Zoom/Pan/Rotação)
and image processing (brightness/contrast/sharpen) parameters between images	e os parâmetros de transformação entre as imagens (brilho/contraste/nitidez)
Enable/disable automatic contrast correction (histogram equalization)	Habilitar/Deshabilitar correção automática de contraste (equalização de histograma)
Apply auto contrast correction using only visible section of image	Aplicar correção automática de contraste usando apenas a seção visível da imagem
Enable/disable automatic density correction (local brightness correction)	Habilitar/Desabilitar correção automática da densidade (correção de brilho local)
Increase/decrease lightening of shadows (LDC must be on)	Aumentar / diminuir a iluminação com sombras (LDC deve estar ativo)
Increase/decrease darkening of highlights (LDC must be on)	Aumento / diminuição de intensidade de luz (LDC deve estar ativo)
Loop through files in current folder	Apresentar os arquivos da pasta atual
Loop through files in current directory and all subfolders	Apresentar os arquivos da pasta atual e todas as subpastas
Loop through files in current directory and all sibling folders (folders on same level)	Apresentar os arquivos da pasta atual e outras (pastas do mesmo nivel)
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	Maximizar / restaurar de / para desktop virtual (apenas para sistemas multi-monitor)
Copy screen to clipboard/ Copy processed full size image to clipboard	Copiar Tela para Área de Tranferência/Copiar imagem processada de tamanho completo para Área de Tranferência
Open new image or slideshow file	Abrir nova imagem ou arquivo de apresentação
Save processed image to JPEG file (original size)	Salvar imagem processada como arquivo JPEG (tamanho original)
Save (%s)/ delete (%s) image processing parameters in/from parameter DB	Salvar (%s) / delete (%s) os parâmetros de processamento de imagem em / de DB parâmetro
Sort images by creation date, resp. modification date, resp. file name	Classificar Imagens por data de criação, data de modificação, nome do arquivo
Goto previous image	Ir para imagem anterior
Goto next image	Ir para imagem seguinte
PgUp or Left	PgUp ou Esquerda
PgDn or Right	PgUp ou Direita
Goto first/last image of current folder (using sort order as defined)	Ir para a primera/última imagem da pasta atual (usando a ordem de classificação, tal como definido)
Increase/decrease brightness	Aumentar/diminuir brilho
Increase/decrease contrast	Aumentar/diminuir contraste
Increase/decrease sharpness	Aumentar/diminuir nitidez
Increase/decrease auto color cast correction amount	Aumentar/diminuir quantidade de auto correção de colores
Increase/decrease auto contrast correction amount	Aumentar/diminuir quantidade de auto correção de contraste
Enable/disable landscape picture enhancement mode	Ativar/desativar o modo paisagem de melhoramento de imagem
Slide show with timeout of n seconds (ESC to stop)	Apresentação com tempo limite de N segundos (ESC para parar)
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	Definir tempo limite para N/10 seg, respectivamente N/100 seg (Ctrl + Shift)
Rotate image and fit to screen	Rodar a imagem e ajustar a tela
Fit image to screen	Ajustar imagem a tela
Zoom 1:1 (100 %)	Zoom 1:1 (100 %)
Zoom in (%s)/Zoom out (%s)	Zoom in (%s)/Zoom out (%s)
Zoom in/out image	Zoom in/out imagem
Pan image	Pan imagem
Crop image	Cortar imagem
Next image	Imagem Seguinte
Previous image	Imagem Anterior
up/down	up/down
Mouse wheel	Roda do Mouse
Left mouse & drag	botão esquerdo e arrastrar
Ctrl + Left mouse	Ctrl + botão esquerdo
Forward mouse button	Mouse botão "Avançar"
Back mouse button	Mouse botão "Atrás"
Delete current file on disk	Excluir arquivo atual do disco
Rotate current file on disk lossless by 90 deg (W/H must be multiple of 16)	Rodar arquivo atual em disco sem perda em 90 graus (W/H deve ser múltiplo de 16)
Rotate current file on disk lossless by 270 deg (W/H must be multiple of 16)	Rodar arquivo atual em disco sem perda em 270 graus (W/H deve ser múltiplo de 16)
The file is read-only!	O arquivo é somente leitura!
Can't rename file	Não é possível renomear arquivo
New name contains backslash character!	Novo nome contém caractere de barra invertida!
Renaming file failed!	Renomeando arquivo falhou!
Reason: 	Motivo: 
on	Ligar
off	Desligado
Do you really want to save the following parameters as default to the INI file	Você realmente deseja salvar os seguintes parâmetros como padrão para o arquivo INI
Auto contrast and color correction: 	Auto contraste e correção de cor:
Local density correction: 	Correção da densidade local: 
Order files by: 	Ordenar arquivos por: 
Creation date/time	Criação de data/hora
Last modification date/time	Data/hora da última alteração
File name	Nome do arquivo
These values will override the values from the INI file located in the program folder of JPEGView!	Data da última alteração Esses valores irão substituir os valores do arquivo INI localizado na pasta programa de JPEGView!
Confirm save default parameters	Confirme el guardado de los parámetros por defecto
Images	Imagens
All Files	Todos os arquivos
Parameter DB file '%s' could not be opened!	Parâmetro do arquivo DB '%s' não pôde ser aberto!
Parameter DB file '%s' is not valid (invalid header)!	Arquivo de parâmetro DB '% s' não é válido (cabeçalho inválido)!
Cannot write to parameter DB file '%s'!	 Não é possível escrever para o parâmetro DB arquivo '% s'!
Cannot read from parameter DB file '%s'!	Não é possível ler parâmetro DB arquivo '% s'!
Cannot read parameter DB file '%s' because it is too large!	Não é possível ler parâmetro DB arquivo '% s', pois é muito grande!
The parameter DB file '%s' has been created by a newer version of JPEGView!	O arquivo de parâmetro DB '% s' foi criado por uma versão mais recente do JPEGView!
The old parameter DB file '%s' could not be renamed during conversion to new format!	O parâmetro do arquivo de DB '% s' não podia ser renomeados durante a conversão para o novo formato!
Parameter DB error	Erro de Parâmetro DB
Error saving file	Erro ao salvar arquivo
Error writing file to disk!	Erro ao gravar arquivo em disco!
Confirm	Confirmar
Do you really want to permanently delete the file %filename%?	Realmente quer deletar permanentemente o arquivo %filename%?
Rotate the following file lossless by 90 deg?\n%filename%	Rodar o seguinte arquivo sem perda em 90 graus?\n%filename%
Rotate the following file lossless by 270 deg?\n%filename%	Rodar o seguinte arquivo sem perda em 270 graus?\n%filename%
Open image...	Abrir imagem...
Save processed image...	Salvar imagem processada...
Reload image	Recaregar imagem
Copy to clipboard	Copiar para Área de Transferência
Copy original size image	Copiar imagem com seu tamanho original.
Paste from clipboard	Colar na Área de Transferência
Batch rename/copy...	Copiar/renomear por lotes (batch)...
Show picture info (EXIF)	Mostrar informacões da imagem
Show filename	Mostrar nome do arquivo
Navigation	Navegação
Loop folder	Apresentar Pasta
Loop recursively	Apresentar recursivamente
Loop siblings	Apresentar pastas do mesmo nivel
Display order	Ordem de visualização
Modification date	Fecha de modificação
Creation date	Data de Criação
Play folder as slideshow/movie	Reproduzir pasta como Apresentação/Filme
Slideshow	Apresentação
Movie	Filme
Waiting time	Intervalo de espera
Stop slide show/movie	Parar Apresentação/Filme
Rotate +90	Rotação +90
Rotate -90	Rotação -90
Rotate 180	Rotação 180
Auto correction	Auto correção
Local density correction	Correção da densidade local
Keep parameters	Mantener parámetros
Save parameters to INI...	Salvar parâmetros a INI...
Save parameters to DB	Salvar parâmetros a BD
Clear parameters from DB	Limpiar parâmetros de BD
Zoom	Zoom
Fit to screen	Ajustar a Tela
Fill with crop	Preencha com bordas recortadas
Span all screens	Extender todas telas
Auto zoom mode	Modo de Auto zoom
Fit to screen (no zoom)	Ajustar a tela (sem zoom)
Fill with crop (no zoom)	Preencha com bordas recortadas (sem zoom)
Exit	Sair
Cyan-Red	Ciano-vermelho
Magenta-Green	Magenta-Verde
Yellow-Blue	Amarelo-Azul
C - R	C - R
M - G	M - V
Y - B	Am - Az
Batch rename/copy of files	Renomear/cópia de arquivos
