//Language=Russian
//TranslatorName=Dmitry Yerokhin
//Contact=erodim@mail.ru
//TranslatorURL=none
//LastUpdated=Jan 11, 2012
//
Contrast	Контрастность
Brightness	Яркость
Sharpen	Резкость
Lighten Shadows	Высветлить тени
Darken Highlights	Притемнить света
Deep Shadows	Глубокие тени
Color Correction	Коррекция цвета
Contrast Correction	Коррекция контрастности
Parameter DB:	Параметры:
Save to	Сохранить в БД
Remove from	Удалить из БД
Rename:	Переименовать:
No file or folder name was provided as command line parameter!	В командной строке не указано имя файла или папки
To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	Для удобства использования JPEGView ассоциируйте программу с файлами JPG, JPEG и BMP.
Press ESC to exit...	Нажмите ESC для выхода...
The file '%s' could not be read!	Невозможно прочитать файл '%s'.
The file '%s' does not contain a list of file names!	В файле '%s' нет списка имён файлов.
The directory '%s' does not contain any image files!	В папке '%s' нет поддерживаемых графических файлов.
Press any key to search the subdirectories for image files.	Нажмите любую клавишу для поиска графических файлов во вложенных папках.
JPEGView Help	Справка JPEGView
Current image	Текущее изображение
Close help text display / Close JPEGView	Закрыть справку/JPEGView
Show/hide this help text	Показать/скрыть этот текст справки
Show/hide picture information (EXIF data)	Показать/скрыть данные об изображении (EXIF)
Show/hide file name	Показать/скрыть имя файла
Enable/disable high quality resampling	Включить/выключить высококачественное ресэмплирование
Enable/disable keeping of geometry related (zoom/pan/rotation)	Включить/выключить сохранение геометрии (масштаб/перемещение/поворот)
and image processing (brightness/contrast/sharpen) parameters between images	и обработку (яркость/контрастность/резкость) между изображениями
Enable/disable automatic contrast correction (histogram equalization)	Включить/выключить автокоррекцию контрастности (подстройку гистограммы)
Apply auto contrast correction using only visible section of image	Применить автокоррекцию контрастности только к видимой области изображения
Enable/disable automatic density correction (local brightness correction)	Включить/выключить автокоррекцию интенсивности (локальную подстройку яркости - ЛПЯ)
Increase/decrease lightening of shadows (LDC must be on)	Усилить/ослабить высветление теней (нужно включить ЛПЯ)
Increase/decrease darkening of highlights (LDC must be on)	Усилить/ослабить притемнение светов (нужно включить ЛПЯ)
Loop through files in current folder	Циклический просмотр файлов в текущей папке
Loop through files in current directory and all subfolders	Циклический просмотр файлов в текущей папке и её подпапках
Loop through files in current directory and all sibling folders (folders on same level)	Циклический просмотр файлов в текущей папке и всех папках того же уровня
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	Распахнуть/восстановить на/из виртуальный рабочий стол (для мультимониторных систем)
Copy screen to clipboard/ Copy processed full size image to clipboard	Скопировать в буфер обмена экран/обработанное полноразмерное изображение
Open new image or slideshow file	Открыть новое изображение или файл со слайдшоу
