// This file must be encoded with UTF-8 (e.g. with Windows Notepad)
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'zh' for Chinese
// Format is: English string<tab>Translated string<newline>
//Translation Info
//Translator:Yia Guo (email:YiaHng@gmail.com)

Contrast	对比
Brightness	亮度
Sharpen	锐化
Lighten Shadows	变浅阴影
Darken Highlights	加深亮点
Deep Shadows	深阴影
Color Correction	色彩校正
Contrast Correction	对比度校正
Parameter DB:	参数数据库:
Save to	保存为
Remove from	删除
Rename:	重命名:
No file or folder name was provided as command line parameter!	么有文件或文件夹名称作为命令行参数提供!
To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	使用JPEGView关联JPG, JPEG, BMP 文件。
Press ESC to exit...	按 ESC退出...
The file '%s' could not be read!	文件'%s'不能被读取!
The file '%s' does not contain a list of file names!	文件'%s'不包含文件名列表!
The directory '%s' does not contain any image files!	目录'%s'不存在图像文件!
Press any key to search the subdirectories for image files.	按任意键 搜索的子文件夹中的图像文件.
JPEGView Help	JPEGView 帮助
Current image	当前图像
Close help text display / Close JPEGView	关闭帮助显示 / 关闭JPEGView
Show/hide this help text	显示/隐藏帮助文档
Show/hide picture information (EXIF data)	显示/隐藏图片信息 (EXIF数据)
Show/hide file name	显示/隐藏文件名
Enable/disable high quality resampling	开/关高品质的重采样
Enable/disable keeping of geometry related (zoom/pan/rotation)	启用/禁用几何相关（缩放/平移/旋转）
and image processing (brightness/contrast/sharpen) parameters between images	和图像之间的图像处理参数（亮度/对比度/锐化）
Enable/disable automatic contrast correction (histogram equalization)	开/关自动对比度校正（直方图均衡化）
Apply auto contrast correction using only visible section of image	仅可见部分图像应用自动对比度校正
Enable/disable automatic density correction (local brightness correction)	启用/禁用自动的密度修正（局部亮度校正）
Increase/decrease lightening of shadows (LDC must be on)	增加/减少阴影的亮度（局部密度补偿必须打开）
Increase/decrease darkening of highlights (LDC must be on)	增加/减少亮点变暗（局部密度补偿必须打开）
Loop through files in current folder	遍历当前文件夹中的文件
Loop through files in current directory and all subfolders	遍历当前目录中的文件和所有子文件夹
Loop through files in current directory and all sibling folders (folders on same level)	循环遍历当前目录中的文件和所有同级文件夹（在同一层次上的文件夹）
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	最大化/还原到/从虚拟桌面（仅适用于多显示器系统）
Copy screen to clipboard/ Copy processed full size image to clipboard	屏幕复制到剪贴板/处理的原图复制到剪贴板
Open new image or slideshow file	打开新的图像或幻灯片文件
Save processed image to JPEG file (original size)	保存处理后的图像为JPEG文件（原始大小）
Save (%s)/ delete (%s) image processing parameters in/from parameter DB	/保存(%s)/删除(%s)图像处理参数到/从参数库
Sort images by creation date, resp. modification date, resp. file name	按照创建日期，修改日期，文件名称排序
Goto previous image	前个
Goto next image	 下个
PgUp or Left	PgUp 或 Left
PgDn or Right	PgDn 或 Right
Goto first/last image of current folder (using sort order as defined)	跳转到当前文件夹的第一个/最后一个图像（使用所定义的排序顺序）
Increase/decrease brightness	增加/减少亮度
Increase/decrease contrast	增加/减少对比度
Increase/decrease sharpness	增加/减小锐度
Increase/decrease auto color cast correction amount	增加/减少自动肤色校正度
Increase/decrease auto contrast correction amount	增加/减少自动对比度的校正量
Enable/disable landscape picture enhancement mode	启用/禁用景观图像增强模式
Slide show with timeout of n seconds (ESC to stop)	n秒超时幻灯片放映（ESC停止）
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	设置超时到N/10秒，分别为N/100秒（Ctrl + Shift）
Rotate image and fit to screen	旋转且适合屏幕
Fit image to screen	适合屏幕
Zoom 1:1 (100 %)	1:1缩放（100%）
Zoom in (%s)/Zoom out (%s)	放大(%s)/缩小(%s)
Zoom in/out image	放大/缩小
Pan image	移动
Crop image	裁剪
Next image	下一张
Previous image	前一张
up/down	向上/向下
Mouse wheel	鼠标滚轮
Left mouse & drag	鼠标左键并拖动
Ctrl + Left mouse	按Ctrl+鼠标左键
Forward mouse button	前向鼠标按钮
Back mouse button	后退鼠标按钮
Delete current file on disk permanently	从磁盘永久删除当前文件
