// This file must be encoded with UTF-8 (e.g. with Windows Notepad)
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'fr' for French
// Format is: English string<tab>Translated string<newline>
Contrast	Kontrast
Brightness	Jasność
Sharpen	Ostrość
Lighten Shadows	Rozjaśnij cienie
Darken Highlights	Przyciemnij rozjaśnienia
Deep Shadows	Głębokie cienie
Color Correction	Korekcja kolorów
Contrast Correction	Korekcja kontrastu
Parameter DB:	Parametr DB:
Save to	Zapisz
Remove from	Usuń
Rename:	Zmień nazwę:
No file or folder name was provided as command line parameter!	Nie podano nazwy pliku ani folderu jako parametru linii komand!
To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	Przypisz pliki JPG, JPEG i BMP do JPGView.
Press ESC to exit...	Wciśnij ESC aby zakończyć...
The file '%s' could not be read!	Pliku '%s' nie można odczytać!
The file '%s' does not contain a list of file names!	Plik '%s' nie zawiera listy nazw plików!
The directory '%s' does not contain any image files!	Folder '%s' nie zawiera żadnych plików obrazów!
Press any key to search the subdirectories for image files.	Wciśnij dowolny klawisz aby szukać plików obrazów w podfolderach.
JPEGView Help	Pomoc JPEGView
Current image	Aktualny obraz
Close help text display / Close JPEGView	Zamknij Pomoc / Zakończ JPEGView
Show/hide this help text	Pokaż/Ukryj ten plik pomocy
Show/hide picture information (EXIF data)	Pokaż/Ukryj informacje EXIF z pliku
Show/hide file name	Pokaż/Ukryj nazwę pliku
Enable/disable high quality resampling	Włącz/wyłącz przetwarzanie wysokiej jakości
Enable/disable keeping of geometry related (zoom/pan/rotation)	Włącz/wyłącz utrzymywanie wyświetlanej geometrii (Powiększenie/Fragment/Obrót)
and image processing (brightness/contrast/sharpen) parameters between images	oraz parametrów przetwarzania (jasność/kontrast/ostrość) pomiędzy obrazami.
Enable/disable automatic contrast correction (histogram equalization)	Włącz/wyłącz automatyczną korekcję kontrastu (wyrównanie histogramu)
Apply auto contrast correction using only visible section of image	Automatyczna korekcja kontrastu z użyciem tylko widocznej części obrazu 
Enable/disable automatic density correction (local brightness correction)	Włącz/wyłącz automatyczną korekcję gęstości (lokalna korekcja jasności)
Increase/decrease lightening of shadows (LDC must be on)	Zwiększenie/zmniejszenie podświetlenia cieni (LDC musi być włączone)
Increase/decrease darkening of highlights (LDC must be on)	Zwiększenie/zmniejszenie przyciemniania jasności (LDC musi być włączone)
Loop through files in current folder	Pokaz w pętli w bieżącym folderze
Loop through files in current directory and all subfolders	Pokaz w pętli w bieżącym folderze i podfolderach
Loop through files in current directory and all sibling folders (folders on same level) Pokaz w pętli w bieżącym folderze i folderach równorzędnych (na tym samym poziomie)
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	Maksymalizuj/przywróć na/z wirtualny(ego) pulpit(u) (tylko dla systemów wielomonitorowych)
Copy screen to clipboard/ Copy processed full size image to clipboard	Kopiuj ekran do schowka/ Kopiuj cały przetworzony obraz do schowka
Open new image or slideshow file	Otwórz nowy obraz lub plik pokazu
Save processed image to JPEG file (original size)	Zapisz przetworzony obraz do pliku JPEG (originalna wielkość)
Save (%s)/ delete (%s) image processing parameters in/from parameter Zapisz (%s)/ kasuj (%s) parametry przetwarzania
Sort images by creation date, resp. modification date, resp. file name	Sortuj pliki wg daty utworzenia, modyfikacji, nazwy pliku
Goto previous image	Wróć do poprzedniego obrazu
Goto next image Pokaż następny obraz
PgUp or Left	PgUp lub Lewo Poprzedni
PgDn or Right	PgDn lub Prawo Następny
Goto first/last image of current folder (using sort order as defined)	Idź do pierwszego/ostatniego obrazu w bieżącym folderze (używając zdefiniowanego porządku sortowania)
Increase/decrease brightness	Zwiększ/Zmniejsz jasność
Increase/decrease contrast	Zwiększ/Zmniejsz kontrast
Increase/decrease sharpness	Zwiększ/Zmniejsz ostrość
Increase/decrease auto color cast correction amount	Zwiększ/Zmniejsz auto korekcję koloru
Increase/decrease auto contrast correction amount	Zwiększ/Zmniejsz auto korekcję kontrastu
Enable/disable landscape picture enhancement mode	Włącz/wyłącz tryb polepszania zdjęcia
Slide show with timeout of n seconds (ESC to stop)	Pokaz z czasem n sekund (ESC aby zakończyć)
Set timeout to n/10 sec, respectively n/100 sec (Ctrl+Shift)	Ustaw czas na n/10 sekund, lub n/100 sekund (Ctrl+Shift)
Rotate image and fit to screen	Obrót obrazu z dopasowaniem do ekranu
Fit image to screen	Dopasuj do ekranu
Zoom 1:1 (100 %)	Powiększenie 1:1 (100 %)
Zoom in (%s)/Zoom out (%s)	Powiększenie (%s)/Zmniejszenie (%s)
Zoom in/out image	Powiększanie/Zmniejszanie (Zoom)
Pan image	Przesuwanie obrazu (Pan)
Crop image	Kadrowanie (Crop)
Next image	Następny obraz
Previous image	Poprzedni obraz
up/down	W górę/dół
Mouse wheel	Kółko myszy
Left mouse & drag	Lewy klawisz myszy i przesuń
Ctrl + Left mouse	Ctrl + Lewy klawisz myszy
Forward mouse button	Klawisz myszy - Następny
Back mouse button	Klawisz myszy - Poprzedni
Delete current file on disk permanently	Kasuj bieżący plik z dysku
Rotate current file on disk lossless by 90 deg (W/H must be multiple of 16)	Obróć bezstratnie w pliku o 90 stopni (W/H musi być podzielne przez 16)
Rotate current file on disk lossless by 270 deg (W/H must be multiple of 16)	Obróć bezstratnie w pliku o 270 stopni (W/H musi być podzielne przez 16)
The file is read-only!	Ten plik jest tylko do odczytu!
Can't rename file	Nie można zmienić nazwy pliku
New name contains backslash character!	Nazwa zawiera ukośnik (\)!
Renaming file failed!	Niepowodzenie zmiany nazwy!
Reason: 	Powód: 
on	wł.
off	wył.
Do you really want to save the following parameters as default to the INI file	Rzeczywiście chcesz zapisać parametry jako domyślne do pliku INI?
Auto contrast and color correction: 	Automatyczna korekcja kontrastu i koloru: 
Local density correction: 	Lokalna korekcja gęstości: 
Order files by: 	Sortuj pliki wg: 
Creation date/time	Data utworzenia
Last modification date/time	Data ostatnie modyfikacji
File name	Nazwa pliku
These values will override the values from the INI file located in the program folder of JPEGView!	Te ustawienia będą miały pierwszeństwo nad ustawieniami w pliku INI w folderze programu JPEGView!
Confirm save default parameters	Potwierdź zapis parametrów domyślnych
Images	Obrazy
All Files	Wszystkie pliki
Parameter DB file '%s' could not be opened!	Parametr pliku DB '%s' nie może być otwarty!
Parameter DB file '%s' is not valid (invalid header)!	Parametr pliku DB '%s' jest niewłaściwy (zły nagłówek)!
Cannot write to parameter DB file '%s'!	Nie można zapisać do pliku parametrów '%s'!
Cannot read from parameter DB file '%s'!	Nie można odczytać z pliku parametrów '%s'!
Cannot read parameter DB file '%s' because it is too large!	Nie można odczytać z pliku parametrów, ponieważ jest zbyt duży '%s'!
The parameter DB file '%s' has been created by a newer version of JPEGView!	Plik parametrów DB '%s' został utworzony przez nowszą wersję JPEGView!
The old parameter DB file '%s' could not be renamed during conversion to new format!	Stary parameter w pliku DB '%s' nie może być zmieniony w czasie konwersji na nowy format!
Parameter DB error	Błąd pliku parametetrów DB
Error saving file	Błąd zapisu pliku
Error writing file to disk!	Błąd zapisu pliku na dysk!
Confirm	Potwierdź
Do you really want to permanently delete the file %filename%?	Czy na pewno chcesz trwale skasować plik %filename%?
Rotate the following file lossless by 90 deg?\n%filename%	Obrócić następujący plik bezstratnie o 90 stopni?\n%filename%
