// This file must be encoded with UTF-8 (e.g. with Windows Notepad)
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'fr' for French
// Format is: English string<tab>Translated string<newline>
// Translation=Uładzimir Panada
Contrast	Кантраст
Brightness	Яркасьць
Sharpen	Вострасьць
Lighten Shadows	Цень
Darken Highlights	Сьвятло
Deep Shadows	Глыбокі цень
Color Correction	Карэкцыя колеру
Contrast Correction	Карэкцыя кантрасту
Parameter DB:	База зьвестак параметраў:
Save to	захаваць у
Remove from	выдаліць з
Rename:	Перайменаваць:
No file or folder name was provided as command line parameter!	У камандынм радку няма назвы файла ці тэчкі!
To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	JPEGView трэба асацыяваць з файламі JPG, JPEG і BMP.
Press ESC to exit...	Націснуць ESC для выхаду...
The file '%s' could not be read!	Файл '%s' нечытэльны!
The file '%s' does not contain a list of file names!	У файле '%s' няма сьпісу назваў файлаў!
The directory '%s' does not contain any image files!	У тэчцы '%s' няма файлаў выяваў!
Press any key to search the subdirectories for image files.	Націснуць любую кнопку для пошуку файлаў выяваў ва ўкладзеных тэчках.
JPEGView Help	Даведка JPEGView
Current image	Аб выяве
Close help text display / Close JPEGView	Закрыць даведку/JPEGView
Show/hide this help text	Паказаць/схаваць даведку
Show/hide picture information (EXIF data)	Паказаць/схаваць зьвесткі пра выяву (інфармацыю EXIF)
Show/hide file name	Паказаць/схаваць шлях і назву файла
Enable/disable high quality resampling	Рэсэмплінг высокай якасьці
Enable/disable keeping of geometry related (zoom/pan/rotation)	На ўзор гэтай выявы трансфармаваць
and image processing (brightness/contrast/sharpen) parameters between images	і апрацаваць наступныя
Enable/disable automatic contrast correction (histogram equalization)	Аўтакарэкцыя кантрасту (нармаваньне гістаграмы)
Apply auto contrast correction using only visible section of image	Аўтакарэкцыя кантрасту толькі для бачнай часткі выявы
Enable/disable automatic density correction (local brightness correction)	Аўтакарэкцыя шчыльнасьці (лакальная зьмена яркасьці)
Increase/decrease lightening of shadows (LDC must be on)	Мацней/слабей высьвятляць цень (пры аўтакарэкцыі шчыльнасьці)
Increase/decrease darkening of highlights (LDC must be on)	Мацней/слабей прыцямняць сьвятло (пры аўтакарэкцыі шчыльнасьці)
Loop through files in current folder	Колавы прагляд файлаў у абранай тэчцы
Loop through files in current directory and all subfolders	Колавы прагляд файлаў у абранай тэчцы і ва ўкладзеных у яе
Loop through files in current directory and all sibling folders (folders on same level)	Колавы прагляд файлаў у абранай тэчцы ды іншых на гэтым узроўні
