// This file must be encoded with UTF-8 (e.g. with Windows Notepad)
// Filename is 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'fr' for French
// Format is: English string<tab>Translated string<newline>
Contrast	Contrasto
Brightness	Luminosità
Sharpen	Nitidezza
Lighten Shadows	Ombre chiare
Darken Highlights	Ombre scure
Deep Shadows	Ombre scurissime
Color Correction	Correzione Colore
Contrast Correction	Correzione Contrasto
Parameter DB:	Parametri DB:
Save to	Salva come
Remove from	Rimuovi da
Rename:	Rinomina:
No file or folder name was provided as command line parameter!	Nessun nome di file o cartella è stato fornito come parametro per riga di comando!
To use JPEGView, associate JPG, JPEG and BMP files with JPEGView.	Per usare JPEGView, associa le estensioni JPG, JPEG e BPM con JPEGView.
Press ESC to exit...	Premi ESC per uscire...
The file '%s' could not be read!	Il file '%s' non può essere letto!
The file '%s' does not contain a list of file names!	Il file '%s' non contiene un elenco di nomi file!
The directory '%s' does not contain any image files!	La cartella '%s' non contiene nessun file immagine!
Press any key to search the subdirectories for image files.	Premi un tasto per cercare immagini nelle sottocartelle.
JPEGView Help	Aiuto di JPEGView
Current image	Immagine attuale
Close help text display / Close JPEGView	Chiude aiuto / Chiude JPEGView
Show/hide this help text	Visualizza/nasconde questo aiuto
Show/hide picture information (EXIF data)	Visualizza/nasconde informazioni sull'immagine (dati EXIF)
Show/hide file name	Visualizza/nasconde nome file
Enable/disable high quality resampling	Abilita/disabilita ricampionamento ad alta qualità
Enable/disable keeping of geometry related (zoom/pan/rotation)	Abilita/disabilita mantenimento delle proporzioni (ingrandimento/riquadro/rotazione)
and image processing (brightness/contrast/sharpen) parameters between images	e modifica i parametri  (luminosità/contrasto/nitidezza) tra le immagini.
Enable/disable automatic contrast correction (histogram equalization)	Abilita/disabilita correzione automatica contrasto (istogramma equalizzazione)
Apply auto contrast correction using only visible section of image	Applica correzione automatica contrasto usando solo la sezione visibile dell'immagine
Enable/disable automatic density correction (local brightness correction)	Abilita/disabilita correzione automatica densità (LDC - correzione locale luminosità)
Increase/decrease lightening of shadows (LDC must be on)	Incrementa/decrementa schiarimento delle ombre (LDC deve essere attivo)
Increase/decrease darkening of highlights (LDC must be on)	Incrementa/decrementa scurimento delle ombre (LDC deve essere attivo)
Loop through files in current folder	Ricarica i file della cartella attuale
Loop through files in current directory and all subfolders	Ricarica tra i file della cartella attuale e tutte le sottocartelle
Loop through files in current directory and all sibling folders (folders on same level)	Ricarica tra i file nella cartella attuale e tutte le cartelle pari livello
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	Massimizza/ripristina a/da desktop virtuale (solo per sistemi multi-monitor)
Copy screen to clipboard/ Copy processed full size image to clipboard	 Copia schermata negli Appunti/ Copia immagine elaborata delle dimensioni originali negli Appunti
Open new image or slideshow file	Apri nuova immagine o file presentazione
Save processed image to JPEG file (original size)	Salva immagine modificata come JPEG file (dimensioni originali)
Save (s)/ delete (d) image processing parameters in/from parameter DB	Salva (s)/ cancella (d) parametri modifica immagine in/da parametri del DB
