//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: be
//: ISO 3166-1 code:
//: Language: Belarusian
//: Translator(s) - Name <Contact Info/URL>: Uładzimir Panada
//: Last Updated:
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string

//? For the strings below which are short and have no context:
//?   "in" in context is shorthand for "inch"
//?   "cm" in context is shorthand for "centimeter"
//?   "C - R" in context is "Cyan Red" colors
//?   "M - G" in context is "Magenta Green" colors
//?   "Y - B" in context is "Yellow Blue" colors
//?   "yes"/"no" in context is for showing EXIF flags
//?   "on"/"off" in context is for showing a setting active or not
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	Перайменавана %d файлаў, скапіравана %d файлаў, створана %d тэчак
%s camera raw images (embedded JPEGs only)	
%s images	
%s images (processed by Window Imaging Component - WIC)	
'My Pictures' folder	тэчка "My Pictures"
About JPEGView (32-bit version)...	
About JPEGView (64-bit version)...	
Acquisition date:	Дата:
Actual size of image	Сапраўдны памер выявы
Align image to horizontal or vertical line	Выраўнаць адносна лініі
Alignment:	
All Files	Усе файлы
All existing user settings will be preserved.	
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	
Altitude (m):	
Amount	Памер
Application:	
Applications	
Apply	Згода
Apply Unsharp Mask	Наладка нявострай маскі
Apply auto contrast correction using only visible section of image	Аўтакарэкцыя кантрасту толькі для бачнай часткі выявы
Ascending	
Auto contrast and color correction	Аўтакарэкцыя колеру і кантрасту
Auto crop corrected image (avoids black border)	Аўтаабрэзка скарэктаванай выявы (пазьбягаць чорных палёў)
Auto crop rotated image (avoids black border)	Аўтаабрэзка павернутай выявы (пазьбягаць чорных палёў)
Auto zoom mode	Аўтаматычная зьмена маштабу
Back mouse button	Кнопка мышкі "назад"
Batch rename/copy of files	Пакетнае перайменаваньне/капіраваньне файлаў
Blend	
Bottom	
Box	
Brightness	Яркасьць
Browse...	
C - R	
Camera model:	Мадэль камеры:
Can't rename file	Немагчыма перайменаваць файл
Cancel	Адмена
Cannot read from parameter DB file '%s'!	У базе зьвестак не чытаецца файл параметраў '%s'!
Cannot read parameter DB file '%s' because it is too large!	У базе зьвестак не чытаецца файл параметраў '%s' (ён занадта вялікі)!
Cannot write to parameter DB file '%s'!	Файл параметраў '%s' не запісваецца ў базу зьвестак!
Click and drag the mouse vertically to correct image tilt.	Клік і вертыкальны рух мышкі для карэкцыі персьпектывы
Clipboard Image	
Close	Закрыць
Close help text display / Close JPEGView	Закрыць даведку/JPEGView
Color Correction	Карэкцыя колеру
Combine keys with '+'	
Confirm	Пацьвердзіць
Confirm save default parameters	Пацьвердзіць захаваньне асноўных параметраў
Conflicting entries in Param DB	Канфлікт пры запісе параметра ў базу зьвестак
Continue rename/copy?	Працягнуць перайменаваньне/капіраваньне?
Contrast	Кантраст
Contrast Correction	Карэкцыя кантрасту
Copy file path of the image to clipboard	
Copy screen to clipboard/ Copy processed full size image to clipboard	Капіраваць у буфер абмену выяву з экрану/апрацаваную выяву поўнага памеру
Copying parameter DB to file '%s' failed. Reason: %s	Памылка пры капіраваньні параметра базы зьвестак у файл '%s'. Прычына: %s
Correct converging lines (perspective correction)	Карэкцыя сыходжаньня (персьпектывы)
Creation date/time	даты/часу стварэньня
Crop image	Вылучыць частку выявы
Ctrl + Left mouse	Ctrl + левая кнопка мышкі
Current image	Аб выяве
Cyan-Red	блакітны-чырвоны
Darken Highlights	Сьвятло
Date	Дата
Date placeholders use the modification date of the image.	Знакі замены працуюць з датай мадыфікацыі файла
Day / Month / Year (as numbers)	дзень/месяц/год (лічбы)
Decoding this format requires the Microsoft Visual C++ Redistributable.	
Deep Shadows	Глыбокі цень
Delete	
Delete current file on disk permanently	Незваротна выдаліць файл
Delete image file	
Descending	
Display image (EXIF) information	Паказаць інфармацыю EXIF
Do you really want to delete the current image file on disk?	
Do you really want to permanently delete the file %filename%?	Незваротна выдаліць файл %filename%?
Do you really want to save the following parameters as default to the INI file	Ці захаваць гэтыя наладкі як асноўныя ў INI-файле
Drag at the left or right border for asymmetric correction.	Клік і гарызантальны рух мышкі для несіметрычнай трансфармацыі
EXIF date successfully set on %d images, failed on %d images	Інфармацыя EXIF удала дададзеная ў %d выяваў, няўдала ў %d
Edit	
Enable/disable automatic contrast correction (histogram equalization)	Аўтакарэкцыя кантрасту (нармаваньне гістаграмы)
Enable/disable automatic density correction (local brightness correction)	Аўтакарэкцыя шчыльнасьці (лакальная зьмена яркасьці)
Enable/disable full screen mode	Поўнаэкранны рэжым
Enable/disable high quality resampling	Рэсэмплінг высокай якасьці
Enable/disable keeping of geometry related (zoom/pan/rotation)	На ўзор гэтай выявы трансфармаваць
Enable/disable landscape picture enhancement mode	Рэжым паляпшэньня выявы
Error	
Error during rename/copy	Памылка пры перайменаваньні/капіраваньні
Error saving file	Памылка пры захаваньні файла
Error while writing the following registry key	
Error writing file to disk!	Памылка падчас запісу файла на дыск!
Example:	
Exposure bias (EV):	Карэкцыя экспазіцыі (EV):
Exposure time (s):	Экспазіцыя (сек):
Extension	
Extracted number from original file name	нумар з першаснай назвы файла
F-Number:	Дыяфрагма:
File name	назваў
File size	
File type	
Fill paper with crop	
Fill with crop	запоўніць з абрэзкай
Fill with crop (no zoom)	запоўніць з абрэзкай (не павялічваць)
Filter:	
Fit image to screen	Дапасаваць выяву да экрану
Fit to paper	
Fit to screen	дапасаваць
Fit to screen (no zoom)	дапасаваць (не павялічваць)
Flash fired:	Бліц:
Focal length (mm):	Фокусная адлегласьць (мм):
Forward mouse button	Кнопка мышкі "наперад"
Full screen mode	поўнаэкранны рэжым
Goto first/last image of current folder (using sort order as defined)	Пераход да першай/апошняй (паводле сарціроўкі) выявы ў тэчцы
Goto next image	Наступная выява
Goto previous image	Папярэдняя выява
Height	Вышыня
Hide histogram	Схаваць гістагарму
High quality resampling	
Hour / Minute (as numbers)	
ISO Speed:	Чуйнасьць (ISO):
Image Pixels	Пікселы выявы
Image files in folder	Файлы выяваў у тэчцы
Image height:	Вышыня:
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	
Image width:	Шырыня:
Images	Выявы
Increase/decrease auto color cast correction amount	Узмацніць/аслабіць аўтакарэкцыю колеру
Increase/decrease auto contrast correction amount	Узмацніць/аслабіць аўтакарэкцыю кантрасту
Increase/decrease brightness	Павялічыць/зьменьшыць яркасьць
Increase/decrease contrast	Павялічыць/зьменьшыць кантраст
Increase/decrease darkening of highlights (LDC must be on)	Мацней/слабей прыцямняць сьвятло (пры аўтакарэкцыі шчыльнасьці)
Increase/decrease lightening of shadows (LDC must be on)	Мацней/слабей высьвятляць цень (пры аўтакарэкцыі шчыльнасьці)
Increase/decrease sharpness	Павялічыць/зьменьшыць вострасьць
Insufficient rights to change the privilege (DACL) on the registry entry. Continue?	
JPEGView Help	Даведка JPEGView
JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI.	
JPEGView is registered as default viewer for the selected file formats.	
Keep aspect ratio on crop	Захаваць прапорцыі пры абрэзцы
Keep parameters	Ужываць параметры апрацоўкі надалей
Keep processing parameters between images	Прагляд наступных выяваў з абранымі параметрамі апрацоўкі
Known keys:	
Lanczos/Bicubic	
Landscape	
Landscape picture enhancement mode	Рэжым паляпшэньня відарысу
Last modification date/time	даты/часу мадыфікацыі
Left	
Left mouse & drag	Клік і рух мышкі
Licensed under the GNU general public license (GPL), see readme file for details	Ліцэнзія GNU General Public License (GPL), глядзі
Lighten Shadows	Цень
Local density correction	Лакальная карэкцыя шчыльнасьці
Location:	
Loop folder	тэчкі
Loop recursively	укладзеных тэчак
Loop siblings	тэчак аднаго ўзроўню
Loop through files in current directory and all sibling folders (folders on same level)	Колавы прагляд файлаў у абранай тэчцы ды іншых на гэтым узроўні
Loop through files in current directory and all subfolders	Колавы прагляд файлаў у абранай тэчцы і ва ўкладзеных у яе
