//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: bg
//: ISO 3166-1 code:
//: Language: Bulgarian
//: Translator(s) - Name <Contact Info/URL>: Ivan Georgiev <IVG_18@yahoo.com>
//: Last Updated: 11 March 2023
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d файл(а) са преименувани, %d файл(а) са копирани, %d папка(и) са създадени
%s camera raw images (embedded JPEGs only)	%s необработени изображения от камера (само вградени JPEG файлове)
%s images	%s изображения
%s images (processed by Window Imaging Component - WIC)	%s изображения (обработени от Window Imaging Component - WIC)
'My Pictures' folder	Папка 'Моите Снимки'
About JPEGView (32-bit version)...	За JPEGView (32-битова версия)...
About JPEGView (64-bit version)...	За JPEGView (64-битова версия)...
Acquisition date:	Дата на заснемане:
Actual size of image	Действителен размер на изображението
Align image to horizontal or vertical line	Подравни изображението към хоризонтална или вертикална линия
Alignment:	Подравняване:
All Files	Всички файлове
All existing user settings will be preserved.	Всички съществуващи потребителски настройки ще бъдат запазени.
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	Друга възможност е да натиснете с десния бутон върху файл с изображение от даден тип в Windows Explorer и да изберете "Отваряне с... > Избор на програма по подразбиране"
Altitude (m):	Надморска височина (m):
Amount	Размер
Application:	Приложение:
Applications	Приложения
Apply	Приложи
Apply Unsharp Mask	Приложи маска за неяснота
Apply auto contrast correction using only visible section of image	Приложи автоматична корекция на контраста, използвайки само видимата част от изображението
Ascending	Възходящо
Auto contrast and color correction	Автоматичен контраст и корекция на цветовете
Auto crop corrected image (avoids black border)	Автоматично изрязване на коригираното изображение (избягва се черна рамка)
Auto crop rotated image (avoids black border)	Автоматично изрязване на завъртяното изображение (избягва се черна рамка)
Auto zoom mode	Режим на автоматично мащабиране
Back mouse button	Бутон на мишката "Назад"
Batch rename/copy of files	Групово преименуване/копиране на файлове
Blend	Бленда
Bottom	Отдолу
Box	Кутия
Brightness	Яркост
Browse...	Преглед...
C - R	Ц - Ч
Camera model:	Модел на камерата:
Can't rename file	Не може да се преименува файл
Cancel	Отмени
Cannot read from parameter DB file '%s'!	Не може да се прочете от базата с параметри '%s'!
Cannot read parameter DB file '%s' because it is too large!	Не може да се прочете базата с параметри '%s', защото е твърде голяма!
Cannot write to parameter DB file '%s'!	Не може да се запише в базата с параметри '%s'!
Click and drag the mouse vertically to correct image tilt.	Натиснете и плъзнете мишката вертикално, за да коригирате наклона на изображението.
Clipboard Image	Изображение в клипборда
Close	Затвори
Close help text display / Close JPEGView	Затвори показания помощен текст / Затвори JPEGView
Color Correction	Корекция на цветовете
Combine keys with '+'	Комбинирай клавишите с '+'
Confirm	Потвърди
Confirm save default parameters	Потвърди запазване на параметрите по подразбиране
Conflicting entries in Param DB	Конфликтни записи в базата с параметри
Continue rename/copy?	Продължаване на преименуване/копиране?
Contrast	Контраст
Contrast Correction	Корекция на контраста
Copy file path of the image to clipboard	Копирай пътя до файла с изображението в клипборда
