//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: cs
//: ISO 3166-1 code:
//: Language: Czech
//: Translator(s) - Name <Contact Info/URL>: Milos Koutny, mail:<milos(dot)koutny(at)gmail(dot)com>
//: Last Updated:
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d soubor(y) přejmenován, %d soubor(y) zkopírován, %d složka(y) vytvořena
%s camera raw images (embedded JPEGs only)	%s zrojové soubory z kamery (pouze zapouzdřený JPEG)
%s images	%s obrázky
%s images (processed by Window Imaging Component - WIC)	%s obrázky (zpracovány Window Imaging Component - WIC)
'My Pictures' folder	Složka mé obrázky
About JPEGView (32-bit version)...	
About JPEGView (64-bit version)...	
Acquisition date:	Datum pořízení:
Actual size of image	Aktuální rozměr obrázku
Align image to horizontal or vertical line	Zarovnat obrázek k vodorovné nebo svislé lince
Alignment:	
All Files	Všechny soubory
All existing user settings will be preserved.	
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	
Altitude (m):	
Amount	Rozsah
Application:	
Applications	
Apply	Použít
Apply Unsharp Mask	Aplikovat rozostřenou masku
Apply auto contrast correction using only visible section of image	Použít automatickou korekci kontrastu jen na viditelnou sekci obrázku
Ascending	
Auto contrast and color correction	Automatická korekce kontrastu a barev
Auto crop corrected image (avoids black border)	Korigovat obraz automatickým ostřížením (zabránit černému pozadí)
Auto crop rotated image (avoids black border)	Automatické ostřižení otočeného obrázku (vyloučení černého pozadí)
Auto zoom mode	Automatické přizpůsobení rozlišení
Back mouse button	Tlačítko myši zpět
Batch rename/copy of files	Dávkové přejmenování/kopírování souborů
Blend	Míchání
Bottom	
Box	
Brightness	Jas
Browse...	
C - R	
Camera model:	Typ fotoaparátu:
Can't rename file	Nelze přejmenovat soubor
Cancel	Zrušit
Cannot read from parameter DB file '%s'!	Nelze číst z DB souboru '%s'!
Cannot read parameter DB file '%s' because it is too large!	Nelze číst z parametrového DB souboru '%s', protože je příliš velký!
Cannot write to parameter DB file '%s'!	Nelze zapsat do parametrového DB souboru '%s'!
Click and drag the mouse vertically to correct image tilt.	Kliknout a táhnout myší vertikálně pro korekci náklonu obrazu.
Clipboard Image	
Close	Zavřít
Close help text display / Close JPEGView	Uzavřít nápovědu / Uzavřít JPEGView
Color Correction	Korekce barev
Combine keys with '+'	
Confirm	Potvrďte
Confirm save default parameters	Potvrďte uložení výchozích parametrů
Conflicting entries in Param DB	Konfilktní položky v DB parametrů
Continue rename/copy?	Pokračovat přejmenování/kopírování?
Contrast	Kontrast
Contrast Correction	Korekce kontrastu
Copy file path of the image to clipboard	
Copy screen to clipboard / Copy processed full size image to clipboard	Kopírovat obrazovku/obraz v původním rozlišení do schránky
Copying parameter DB to file '%s' failed. Reason: %s	Kopírování DB parametrů do soubrou '%s' selhalo. Důvod: %s
Correct converging lines (perspective correction)	Korekce konvergujicích čar (pespektivní korekce)
Creation date/time	Datum a čas pořízení
Crop image	Zastřihnout obrázek
Crop the image and apply transformation? Cropping cannot be undone!	Ostřihnou obrázek a provést transformaci? Ostřižení nelze vrátit!
Ctrl + Left mouse	Ctrl + levé tlačítko myši
Current image	Tento obrázek
Cyan-Red	Azurová(C)-Červená(R)
Darken Highlights	Snížit jasu u nejsvětlejších míst
Date	Datum a čas poslední změny
Date placeholders use the modification date of the image.	Zástupný znak datumu se užívá k změně data obrázku.
Day / Month / Year (as numbers)	Den / Měsíc / Rok (jako čísla)
Decoding this format requires the Microsoft Visual C++ Redistributable.	
Deep Shadows	Hluboké stíny
Delete	
Delete current file on disk permanently	Trvale vymazat aktuální soubor z disku
Delete image file	
Descending	
Display image (EXIF) information	Zobrazit informace o obrázku (EXIF)
Do you really want to delete the current image file on disk?	
Do you really want to permanently delete the file %filename%?	Přejete si skutečně trvale vymazat soubor %filename%?
Do you really want to save the following parameters as default to the INI file	Chcete skutečně uložit následující parametry jako výchozí do INI souboru
Drag at the left or right border for asymmetric correction.	Táhnout myší na levém nebo pravém pozadí pro nesymetrickou korekci.
EXIF date successfully set on %d images, failed on %d images	EXIF datum úspěšně nastaven u %d obrázků, selhal u %d obrázků
Edit	
Enable/disable automatic contrast correction (histogram equalization)	Povolit/zakázat automatickou korekci kontrastu
Enable/disable automatic density correction (local brightness correction)	Povolit/zakázat automatickou korekci sytosti (lokální korekce jasu)
Enable/disable full screen mode	Povolit/zakázat celoobrazovkový mód
Enable/disable high quality resampling	Povolit/zakázat zobrazení ve velmi vysoké kvalitě
Enable/disable keeping of geometry related (zoom/pan/rotation)	Povolit/zakázat ukladání nastavení geometrie (zvětšení/posunutí/otočení)
Enable/disable landscape picture enhancement mode	Povolit/zakázat rozšířený mód pro vodorovné obrázky(orientace krajina)
Error	Chyba
Error during rename/copy	Chyba během přejmenování/kopírování
Error saving file	Chyba ukládání souboru
Error while writing the following registry key	Chybe během zápisu následujícího klíče registru
Error writing file to disk!	Chyba zápisu souboru na disk!
Example:	
Exif Date Time:	
Exposure bias (EV):	Kompenzace expozice:
Exposure time (s):	Čas expozice:
Extension	Přípona
Extracted number from original file name	Číslo vytažené z původního názvu souboru
F-Number:	Clona-číslo:
File name	Jméno souboru
File size	
File type	Typ souboru
Fill page with crop	
Fill with crop	Vyplnit se zastřihnutím
Fill with crop (no zoom)	Vyplnit s ostřižením (bez změny rozlišení)
Filter:	
Fit image to screen	Přizpůsobit obrázek obrazovce
Fit to page	
Fit to screen	Přizpůsobit obrazovce
Fit to screen (no zoom)	Přizpůsobit obrazovce (bez změny rozlišení)
Flash fired:	Užit blesk:
Focal length (mm):	Ohnisková vzdálenost (mm):
Forward mouse button	Tlačítko myši kupředu
Full screen mode	Celoobrazovkový mód
Goto first/last image of current folder (using sort order as defined)	Přejít na první/poslední obrázek z aktuální složky (dle zvoleného řazení)
Goto next image	Přesun na následující obrázek
Goto previous image	Přesun na předchozí obrázek
Height	Výška
Hide histogram	Skrýt histogram
High quality resampling	
Hour / Minute (as numbers)	
ISO Speed:	ISO rychlost:
Image Pixels	Obrázkových bodů
Image files in folder	Soubory obrázků ve složce
Image height:	Výška obrázku:
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	Šířka i výška obrázku musí být dělitelná rozměrem JPEG bloku (8 nebo 16) pro bezeztrátové transformace!
Image width:	Šířka obrázku:
Images	Obrázky
Increase/decrease auto color cast correction amount	Zvýšit/snížit stupeň automatické korekce barev
Increase/decrease auto contrast correction amount	Zvýšit/snížit stupeň automatické korekce kontrastu
Increase/decrease brightness	Zvýšit/snížit jas
Increase/decrease contrast	Zvýšit/snížit kontrast
Increase/decrease darkening of highlights (LDC must be on)	Snížit/zvýšit potlačení jasu u nejsvětlejších míst (LDC musí být povoleno)
Increase/decrease lightening of shadows (LDC must be on)	Snížit/zvýšit jas stínů (LDC musí být povoleno)
Increase/decrease sharpness	Zvýšit/snížit ostrost
Insufficient rights to change the privilege (DACL) on the registry entry. Continue?	
JPEGView Help	JPEGView Nápověda
JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI.	
JPEGView is registered as default viewer for the selected file formats.	JPEGView je nastaven jako výchozí prohlížeč pro vybrané souborové formáty.
Keep aspect ratio on crop	Držet poměr stran při zastřižení
Keep parameters	Uchovat parametry
Keep processing parameters between images	Zachovat parametry úprav mezi obrázky
Known keys:	
Lanczos/Bicubic	
