//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: de
//: ISO 3166-1 code:
//: Language: German
//: Translator(s):
//: Last Updated:
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string

//? For the strings below which are short and have no context:
//?   "in" in context is shorthand for "inch"
//?   "cm" in context is shorthand for "centimeter"
//?   "C - R" in context is "Cyan Red" colors
//?   "M - G" in context is "Magenta Green" colors
//?   "Y - B" in context is "Yellow Blue" colors
//?   "yes"/"no" in context is for showing EXIF flags
//?   "on"/"off" in context is for showing a setting active or not
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d Datei(en) umbenannt, %d Datei(en) kopiert, %d Ordner erstellt
%s camera raw images (embedded JPEGs only)	%s Kamera-Rohbilder (nur eingebettete JPEG Bilder)
%s images	%s Bilder
%s images (processed by Window Imaging Component - WIC)	%s Bilder (geöffnet mit Windows Imaging Component - WIC)
'My Pictures' folder	Ordner 'Eigene Bilder'
About JPEGView (32-bit version)...	Über JPEGView (32 Bit-Version)...
About JPEGView (64-bit version)...	Über JPEGView (64 Bit-Version)...
Acquisition date:	Aufnahmedatum:
Actual size of image	Tatsächliche Bildgrösse
Align image to horizontal or vertical line	Bild an horizontaler oder vertikaler Linie ausrichten
Alignment:	Ausrichtung:
All Files	Alle Dateien
All existing user settings will be preserved.	Alle existierenden Benutzereinstellungen bleiben unverändert erhalten.
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	Alternativ können Sie auf eine Bilddatei des entsprechenden Typs im Windows Explorer rechtsklicken und 'Öffnen mit... > Standardprogramm festlegen' anwählen.
Altitude (m):	Höhe (m):
Amount	Stärke
Application:	Anwendung:
Applications	Anwendungen
Apply	Anwenden
Apply Unsharp Mask	Unscharf maskieren anwenden
Apply auto contrast correction using only visible section of image	Auto-Kontrastkorrektur nur auf sichtbaren Bildausschnitt anwenden
Ascending	Aufsteigend
Auto contrast and color correction	Automatische Kontrast- und Farbkorrektur
Auto crop corrected image (avoids black border)	Korrigiertes Bild freistellen (verhindert schwarzen Rahmen)
Auto crop rotated image (avoids black border)	Gedrehtes Bild freistellen (verhindert schwarzen Rahmen)
Auto zoom mode	Auto-Zoom Modus
Back mouse button	Zurück Maustaste
Batch rename/copy of files	Bildserie umbenennen/kopieren
Blend	Überblenden
Bottom	Unten
Box	
Brightness	Helligkeit
Browse...	Auswählen...
C - R	
Camera model:	Kameramodell:
Can't rename file	Datei kann nicht umbenannt werden
Cancel	Abbrechen
Cannot read from parameter DB file '%s'!	Von der Parameter-DB Datei '%s' kann nicht gelesen werden!
Cannot read parameter DB file '%s' because it is too large!	Die Parameter-DB Datei '%s' kann nicht gelesen werden weil sie zu gross ist!
Cannot write to parameter DB file '%s'!	In die Parameter-DB Datei '%s' kann nicht geschrieben werden!
Click and drag the mouse vertically to correct image tilt.	Klicken und ziehen Sie die Maus vertikal um die Bildneigung zu ändern.
Clipboard Image	
Close	Schliessen
Close help text display / Close JPEGView	Hilfetextanzeige schliessen / JPEGView beenden
Color Correction	Farbkorrektur
Combine keys with '+'	Tasten mit '+' kombinieren
Confirm	Bestätigung
Confirm save default parameters	Standardparameter wirklich speichern?
Conflicting entries in Param DB	Konflikt beim Importieren in Parameter-DB
Continue rename/copy?	Umbenennen/Kopieren fortsetzen?
Contrast	Kontrast
Contrast Correction	Kontrastkorrektur
Copy file path of the image to clipboard	
Copy screen to clipboard/ Copy processed full size image to clipboard	Bildschirmbild in Zwischenablage kopieren/ Bearbeitetes Bild in Originalgrösse kopieren
Copying parameter DB to file '%s' failed. Reason: %s	Kopieren der Parameter-DB in die Datei %s fehlgeschlagen! Grund: %s
Correct converging lines (perspective correction)	Stürzende Linien korrigieren (Perspektiven-Korrektur)
Creation date/time	Erstellungsdatum
Crop image	Bildausschnitt freistellen (Crop)
Ctrl + Left mouse	Ctrl + Linke Maustaste
Current image	Aktuelles Bild
Cyan-Red	Cyan-Rot
Darken Highlights	Lichter abdunkeln
Date	Datum
Date placeholders use the modification date of the image.	Datumsplatzhalter verwenden das Änderungsdatum der Bilder.
Day / Month / Year (as numbers)	Tag / Monat / Jahr (als Zahl)
Decoding this format requires the Microsoft Visual C++ Redistributable.	
Deep Shadows	Tiefschatten
Delete	Löschen
Delete current file on disk permanently	Aktuelle Bilddatei endgültig löschen
Delete image file	Bilddatei löschen
Descending	Absteigend
Display image (EXIF) information	Bildinfo (EXIF) anzeigen
Do you really want to delete the current image file on disk?	Soll die aktuelle Bilddatei wirklich gelöscht werden?
Do you really want to permanently delete the file %filename%?	Soll die Datei %filename% wirklich permanent gelöscht werden?
