//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: el
//: ISO 3166-1 code:
//: Language: Greek, Modern
//: Translator(s) - Name <Contact Info/URL>: Michalis (Μιχάλης) <michalisnet(at)yahoo(dot)gr>
//: Last Updated:
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d αρχείο(α) μετονομάστηκαν, %d αρχείο(α) αντιγράφηκαν, %d φάκελος(οι) δημιουργήθηκαν
%s camera raw images (embedded JPEGs only)	%s ακατέργαστες εικόνες CAMERA RAW (μόνο ενσωματωμένα JPEG)
%s images	%s εικόνες
%s images (processed by Window Imaging Component - WIC)	%s εικόνες (επεξεργασία από το Window Imaging Component - WIC)
'My Pictures' folder	Φάκελος 'Οι εικόνες μου'
About JPEGView (32-bit version)...	Σχετικά με το JPEGView (έκδοση 32-bit)...
About JPEGView (64-bit version)...	Σχετικά με το JPEGView (έκδοση 64-bit)...
Acquisition date:	Ημερομηνία λήψης:
Actual size of image	Πραγματικό μέγεθος
Align image to horizontal or vertical line	Ευθυγράμμιση εικόνας σε οριζόντια ή κάθετη γραμμή
Alignment:	Ευθυγράμμιση:
All Files	Όλα τα αρχεία
All existing user settings will be preserved.	Όλες οι υπάρχουσες ρυθμίσεις του χρήστη θα διατηρηθούν.
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	Εναλλακτικά, κάντε δεξί κλικ σε ένα αρχείο εικόνας του συγκεκριμένου τύπου στην Εξερεύνηση των Windows και επιλέξτε 'Άνοιγμα με... > Επιλογή προεπιλεγμένου προγράμματος".
Altitude (m):	Υψόμετρο (μ):
Amount	Ποσοστό
Application:	Εφαρμογή:
Applications	Εφαρμογές:
Apply	Εφαρμογή
Apply Unsharp Mask	Εφαρμογή μάσκας μείωσης όξυνσης
Apply auto contrast correction using only visible section of image	Εφαρμογή αυτόματης διόρθωσης της αντίθεσης με βάση το ορατό μέρος της εικόνας
Ascending	Αύξουσα
Auto contrast and color correction	Αυτόματη διόρθωση αντίθεσης και χρώματος
Auto crop corrected image (avoids black border)	Αυτόματη περικοπή διορθωμένης εικόνας (αποφυγή του μαύρου περιθωρίου)
Auto crop rotated image (avoids black border)	Αυτόματη περικοπή περιστραμμένης εικόνας (αποφυγή του μαύρου περιθωρίου)
Auto zoom mode	Λειτουργία αυτόματου ζουμ
Back mouse button	Πίσω πλήκτρο ποντικιού
Batch rename/copy of files	Μαζική μετονομασία/αντιγραφή αρχείων
Blend	Μίξη εικόνων
Bottom	Κάτω
Box	Πλαίσιο
Brightness	Φωτεινότητα
Browse...	Περιήγηση...
C - R	C - R
Camera model:	Μοντελο μηχανής:
Can't rename file	Δεν είναι δυνατή η μετονομασία του αρχείου
Cancel	Ακύρωση
Cannot read from parameter DB file '%s'!	Η ΒΔ παραμέτρων '%s' δεν είναι αναγνώσιμη!
Cannot read parameter DB file '%s' because it is too large!	Η ΒΔ παραμέτρων '%s' δεν είναι αναγνώσιμη λόγω μεγάλου μεγέθους!
Cannot write to parameter DB file '%s'!	Η ΒΔ παραμέτρων '%s' δεν είναι εγγράψιμη!
