//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: es
//: ISO 3166-1 code: ar
//: Language: Spanish (Argentina)
//: Translator(s) - Name <Contact Info/URL>: ThecaTTony (thecattony@users.sourceforge.net - thecattony@thecattony.com.ar)
//: Last Updated:
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d archivo(s) renombrado(s), %d archivo(s) copiado(s), %d carpeta(s) creada(s)
%s camera raw images (embedded JPEGs only)	
%s images	
%s images (processed by Window Imaging Component - WIC)	
'My Pictures' folder	Carpeta 'Mis imágenes'
About JPEGView (32-bit version)...	
About JPEGView (64-bit version)...	
Acquisition date:	Fecha de adquisición:
Actual size of image	Tamaño actual de la imagen
Align image to horizontal or vertical line	Alinear imagen a una linea horizontal o vertical
Alignment:	
All Files	Todos los archivos
All existing user settings will be preserved.	
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	
Altitude (m):	
Amount	Cantidad
Application:	
Applications	
Apply	Aplicar
Apply Unsharp Mask	Aplicar máscara de desenfoque
Apply auto contrast correction using only visible section of image	Aplicar corrección automática de contraste usando sólo la sección visible de la imagen
Ascending	
Auto contrast and color correction	Autocorrección de contraste y color
Auto crop corrected image (avoids black border)	
Auto crop rotated image (avoids black border)	Eliminar automaticamente bordes en la imagen rotada (evita bordes negros)
Auto zoom mode	Modo de autozoom
Back mouse button	
Batch rename/copy of files	Renombrado/copia de archivos por lotes
Blend	
Bottom	
Box	
Brightness	Brillo
Browse...	
C - R	Cy - Ro
Camera model:	Modelo de cámara:
Can't rename file	No se puede renombrar el archivo
Cancel	Cancelar
Cannot read from parameter DB file '%s'!	¡No se puede leer el archivo de parámetros de BD '%s'!
Cannot read parameter DB file '%s' because it is too large!	¡No se puede leer el archivo de parámetros de BD '%s' porque es muy grande!
Cannot write to parameter DB file '%s'!	¡No se puede escribir al archivo de parámetros de BD '%s'!
Click and drag the mouse vertically to correct image tilt.	
Clipboard Image	
Close	Cerrar
Close help text display / Close JPEGView	Cerrar texto de ayuda / Cerrar JPEGView
Color Correction	Corrección de colores
Combine keys with '+'	
Confirm	Confirmar
Confirm save default parameters	Confirma guardar parámetros por defecto
Conflicting entries in Param DB	Registros conflictivos en BD de parametros
Continue rename/copy?	Continuar renombrado/copiando?
Contrast	Contraste
Contrast Correction	Corrección de contraste
Copy file path of the image to clipboard	
Copy screen to clipboard / Copy processed full size image to clipboard	Copiar pantalla al portapapeles/ Copiar imagen procesada de tamaño completo al portapapeles
Copying parameter DB to file '%s' failed. Reason: %s	La copia de la BD de parametros en el fichero '%s' falló. Razón: %s
Correct converging lines (perspective correction)	
Creation date/time	Hora/fecha de creación
Crop image	Cortar bordes de imagen
Crop the image and apply transformation? Cropping cannot be undone!	
Ctrl + Left mouse	Ctrl + botón izquierdo
Current image	Imagen actual
Cyan-Red	Cyan-Rojo
Darken Highlights	Sombras medias
Date	Fecha
Date placeholders use the modification date of the image.	Las banderas de reemplazo de fechas usan la fecha de modificación de la imagen.
Day / Month / Year (as numbers)	Día / Mes / Año (numéricos)
Decoding this format requires the Microsoft Visual C++ Redistributable.	
Deep Shadows	Sombras profundas
Delete	
Delete current file on disk permanently	Borrar archivo permanentemente del disco
Delete image file	
Descending	
Display image (EXIF) information	Mostrar información (EXIF) de la imagen
Do you really want to delete the current image file on disk?	
Do you really want to permanently delete the file %filename%?	¿Realmente quiere borrar permanentemente el archivo %filename%?
Do you really want to save the following parameters as default to the INI file	Realmente quiere guardar los siguientes parámetros como defecto en el archivo INI
Drag at the left or right border for asymmetric correction.	
EXIF date successfully set on %d images, failed on %d images	Fecha EXIF establecida correctamente en %d imagenes, fallado en %d imagenes
Edit	
Enable/disable automatic contrast correction (histogram equalization)	Habilitar/deshabilitar corrección automática de contraste (ecualización de histograma)
Enable/disable automatic density correction (local brightness correction)	Habilitar/deshabilitar corrección automática de densidad (corrección de brillo local)
Enable/disable full screen mode	Habilitar/deshabilitar modo pantalla completa
Enable/disable high quality resampling	Habilitar/deshabilitar remuestreo de alta calidad
Enable/disable keeping of geometry related (zoom/pan/rotation)	Habilitar/deshabilitar mantener la relación de aspecto (Zoom/Paneo/Rotación)
Enable/disable landscape picture enhancement mode	Habilitar/deshabilitar modo de mejora de foto de paisaje
Error	
Error during rename/copy	Error durante renombrado/copia
Error saving file	Error guardando archivo
Error while writing the following registry key	
Error writing file to disk!	¡Error escribiendo archivo al disco!
Example:	
Exif Date Time:	
Exposure bias (EV):	Bias de exposición (EV):
Exposure time (s):	Tiempo de exposición (s):
Extension	
Extracted number from original file name	Número extraído del nombre original del archivo
F-Number:	Relación focal:
File name	Nombre de archivo
File size	
File type	
Fill page with crop	
Fill with crop	Ajustar todas las imagenes con bordes cortados
Fill with crop (no zoom)	Ajustar con bordes cortados (sin zoom)
Filter:	
Fit image to screen	Acomodar imagen a la pantalla
Fit to page	
Fit to screen	Ajustar todas las imagenes a la pantalla
Fit to screen (no zoom)	Ajustar a la pantalla (sin zoom)
Flash fired:	Flash disparado:
Focal length (mm):	Longitud focal (mm):
Forward mouse button	Fwd mouse button
Full screen mode	Modo pantalla completa
Goto first/last image of current folder (using sort order as defined)	Ir a primer/última imagen de la carpeta actual (usando el ordenamiento definido)
Goto next image	Ir a la imagen siguiente
Goto previous image	Ir a la imagen anterior
Height	Alto
Hide histogram	Esconder histograma
High quality resampling	
Hour / Minute (as numbers)	
ISO Speed:	Velocidad ISO:
Image Pixels	Pixeles de la imagen
Image files in folder	Archivos de imágenes en la carpeta
Image height:	Alto de imagen:
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	
Image width:	Ancho de imagen:
Images	Imágenes
Increase/decrease auto color cast correction amount	Incrementar/decrementar cantidad de autocorreción de colores
Increase/decrease auto contrast correction amount	Incrementar/decrementar cantidad de autocorreción de contraste
Increase/decrease brightness	Incrementar/decrementar brillo
Increase/decrease contrast		Incrementar/decrementar contraste
Increase/decrease darkening of highlights (LDC must be on)	Incrementar/decrementar oscurecimiento de luces (LDC debe estar activo)
Increase/decrease lightening of shadows (LDC must be on)	Incrementar/decrementar iluminación de sombras (LDC debe estar activo)
Increase/decrease sharpness	Incrementar/decrementar nitidez
Insufficient rights to change the privilege (DACL) on the registry entry. Continue?	
JPEGView Help	Ayuda de JPEGView
JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI.	
JPEGView is registered as default viewer for the selected file formats.	
Keep aspect ratio on crop	
Keep parameters	Mantener parámetros
Keep processing parameters between images	Mantener parámetros de procesamiento entre imagenes
Known keys:	
Lanczos/Bicubic	
Landscape	
Landscape picture enhancement mode	Modo de mejora de imagen de paisajes
Last modification date/time	Hora/fecha de última modificación
Left	
Left mouse & drag	Botón izquierdo y arrastrar
Licensed under the GNU general public license (GPL), see readme file for details	Licenciado bajo la Licencia Pública General de GNU (GPL), vea el archivo readme para detalles
Lighten Shadows	Sombras leves
Local density correction	Corrección de densidad local
Location:	
Loop folder	Ciclar carpeta
Loop recursively	Ciclar recursivamente
Loop siblings	Ciclar en carpetas de mismo nivel
Loop through files in current directory and all sibling folders (folders on same level)	Ciclar en los archivos de la carpeta actual y hermanas (carpetas del mismo nivel)
Loop through files in current directory and all subfolders	Ciclar en los archivos de la carpeta actual y de todos las subcarpetas
Loop through files in current folder	Ciclar en los archivos de la carpeta actual
