//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: es
//: ISO 3166-1 code:
//: Language: Spanish
//: Translator(s) - Name <Contact Info/URL>:
//: Last Updated:
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d archivo(s) renombrado(s), %d archivo(s) copiado(s), %d carpeta(s) creada(s)
%s camera raw images (embedded JPEGs only)	%s Imágenes de Cámara crudas (Solo grabadas en JPEGs)
%s images	%s Imágenes
%s images (processed by Window Imaging Component - WIC)	%s Imágenes (Procesadas por Windows Imaging Component - WIC)
'My Pictures' folder	Carpeta 'Mis imágenes'
About JPEGView (32-bit version)...	Acerca JPEGView (Versión 32 Bit)...
About JPEGView (64-bit version)...	Acerca JPEGView (Versión 64 Bit)...
Acquisition date:	Fecha de adquisición:
Actual size of image	Tamaño actual de la imagen
Align image to horizontal or vertical line	Alinear imagen a una línea horizontal o vertical
Alignment:	Alineamiento:
All Files	Todos los archivos
All existing user settings will be preserved.	
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	Alternativamente, de un pulsado derecho en un archivo de imagen de algún tipo dado en el Explorador de Windows Explorer y elegir 'Abrir con... > Escoja el programa por defecto'
Altitude (m):	Altitud (m):
Amount	Cantidad
Application:	Aplicación:
Applications	Aplicaciones
Apply	Aplicar
Apply Unsharp Mask	Aplicar máscara de desenfoque
Apply auto contrast correction using only visible section of image	Aplicar corrección automática de contraste usando sólo la sección visible de la imagen
Ascending	Contando Mas
Auto contrast and color correction	Auto corrección de contraste y color
Auto crop corrected image (avoids black border)	Auto corregir bordes de imagen (Evita bordes negros)
Auto crop rotated image (avoids black border)	Eliminar automáticamente bordes en la imagen rotada (Evita bordes negros)
Auto zoom mode	Modo de Auto-Aumento
Back mouse button	Botón "Atrás" del ratón
Batch rename/copy of files	Renombrado/copia de archivos por lotes
Blend	Mezclar
Bottom	Abajo
Box	Caja
Brightness	Brillo
Browse...	Buscar...
C - R	
Camera model:	Modelo de cámara:
Can't rename file	No se puede renombrar el archivo
Cancel	Cancelar
Cannot read from parameter DB file '%s'!	¡No se puede leer el archivo de parámetros de BD '%s'!
Cannot read parameter DB file '%s' because it is too large!	¡No se puede leer el archivo de parámetros de BD '%s' porque es muy grande!
Cannot write to parameter DB file '%s'!	 ¡No se puede escribir al archivo de parámetros de BD '%s'!
Click and drag the mouse vertically to correct image tilt.	Pulse y arrastre el ratón verticalmente para corregir el ángulo de la imagen.
Clipboard Image	
Close	Cerrar
Close help text display / Close JPEGView	Cerrar texto de ayuda / Cerrar JPEGView
Color Correction	Corrección de Colores
Combine keys with '+'	Combine tecla con '+'
Confirm	Confirmar
Confirm save default parameters	Confirme el guardar de los parámetros por defecto
Conflicting entries in Param DB	Registros conflictivos en BD de parámetros
Continue rename/copy?	¿Continuar renombrar/copiar?
Contrast	Contraste
Contrast Correction	Corrección de Contraste
Copy file path of the image to clipboard	
