//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: eu
//: ISO 3166-1 code:
//: Language: Basque
//: Translator(s) - Name <Contact Info/URL>:
//: Last Updated:
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d agiri berrizendatuta, %d agiri kopiatuta, %d agiritegi sortuta
%s camera raw images (embedded JPEGs only)	%s kamera raw irudiak (barneratutako JPEG-ak  bakarrik)
%s images	%s irudiak
%s images (processed by Window Imaging Component - WIC)	%s irudi (Window Imaging Component - WIC-rekin prozesatuta)
'My Pictures' folder	'Nire Argazkiak' agiritegia
About JPEGView (32-bit version)...	JPEGView-ri buruz (32 biteko bertsioa)...
About JPEGView (64-bit version)...	JPEGView-ri buruz (64 biteko bertsioa)...
Acquisition date:	Erosketa eguna:
Actual size of image	Irudiaren oraingo neurria
Align image to horizontal or vertical line	Lerrokatu irudia etzaneko edo zutikako lerro batera
Alignment:	Lerrokapena:
All Files	Agiri denak
All existing user settings will be preserved.	Dauden erabiltzaile ezarpen guztiak gordeko dira.
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	Aukeran, eskuin klikatu emaniko motako irudi agiri bat Windows Esploratzailean eta hautatu 'Ireki honekin... > Hautatu berezko programa'
Altitude (m):	
Amount	Kopurua
Application:	Aplikazioa:
Applications	Aplikazioak
Apply	Ezarri
Apply Unsharp Mask	Ezarri Lausotze Mozorroa
Apply auto contrast correction using only visible section of image	Ezarri berezgaitasunezko zuribeltztasun zuzenketa irudiaren atal ikusgarria bakarrik erabiliz
Ascending	Gora-zenbaketa
Auto contrast and color correction	Zuribeltztasun eta margo berez zuzenketa
Auto crop corrected image (avoids black border)	Berez moztu zuzendutako irudia (hertz beltzak saihesten ditu)
Auto crop rotated image (avoids black border)	Berez moztu itzulikatutako irudia (hertz beltzak saihesten ditu)
Auto zoom mode	Berez zoom modua
Back mouse button	Saguaren atzera botoia
Batch rename/copy of files	Agirien multzokako berrizendatzea/kopiatzea
Blend	Nahasketa
Bottom	Behea
Box	Kutxatila
Brightness	Dizdira
Browse...	Bilatu...
C - R	Zu - Go
Camera model:	Kamera eredua:
Can't rename file	Ezin da agiria berrizendatu
Cancel	Ezeztatu
Cannot read from parameter DB file '%s'!	Ezinezkoa irakurtzea '%s' parametro DB agiritik!
Cannot read parameter DB file '%s' because it is too large!	'%s'parametro DB agiria ezin da irakurri handiegia delako!
Cannot write to parameter DB file '%s'!	Ezinezkoa idaztea '%s' parametro DB agirira!
Click and drag the mouse vertically to correct image tilt.	Klikatu eta arrastatu sagua zutika irudi okertua zuzentzeko.
Clipboard Image	
Close	Itxi
Close help text display / Close JPEGView	Itxi laguntza idazki erakuspena / Itxi JPEGIkusgailua
Color Correction	Margo Zuzenketa
Combine keys with '+'	Batu teklak '+'-rekin
Confirm	Baieztatu
Confirm save default parameters	Baieztatu berezko parametroak gordetzea
Conflicting entries in Param DB	Sarrera gatazka Parametro DB-an
Continue rename/copy?	Jarraitu berrizendatu/kopiaturekin?
Contrast	Zuribeltztasuna
Contrast Correction	Zuribeltztasun Zuzenketa
Copy file path of the image to clipboard	
Copy screen to clipboard / Copy processed full size image to clipboard	Kopiatu ikusleihoa gakora/ Kopiatu prozesatutako irudia neurri osoan gakora
Copying parameter DB to file '%s' failed. Reason: %s	Hutsegitea DB paremetroak '%s' agirira kopiatzerakoan. Zergaitia: %s
Correct converging lines (perspective correction)	Zuzendu lerro baterakorrak (ikuspegi zuzenketa)
Creation date/time	Sortze eguna/ordua
Crop image	Moztu irudia
Crop the image and apply transformation? Cropping cannot be undone!	Moztu irudia eta ezarri eraldaketa? Mozketa ezin da desegin!
Ctrl + Left mouse	Ktrl + saguaren ezker botoia
Current image	Oraingo irudia
Cyan-Red	Ziana-Gorria
Darken Highlights	Itzal ertainak
Date	Eguna
Date placeholders use the modification date of the image.	Egun ordezte-ezarpenak irudiaren eguna erabiltzen du.
Day / Month / Year (as numbers)	Eguna / Hilabetea / Urtea (zenbakietan)
Decoding this format requires the Microsoft Visual C++ Redistributable.	
Deep Shadows	Itzal sakonak
Delete	Ezabatu
Delete current file on disk permanently	Ezabatu oraingo agiria diskatik betirako
Delete image file	Ezabatu irudi agiria
Descending	Behera-zenbaketa
Display image (EXIF) information	Erakutsi irudiaren (EXIF) argibideak
Do you really want to delete the current image file on disk?	Egitan nahi duzu oraingo irudia diskatik ezabatzea?
Do you really want to permanently delete the file %filename%?	Egitan nahi duzu ezabatzea %filename% agiria betirako?
Do you really want to save the following parameters as default to the INI file	Egitan nahi duzu hurrengo parametroak berezkotzat bezala gordetzea INI agirian
Drag at the left or right border for asymmetric correction.	Arrastatu ezker edo eskuin hertzera zuzenketa asimetrikorako
EXIF date successfully set on %d images, failed on %d images	EXIF eguna ongi ezarri da %d iruditan, hutsegitea %d iruditan
Edit	Editatu
Enable/disable automatic contrast correction (histogram equalization)	Gaitu/Ezgaitu berezgaitasunezko zuribeltztasun zuzenketa (histograma ekualizazioa)
Enable/disable automatic density correction (local brightness correction)	Gaitu/Ezgaitu berezgaitasunezko dentsitate zuzenketa (tokiko dizdira zuzenketa)
Enable/disable full screen mode	Gaitu/Ezgaitu ikusleiho-osoko modua
Enable/disable high quality resampling	Gaitu/Ezgaitu ontasun handiko birlaginketa
Enable/disable keeping of geometry related (zoom/pan/rotation)	Gaitu/Ezgaitu geometriari heustea (Zooma/Pan/Itzulikapena)
