//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: fi
//: ISO 3166-1 code:
//: Language: Finnish
//: Translator(s) - Name <Contact Info/URL>: Kari Eveli <lexitec@lexitec.fi>
//: Last Updated: 2023-03-16
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d tiedosto(a) nimetty uudelleen, %d tiedosto(a) kopioitu, %d kansio(ta) luotu
%s camera raw images (embedded JPEGs only)	%s kameran raakakuvia (vain upotetut JPEG-kuvat)
%s images	%s kuvia
%s images (processed by Window Imaging Component - WIC)	%s kuvia (käsitelty Window Imaging -komponentilla)
'My Pictures' folder	'Kuvat' -kansio
About JPEGView (32-bit version)...	Tietoja JPEGViewista (32-bittinen versio)...
About JPEGView (64-bit version)...	Tietoja JPEGViewista (64-bittinen versio)...
Acquisition date:	Kuvauspäivämäärä:
Actual size of image	Kuvan todellinen koko
Align image to horizontal or vertical line	Kohdista kuva vaaka- tai pystylinjan mukaan
Alignment:	Kohdistus:
All Files	Kaikki tiedostot
All existing user settings will be preserved.	Kaikki nykyiset käyttäjäasetukset säilyvät.
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	Vaihtoehtoisesti napsauta hiiren kakkospainikkeella tietyntyyppistä kuvatiedostoa resurssienhallinnassa ja mene kohtaan 'Avaa sovelluksessa > Valitse oletusohjelma...'
Altitude (m):	Korkeus (m):
Amount	Määrä
Application:	Sovellus:
Applications	Sovellukset
Apply	Käytä
Apply Unsharp Mask	Käytä epäterävää maskia
Apply auto contrast correction using only visible section of image	Käytä kontrastin automaattikorjausta perustuen vain kuvan näkyvään osaan
Ascending	Nouseva
Auto contrast and color correction	Kontrastin ja värien automaattikorjaus
Auto crop corrected image (avoids black border)	Korjatun kuvan automaattirajaus (ei mustia reunoja)
Auto crop rotated image (avoids black border)	Kierretyn kuvan automaattirajaus (ei mustia reunoja)
Auto zoom mode	Automaattizoomaus
Back mouse button	Hiiren taakse-nappi
Batch rename/copy of files	Usean tiedoston uudelleennimeäminen/kopiointi kerralla
Blend	Sekoitus (blendaus)
Bottom	Ala
Box	Laatikko
Brightness	Kirkkaus
Browse...	Selaa...
C - R	S - P
Camera model:	Kameran malli:
Can't rename file	Tiedostoa ei voi nimetä uudelleen
Cancel	Peruuta
Cannot read from parameter DB file '%s'!	Parametritietokantatiedostoa '%s' ei voi lukea!
Cannot read parameter DB file '%s' because it is too large!	Parametritietokantatiedostoa '%s' ei voi lukea, koska se on liian suuri!
Cannot write to parameter DB file '%s'!	Parametritietokantatiedostoon '%s' ei voi kirjoittaa!
Click and drag the mouse vertically to correct image tilt.	Vedä hiirellä pystysuoraan kuvan keskeltä kallistuskulman korjaamiseksi.
Clipboard Image	Leikepöydän kuva
Close	Sulje
Close help text display / Close JPEGView	Sulje ohjetekstinäyttö / Sulje JPEGView
Color Correction	Värien korjaus
Combine keys with '+'	Yhdistä avainsanat '+' -merkillä
Confirm	Vahvista
Confirm save default parameters	Vahvista oletusparametrien tallennus
Conflicting entries in Param DB	Ristiriitaisia tietueita parametritietokannassa
Continue rename/copy?	Jatketaanko uudelleennimeämistä/kopiointia?
Contrast	Kontrasti
Contrast Correction	Kontrastin korjaus
Copy file path of the image to clipboard	Kopioi kuvan tiedostopolku leikepöydälle
Copy screen to clipboard / Copy processed full size image to clipboard	Kopioi näyttö leikepöydälle/ Kopioi käsitelty täysikokoinen kuva leikepöydälle
Copying parameter DB to file '%s' failed. Reason: %s	Parametritietokannan kopiointi tiedostoon '%s' epäonnistui. Syy: %s
Correct converging lines (perspective correction)	Perspektiivikorjaus
Creation date/time	Luontipäivä/-aika
Crop image	Rajaa kuva
Crop the image and apply transformation? Cropping cannot be undone!	Leikataanko kuva pienemmäksi ja toteutetaan muunnos? Pienennöstä ei voi perua!
Ctrl + Left mouse	Ctrl + vasen hiiren nappi
Current image	Tämä kuva
Cyan-Red	Syaani-punainen
Darken Highlights	Tummenna kohokohtia
Date	Päiväys
Date placeholders use the modification date of the image.	Päiväystä hyödyntävät paikanvaraajat korvataan kuvan muuttamispäivän tiedoilla.
Day / Month / Year (as numbers)	päivä/kuu/vuosi (numeroina)
Decoding this format requires the Microsoft Visual C++ Redistributable.	Tämän koodausmuodon purku edellyttää Microsoft Visual C++ Redistributable -ohjelman asentamista.
Deep Shadows	Syvät varjot
Delete	Poista
Delete current file on disk permanently	Poista nykyinen tiedosto levyltä pysyvästi
Delete image file	Poista kuvatiedosto
Descending	Laskeva
Display image (EXIF) information	Näytä kuvan metatiedot (EXIF)
Do you really want to delete the current image file on disk?	Haluatko todella poistaa nykyisen kuvatiedoston levyltä?
Do you really want to permanently delete the file %filename%?	Haluatko todella poistaa %filename%-nimisen tiedoston pysyvästi?
Do you really want to save the following parameters as default to the INI file	Haluatko todella tallentaa seuraavat parametrit oletusarvoina INI-tiedostoon?
