//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: fr
//: ISO 3166-1 code:
//: Language: French (Français)
//: Translator(s) - Name <Contact Info/URL>: Ronan Plantec <rplantec@laposte.net>
//: Last Updated: 2023-03-09
//: Additional Notes:
//old French translator Laurent Grenet <https://github.com/LaurentGrenet> until 2023-02-09
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d fichier(s) renommé(s), %d fichier(s) copié(s), %d dossier(s) créé(s)
%s camera raw images (embedded JPEGs only)	%s images photo brutes (seulement les JPEG embarqués)
%s images	%s images
%s images (processed by Window Imaging Component - WIC)	%s images (traitées avec Windows Imaging Component - WIC)
'My Pictures' folder	Dossier 'Images'
About JPEGView (32-bit version)...	À propos de JPEGView (version 32 bits)...
About JPEGView (64-bit version)...	À propos de JPEGView (version 64 bits)...
Acquisition date:	Date d'acquisition :
Actual size of image	Taille réelle de l'image
Align image to horizontal or vertical line	Aligner l'image avec une ligne horizontale ou verticale
Alignment:	Alignement :
All Files	Tous les fichiers
All existing user settings will be preserved.	Tous les paramètres utilisateur existants seront préservés.
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	Ou sinon, faites un clic droit sur un fichier image du type donné dans l'Explorateur windows et choisissez 'Ouvrir avec... > Choisir le programme par défaut'.
Altitude (m):	Altitude (m):
Amount	Quantité
Application:	Application :
Applications	Applications
Apply	Appliquer
Apply Unsharp Mask	Appliquer le filtre de netteté
Apply auto contrast correction using only visible section of image	Appliquer la correction automatique du contraste en utilisant uniquement la partie visible de l'image
Ascending	Ordre croissant
Auto contrast and color correction	Corrections automatique des couleurs et du contraste
Auto crop corrected image (avoids black border)	Rognage automatique de l'image corrigée (évite les bords noirs)
Auto crop rotated image (avoids black border)	Rognage automatique de l'image pivotée (évite les bords noirs)
Auto zoom mode	mode zoom automatique
Back mouse button	Bouton arrière de la souris
Batch rename/copy of files	Traitement par lot renommer/copier des fichiers
Blend	Mélanger les calques
Bottom	Bas
Box	Boîte
Brightness	Gamma
Browse...	Explorer...
C - R	Cy - R
Camera model:	Modèle d'appareil photo :
Can't rename file	Impossible de renommer le fichier
Cancel	Annuler
Cannot read from parameter DB file '%s'!	Impossible de lire depuis '%s' le fichier BdD de paramètre !
Cannot read parameter DB file '%s' because it is too large!	Impossible de lire le fichier '%s' BdD de paramètre  parce que sa taille est trop grande !
Cannot write to parameter DB file '%s'!	Impossible d'écrire dans le fichier '%s' BdD de paramètre !
Click and drag the mouse vertically to correct image tilt.	Cliquez et faites glisser la souris verticalement pour corriger l'inclinaison de l'image.
Clipboard Image	Image du presse-papiers
Close	Fermer
Close help text display / Close JPEGView	Fermer l'aide / Fermer JPEGView
Color Correction	Correction des couleurs
Combine keys with '+'	Combiner les touches avec '+'
Confirm	Confirmer
Confirm save default parameters	Confirmer la sauvegarde des réglages par défaut dans le fichier INI
Conflicting entries in Param DB	Conflit d'entrées dans la BdD de paramètre
Continue rename/copy?	Continuer renommage/copie ?
Contrast	Contraste
Contrast Correction	Correction du contraste
Copy file path of the image to clipboard	Copier le chemin complet de l'image vers le presse-papiers
Copy screen to clipboard / Copy processed full size image to clipboard	Copier l'image traitée (capture écran ou taille réelle) vers le presse-papiers
Copying parameter DB to file '%s' failed. Reason: %s	La copie de la BdD de poaramètre vers le ficher '%s' a échoué. Raison : %s
Correct converging lines (perspective correction)	Correction des lignes convergentes (correction de la perspective)
Creation date/time	Date de création
Crop image	Recadrer
Crop the image and apply transformation? Cropping cannot be undone!	Redécouper l'image et effectuer la transformation ? (le redécoupage ne peut pas être annulé).
Ctrl + Left mouse	Ctrl + Clic gauche
Current image	Image courante
Cyan-Red	Cyan-Rouge
Darken Highlights	Assombrir les clairs
Date	Date
Date placeholders use the modification date of the image.	Les éléments de la date se basent sur la date de modification de l'image.
Day / Month / Year (as numbers)	Jour / Mois / Année (en nombres)
Decoding this format requires the Microsoft Visual C++ Redistributable.	Décoder ce format requiert que le Redistributable Microsoft Visual C++ soit installé.
Deep Shadows	Ombres profondes
Delete	Supprimer
Delete current file on disk permanently	Supprimer définitivement le fichier courant du disque
Delete image file	Supprimer le fichier image
Descending	Ordre décroissant
Display image (EXIF) information	Afficher les informations de la photo (EXIF)
Do you really want to delete the current image file on disk?	Souhaitez-vous vraiment supprimer le fichier courant du disque ?
Do you really want to permanently delete the file %filename%?	 Souhaitez-vous vraiment supprimer définitivement le fichier %filename% ?
Do you really want to save the following parameters as default to the INI file	Souhaitez-vous vraiment enregistrer les paramètres suivants par défaut dans le fichier INI
Drag at the left or right border for asymmetric correction.	Glissez vers le bord gauche ou droit pour une correction asymétrique.
EXIF date successfully set on %d images, failed on %d images	La date EXIF a pu être positionnée sur %d images, cela a échoué sur %d images.
Edit	Modifier
Enable/disable automatic contrast correction (histogram equalization)	Activer/désactiver la correction automatique du contraste (égalisation de l'histogramme)
Enable/disable automatic density correction (local brightness correction)	Activer/désactiver les corrections sombres et clairs (correction luminosité locale)
Enable/disable full screen mode	Activer/désactiver le mode plein écran
Enable/disable high quality resampling	Activer/désactiver le rééchantillonnage de haute qualité
Enable/disable keeping of geometry related (zoom/pan/rotation)	Activer/désactiver le maintien des traitements géométriques (zoom/panoramique/rotation)
Enable/disable landscape picture enhancement mode	Activer/désactiver le mode LDC (amélioration des paysages)
Error	Erreur
Error during rename/copy	Erreur lors du renommage/copie
Error saving file	Erreur de sauvegarde du fichier
Error while writing the following registry key	Erreur lors de l'écriture de la clé de registre suivante
Error writing file to disk!	Erreur d'écriture sur le disque !
Example:	Exemple :
Exif Date Time:	
Exposure bias (EV):	Correction d'exposition (EV) :
Exposure time (s):	Temps de pose (s):
Extension	Extension
Extracted number from original file name	Numéro extrait depuis le nom du fichier original
F-Number:	Ouverture (F-number) :
File name	Nom du fichier
File size	Taille du fichier
File type	Type de fichier
Fill page with crop	Remplir la page et rogner l'image
Fill with crop	Remplir la fenêtre et rogner l'image
Fill with crop (no zoom)	Remplir la fenêtre et rogner l'image (sans agrandir)
Filter:	Filtre :
Fit image to screen	Ajuster l'image à l'écran
Fit to page	Ajuster à la page
Fit to screen	Ajuster l'image à l'écran
Fit to screen (no zoom)	Ajuster l'image à l'écran (sans agrandir)
Flash fired:	Flash utilisé :
Focal length (mm):	Focale (mm) :
Forward mouse button	Bouton en avant de la souris
Full screen mode	Mode plein écran
Goto first/last image of current folder (using sort order as defined)	Aller à la première/dernière image du dossier en cours (selon l'ordre de tri défini)
Goto next image	Image suivante
Goto previous image	Image précédente
Height	Hauteur
Hide histogram	Masquer l'histogramme
High quality resampling	Réechantillonnage de haute qualité
Hour / Minute (as numbers)	Heure / Minute (en nombres)
ISO Speed:	Vitesse ISO :
Image Pixels	Pixels image
Image files in folder	Les fichiers images dans le dossier
Image height:	Hauteur de l'image :
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	Pour effectuer une transformation sans perte, la largeur et la hauteur de l'image doivent être divisibles par la taille de bloc JPEG (8 ou 16) !
Image width:	Largeur de l'image :
Images	Images
Increase/decrease auto color cast correction amount	Augmenter/diminuer le montant de la correction automatique des couleurs
Increase/decrease auto contrast correction amount	Augmenter/diminuer le montant de la correction automatique du contraste
Increase/decrease brightness	Augmenter/diminuer le gamma
Increase/decrease contrast	Augmenter/diminuer le contraste
Increase/decrease darkening of highlights (LDC must be on)	Augmenter/diminuer l'assombrissement des clairs (LDC doit être actif)
Increase/decrease lightening of shadows (LDC must be on)	Augmenter/diminuer l'éclaircissement des ombres (LDC doit être actif)
Increase/decrease sharpness	Augmenter/diminuer la netteté
Insufficient rights to change the privilege (DACL) on the registry entry. Continue?	Droits insuffisants pour changer le contrôle d'accès (DACL) dans la base de registres. Continuer ?
JPEGView Help	Aide JPEGView
JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI.	JPEGView est une visionneuse/éditeur d'images léger, rapide, très configurable et avec une interface graphique minimale pour JPEG, BMP, PNG, WEBP, TGA, GIF et TIFF.
JPEGView is registered as default viewer for the selected file formats.	JPEGView sera la visionneuse par défaut pour les formats de fichier sélectionnés.
Keep aspect ratio on crop	Maintenir le ratio largeur / hauteur lors du rognage
Keep parameters	Garder le traitement entre les images
Keep processing parameters between images	Garder les traitements lors du changement d‘image
Known keys:	Touches connues :
Lanczos/Bicubic	Lanczos/Bicubique
Landscape	Paysage
Landscape picture enhancement mode	Mode LDC d'amélioration des paysages
Last modification date/time	Date de dernière modification
Left	Gauche
Left mouse & drag	Clic gauche et déplacer
Licensed under the GNU general public license (GPL), see readme file for details	Sous licence GNU-GPL, voir le fichier README pour plus de détails
Lighten Shadows	Eclaircir les ombres
Local density correction	Corrections sombres et clairs
Location:	Localité :
Loop folder	Parcourir le dossier courant
Loop recursively	Parcourir le dossier et ses sous-dossiers
Loop siblings	Parcourir le dossier et ses dossiers frères
Loop through files in current directory and all sibling folders (folders on same level)	Parcourir les fichiers du dossier courant et de ses dossiers frères (dossiers au même niveau)
Loop through files in current directory and all subfolders	Parcourir les fichiers du dossier courant et de ses sous-dossiers
Loop through files in current folder	Parcourir les fichiers du dossier courant
Lossless JPEG transformations	Transformations JPEG sans perte
M - G	Ma - V
Magenta-Green	Magenta-Vert
