//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: it
//: ISO 3166-1 code:
//: Language: Italian
//: Translator(s):
//: Last Updated:
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string

//? For the strings below which are short and have no context:
//?   "in" in context is shorthand for "inch"
//?   "cm" in context is shorthand for "centimeter"
//?   "C - R" in context is "Cyan Red" colors
//?   "M - G" in context is "Magenta Green" colors
//?   "Y - B" in context is "Yellow Blue" colors
//?   "yes"/"no" in context is for showing EXIF flags
//?   "on"/"off" in context is for showing a setting active or not
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d file rinominato(i), %d file copiato(i), %d cartella(e) creata(e)
%s camera raw images (embedded JPEGs only)	%s immagini "raw" della fotocamera (solo JPEGs incorporate)
%s images	%s immagini
%s images (processed by Window Imaging Component - WIC)	%s immagini (processate come WIC - Windows Imaging Component)
'My Pictures' folder	Cartella 'Mie Immagini'
About JPEGView (32-bit version)...	
About JPEGView (64-bit version)...	
Acquisition date:	Data di acquisizione:
Actual size of image	Dimensione attuale dell'immagine
Align image to horizontal or vertical line	Allinea immagine alla linea orizzontale o verticale
Alignment:	Allineamento:
All Files	Tutti i file
All existing user settings will be preserved.	
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	In alternativa, da 'Esplora Risorse', cliccare con il tasto destro sul file interessato e selezionare 'Apri con...' > 'Programma Predefinito'
Altitude (m):	Altitudine (m):
Amount	Quantità
Application:	Applicazione:
Applications	Applicazioni
Apply	Applica
Apply Unsharp Mask	Applica maschera di contrasto
Apply auto contrast correction using only visible section of image	Applica la correzione automatica del contrasto usando solo la sezione visibile dell'immagine
Ascending	Crescente
Auto contrast and color correction	Correzione automatica del contrasto e del colore
Auto crop corrected image (avoids black border)	Auto ritaglia immagini corrette (evita bordi neri)
Auto crop rotated image (avoids black border)	Auto ritaglia immagine ruotata (evita bordi neri)
Auto zoom mode	Modalità auto-ingrandimento
Back mouse button	Tasto indietro del mouse
Batch rename/copy of files	Rinomina/copia i files in automatico
Blend	Fusione
Bottom	Inferiore
Box	
Brightness	Luminosità
Browse...	Sfoglia...
C - R	
Camera model:	Modello della fotocamera:
Can't rename file	Non è possibile rinominare il file
Cancel	Annulla
Cannot read from parameter DB file '%s'!	Impossibile leggere dal file dei parametri del DB '%s'!
Cannot read parameter DB file '%s' because it is too large!	Impossibile leggere dal file dei parametri del DB '%s' perchè è troppo grande!
Cannot write to parameter DB file '%s'!	Impossibile scrivere nel file dei parametri del DB '%s'!
Click and drag the mouse vertically to correct image tilt.	Clicca e tracina il mouse verticalmente per correggere l'inclinazione dell'immagine.
Clipboard Image	
Close	Chiudi
Close help text display / Close JPEGView	Chiude testo d'aiuto / Chiude JPEGView
Color Correction	Correzione colore
Combine keys with '+'	Combina i tasti con '+'
Confirm	Conferma
Confirm save default parameters	Comferma salvataggio parametri predefiniti
Conflicting entries in Param DB	Dati in conflitto nel Param DB
Continue rename/copy?	Continuare rinomina/copia?
Contrast	Contrasto
Contrast Correction	Correzione contrasto
Copy file path of the image to clipboard	
Copy screen to clipboard/ Copy processed full size image to clipboard	Copia la schermata negli Appunti/ Copia l’immagine elaborata delle dimensioni originali negli Appunti
Copying parameter DB to file '%s' failed. Reason: %s	La copia del paramentro '%s' del DB è fallita. Motivo: %s
Correct converging lines (perspective correction)	Correggi linee convergenti (correzione prospettiva)
Creation date/time	Data/ora di creazione
Crop image	Ritaglia l’immagine
Ctrl + Left mouse	Ctrl + Tasto sinistro del mouse
Current image	Immagine attuale
Cyan-Red	Ciano-Rosso
Darken Highlights	Mezzitoni
Date	Data
Date placeholders use the modification date of the image.	La data del segnaposto utilizza la data di modifica dell'immagine.
Day / Month / Year (as numbers)	Giorno / Mese / Anno (come numeri)
Decoding this format requires the Microsoft Visual C++ Redistributable.	
Deep Shadows	Ombre
Delete	Cancella
Delete current file on disk permanently	Cancella definitivamente dal disco il file attuale
Delete image file	Cancellazione immagine
Descending	Decrescente
Display image (EXIF) information	Visualizza le informazioni dell’immagine (EXIF)
Do you really want to delete the current image file on disk?	Vuoi veramente cancellare l'immagine dal disco?
Do you really want to permanently delete the file %filename%?	Volete veramente eliminare definitivamente il file %filename%?
Do you really want to save the following parameters as default to the INI file	Vuoi davvero salvare i seguenti parametri come default nel file INI
Drag at the left or right border for asymmetric correction.	Trascina al bordo sinistro o al bordo destro per la correzione asimmetrica.
EXIF date successfully set on %d images, failed on %d images	la data EXIF è stata settata correttamente a %d immagini, operazione non riuscita su %d immagini
Edit	Modifica
Enable/disable automatic contrast correction (histogram equalization)	Abilita/disabilita la correzione automatica del contrasto (istogramma equalizzazione)
Enable/disable automatic density correction (local brightness correction)	Abilita/disabilita la correzione automatica densità (LDC - correzione locale luminosità)
Enable/disable full screen mode	Abilita/disabilita la modalità tutto schermo
Enable/disable high quality resampling	Abilita/disabilita il ricampionamento ad alta qualità
Enable/disable keeping of geometry related (zoom/pan/rotation)	Abilita/disabilita il mantenimento delle proporzioni (ingrandimento/riquadro/rotazione)
Enable/disable landscape picture enhancement mode	Abilita/disabilita la modalità di miglioramento del paesaggio
Error	Errore
Error during rename/copy	Errore durante la rinomina/la copia
Error saving file	Errore nel salvataggio del file
Error while writing the following registry key	Errore durante la scrittura della seguente chiave di registro
Error writing file to disk!	Errore nella scrittura del file su disco!
Example:	Esempio:
Exposure bias (EV):	Bias dell’esposizione (EV):
Exposure time (s):	Tempo di esposizione (s):
Extension	Estensione
Extracted number from original file name	Numero estratto dal nome originale del file
F-Number:	Numero F:
File name	Nome file
File size	Dimensione file
File type	Tipo di file
Fill paper with crop	
Fill with crop	Riempi con il ritaglio
Fill with crop (no zoom)	Riempi con il ritaglio (senza ingrandimento)
Filter:	Filtro:
Fit image to screen	Adatta allo schermo
Fit to paper	Adatta alla pagina
Fit to screen	Adatta allo schermo
Fit to screen (no zoom)	Adatta allo schermo (senza ingrandimento)
Flash fired:	Flash:
Focal length (mm):	Lunghezza focale (mm):
Forward mouse button	Tasto avanti del mouse
Full screen mode	Modalità tutto schermo
Goto first/last image of current folder (using sort order as defined)	Vai alla prima/all'ultima immagine della cartella attuale (usando l'ordinamento definito)
Goto next image	Vai all'immagine successiva
Goto previous image	Vai all'immagine precedente
Height	Altezza
Hide histogram	Nascondi istogramma
High quality resampling	
Hour / Minute (as numbers)	Ore / Minuti (come numeri)
ISO Speed:	Velocità ISO:
Image Pixels	Pixels dell'immagine
Image files in folder	File immagine nella cartella
Image height:	Altezza dell’immagine:
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	Larghezza ed altezza dell'immagine devono essere divisibili in base alle dimensioni del blocco JPEG (8 o 16) per la trasformazione senza perdita di qualità
Image width:	Larghezza dell’immagine:
Images	Immagini
Increase/decrease auto color cast correction amount	Aumenta/diminuisce l’intervallo della correzione automatica della gamma colori
Increase/decrease auto contrast correction amount	Aumenta/diminuisce l’intervallo della correzione automatica del contrasto
Increase/decrease brightness	Aumenta/diminuisce la luminosità
Increase/decrease contrast	Aumenta/diminuisce il contrasto
Increase/decrease darkening of highlights (LDC must be on)	Aumenta/diminuisce lo scurimento delle ombre (LDC deve essere attivo)
Increase/decrease lightening of shadows (LDC must be on)	Aumenta/diminuisce lo schiarimento delle ombre (LDC deve essere attivo)
Increase/decrease sharpness	Aumenta/diminuisce la nitidezza
Insufficient rights to change the privilege (DACL) on the registry entry. Continue?	
JPEGView Help	Aiuto di JPEGView
JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI.	
JPEGView is registered as default viewer for the selected file formats.	JPEGView ora è il visualizzatore di default per i seguenti formati di file.
Keep aspect ratio on crop	Mantieni i rapporti dell'aspetto nel ritaglio
Keep parameters	Mantieni i parametri
Keep processing parameters between images	Mantieni i parametri di modifica tra le immagini
Known keys:	Tasti standard:
Lanczos/Bicubic	
