//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: ja
//: ISO 3166-1 code:
//: Language: Japanese (日本語)
//: Translator(s) - Name <Contact Info/URL>: Hiroyuki Matenokoji, maboroshin
//: Last Updated: 2023-03-04
//: Additional Notes:
//TranslatorURL=https://pc.genkaku.in/
// 1st Japanese translation : by Hiroyuki Matenokoji. (2015)
// 2nd translator: Japanese by maboroshin (2019-2023, Adjustment, and translate little new part)
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d個を改名 %d個をコピー %d個のフォルダを作成
%s camera raw images (embedded JPEGs only)	%s 個のRAW画像 (埋め込みJPEGのみ)
%s images	%s 個の画像
%s images (processed by Window Imaging Component - WIC)	%s 個の画像 (Windows Imaging - WIC で処理)
'My Pictures' folder	「ピクチャ」フォルダ
About JPEGView (32-bit version)...	JPEGView (32bit版)について...
About JPEGView (64-bit version)...	JPEGView (64bit版)について...
Acquisition date:	撮影日時:
Actual size of image	実際の画像サイズ
Align image to horizontal or vertical line	縦/横の線に揃える
Alignment:	整列の位置:
All Files	すべてのファイル
All existing user settings will be preserved.	すべての個人設定は保存されます。
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	あるいは、エクスプローラーで画像ファイルを右クリックして、「プログラムから開く」から「既定のプログラム」を選択します。
Altitude (m):	標高 (メートル):
Amount	量
Application:	アプリケーション:
Applications	アプリケーション
Apply	適用
Apply Unsharp Mask	ぼかしマスクを適用
Apply auto contrast correction using only visible section of image	可視部分のコントラストを自動補正
Ascending	順増
Auto contrast and color correction	自動でコントラストと色を補正
Auto crop corrected image (avoids black border)	加工した画像を自動で切り取り(黒背景を除く)
Auto crop rotated image (avoids black border)	回転した画像を自動で切り取り (黒背景を除く)
Auto zoom mode	自動拡大の方法
Back mouse button	マウスの戻るボタン
Batch rename/copy of files	ファイルを一括で改名/コピー
Blend	ブレンド
Bottom	下
Box	ボックス
Brightness	明るさ
Browse...	参照...
C - R	C - V
Camera model:	カメラの機種:
Can't rename file	名前を変更できません
Cancel	キャンセル
Cannot read from parameter DB file '%s'!	パラメーターファイルを読み込めません。 %s
Cannot read parameter DB file '%s' because it is too large!	パラメーターファイルが大きすぎます。 %s
Cannot write to parameter DB file '%s'!	パラメーターファイルに書き込めません。 %s
Click and drag the mouse vertically to correct image tilt.	縦方向にマウスでドラッグし画像の傾きを調整します、
Clipboard Image	クリップボード画像
Close	閉じる
Close help text display / Close JPEGView	ヘルプを閉じる / JPEGView の終了
Color Correction	色補正
Combine keys with '+'	'+'でキーの組み合わせ
Confirm	確認
Confirm save default parameters	既定のパラメーターの保存を確認
Conflicting entries in Param DB	パラメーターの設定に競合があります
Continue rename/copy?	改名/コピーを続けますか？
Contrast	コントラスト
Contrast Correction	コントラストの調整
Copy file path of the image to clipboard	画像のファイルパスをクリップボードにコピー
Copy screen to clipboard / Copy processed full size image to clipboard	画面をクリップボードにコピー/加工したフルサイズ画像をクリップボードにコピー
Copying parameter DB to file '%s' failed. Reason: %s	ファイル %s へのパラメーターのコピーが失敗しました。原因: %s
Correct converging lines (perspective correction)	消失点の調整 (遠近法)
Creation date/time	作成日時
Crop image	切り取り
Crop the image and apply transformation? Cropping cannot be undone!	境界をトリミングして変形しますか？ 元に戻せません。
Ctrl + Left mouse	Ctrl + マウスの左クリック
Current image	表示中の画像
Cyan-Red	シアン/赤
Darken Highlights	ハイライトを暗く
Date	日付
Date placeholders use the modification date of the image.	引数の日付は画像の更新日時を使用します。
Day / Month / Year (as numbers)	日 / 月 / 年 (数字)
Decoding this format requires the Microsoft Visual C++ Redistributable.	この形式をデコードするには Microsoft Visual C++ Redistributable が必要です。
Deep Shadows	最も暗い部分
Delete	削除
Delete current file on disk permanently	表示中の画像ファイルを完全に削除
Delete image file	画像ファイルを削除
Descending	順減
Display image (EXIF) information	画像情報(EXIF)を表示
Do you really want to delete the current image file on disk?	この画像ファイルを削除しますか？
Do you really want to permanently delete the file %filename%?	本当に完全に削除しますか？ \n%filename%
Do you really want to save the following parameters as default to the INI file	以下のパラメーターを規定としてINIファイルに保存しますか？
Drag at the left or right border for asymmetric correction.	左右の辺のドラッグで非対称に調整します。
EXIF date successfully set on %d images, failed on %d images	EXIFの日時に設定 成功:%d, 失敗:%d
Edit	編集
Enable/disable automatic contrast correction (histogram equalization)	コントラストの自動補正 (ヒストグラム均等化) を有効化/無効化
Enable/disable automatic density correction (local brightness correction)	色濃度の自動補正 (明るさ調整) を有効化/無効化
Enable/disable full screen mode	全画面表示を有効化/無効化
Enable/disable high quality resampling	高品質表示を有効化/無効化
Enable/disable keeping of geometry related (zoom/pan/rotation)	拡大・縮小・回転でGPS座標情報を保持する/しない
Enable/disable landscape picture enhancement mode	風景画像の改善モードを有効化/無効化
Error	エラー
Error during rename/copy	改名/コピーのエラー
Error saving file	ファイル保存エラー
Error while writing the following registry key	以下のレジストリーキーの書き込みエラーです
Error writing file to disk!	ファイル書き込みエラー
Example:	例:
Exposure bias (EV):	露出補正 (EV):
Exposure time (s):	露出時間 (秒):
Extension	拡張子
Extracted number from original file name	元のファイル名中の数値 (最初の数値の連続のみ)
F-Number:	絞り (F値):
File name	ファイル名
File size	ファイルサイズ
File type	ファイルタイプ
Fill page with crop	用紙を満たすように拡大
Fill with crop	黒枠を切り抜いてフィット
Fill with crop (no zoom)	黒枠を切り抜いてフィット (拡大なし)
Filter:	フィルター:
Fit image to screen	画像を画面にフィット
Fit to page	用紙サイズに合わせる
Fit to screen	画面にフィット
Fit to screen (no zoom)	画面にフィット (拡大なし)
Flash fired:	フラッシュ:
Focal length (mm):	焦点距離 (mm):
Forward mouse button	マウスの進むボタン
Full screen mode	全画面表示
Goto first/last image of current folder (using sort order as defined)	フォルダ内の最初/最後の画像 (表示順に従う)
Goto next image	次の画像
Goto previous image	前の画像
Height	高さ
Hide histogram	ヒストグラムを非表示
High quality resampling	高品質表示
Hour / Minute (as numbers)	時/分 (数字)
ISO Speed:	ISO感度:
Image Pixels	画像のピクセル数
Image files in folder	このフォルダ内の画像ファイル:
Image height:	画像の高さ:
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	ロスレス変形では縦/横サイズを8または16の倍数にしてください。
Image width:	画像の幅:
Images	画像
Increase/decrease auto color cast correction amount	色の自動補正量の増減
Increase/decrease auto contrast correction amount	コントラストの自動補正量の増減
Increase/decrease brightness	明るさの増減
Increase/decrease contrast	コントラストの増減
Increase/decrease darkening of highlights (LDC must be on)	ハイライトを暗く/明るく (LDC がオンの場合)
Increase/decrease lightening of shadows (LDC must be on)	影を明るく/暗く (LDC がオンの場合)
Increase/decrease sharpness	シャープの増減
Insufficient rights to change the privilege (DACL) on the registry entry. Continue?	レジストリの項目を変更するの権限 (DACL) が十分ではありません。続行しますか？
JPEGView Help	JPEGView ヘルプ
JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI.	JPEGView は、JPEG、BMP、PNG、WEBP、TGA、GIF、TIFF に対応し、軽快・高速かつ広くカスタマイズできる余分な装飾を抑えた画像ビューア/エディターです。
JPEGView is registered as default viewer for the selected file formats.	指定の画像形式で、JPEGView を既定のビューアに設定しました。
Keep aspect ratio on crop	切り取りで縦横比を維持
Keep parameters	パラメーターを保持
Keep processing parameters between images	他の画像にも加工パラメーターを適用
Known keys:	キー:
Lanczos/Bicubic	ランチョス/バイキュービック
Landscape	横
Landscape picture enhancement mode	風景画像の改善モード
Last modification date/time	最終更新日時
Left	左
Left mouse & drag	マウスの左クリックでドラッグ
Licensed under the GNU general public license (GPL), see readme file for details	GNU general public license (GPL) に準拠、詳細は readme をお読みください:
Lighten Shadows	シャドーを明るく
Local density correction	色濃度の補正
Location:	位置情報:
Loop folder	フォルダ内を巡回
Loop recursively	下位フォルダも巡回
Loop siblings	同列のフォルダも巡回
Loop through files in current directory and all sibling folders (folders on same level)	同列のフォルダも巡回
Loop through files in current directory and all subfolders	すべての下位フォルダも巡回
Loop through files in current folder	フォルダ内を巡回
Lossless JPEG transformations	JPEGをロスレスで変形
M - G	M - V
Magenta-Green	マゼンタ/緑
Manage 'Open image with' menu...	「プログラムから開く」メニューの管理...
Margins:	余白:
Mark image for toggling. Use %s to toggle between marked and current image	切り替え画像に指定。 %s で現在の画像と切り替え
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	最大化/復元 (マルチモニター環境のみ)
Menu entries:	メニュー項目:
Modification date:	更新日時:
Modifier keys:	修飾キー:
Month / Short form (text)	数字+月 / 月の数字のみ (システムの言語による)
Mouse wheel	マウスホイール
Navigation	巡回先
New	新規
New height:	高さの指定:
New name (>> : file gets copied)	新しい名前 (>> : コピー先)
