//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639 language code e.g. 'en' for English

////////////////////
// ::: Translation Info ::: //
//: ISO 639 code: kr
//: Language: Korean
//: Translator(s):
//: Last Updated:
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string

//? For the strings below which are short and have no context:
//?   "in" in context is shorthand for "inch"
//?   "cm" in context is shorthand for "centimeter"
//?   "C - R" in context is "Cyan Red" colors
//?   "M - G" in context is "Magenta Green" colors
//?   "Y - B" in context is "Yellow Blue" colors
//?   "yes"/"no" in context is for showing EXIF flags
//?   "on"/"off" in context is for showing a setting active or not
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d개 파일이 이름이 변경됨, %d개 파일이 복사됨, %d개 파일이 생성됨
%s camera raw images (embedded JPEGs only)	
%s images	
%s images (processed by Window Imaging Component - WIC)	
'My Pictures' folder	'내 그림' 폴더
About JPEGView (32-bit version)...	
About JPEGView (64-bit version)...	
Acquisition date:	사진 찍은 날짜:
Actual size of image	실제 크기
Align image to horizontal or vertical line	
Alignment:	
All Files	모든 파일
All existing user settings will be preserved.	
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	
Altitude (m):	
Amount	
Application:	
Applications	
Apply	
Apply Unsharp Mask	
Apply auto contrast correction using only visible section of image	이미지의 보이는 부분만 자동 대비 보정을 적용
Ascending	
Auto contrast and color correction	자동 대비 및 색상 보정
Auto crop corrected image (avoids black border)	
Auto crop rotated image (avoids black border)	
Auto zoom mode	자동 배율 모드
Back mouse button	뒤 마우스 버튼
Batch rename/copy of files	일괄 파일 이름 바꾸기/복사
Blend	
Bottom	
Box	
Brightness	밝기
Browse...	
C - R	
Camera model:	카메라 모델:
Can't rename file	파일을 다른 이름으로 바꿀 수 없음
Cancel	
Cannot read from parameter DB file '%s'!	매개변수 DB 파일 '%s' 을 읽을 수 없습니다!
Cannot read parameter DB file '%s' because it is too large!	매개변수 DB 파일 '%s' 이 너무 커서 읽을 수 없습니다!
Cannot write to parameter DB file '%s'!	매개변수 DB 파일 '%s' 에 기록할 수 없습니다!
Click and drag the mouse vertically to correct image tilt.	
Clipboard Image	
Close	닫기
Close help text display / Close JPEGView	도움말 표시 닫기 / JPEGView 닫기
Color Correction	색상 보정
Combine keys with '+'	
Confirm	Conferma
Confirm save default parameters	기본 매개변수 저장 확인
Conflicting entries in Param DB	매개변수 DB의 항목 충돌
Continue rename/copy?	이름 바꾸기/복사를 계속하시겠습니까?
Contrast	대비
Contrast Correction	대비 보정
Copy file path of the image to clipboard	
Copy screen to clipboard/ Copy processed full size image to clipboard	화면을 클립보드로 복사/ 변경된 이미지 전체를 클립보드로 복사
Copying parameter DB to file '%s' failed. Reason: %s	매개변수 DB를 '%s' 파일로 복사 실패. 이유: %s
Correct converging lines (perspective correction)	
Creation date/time	만든 날짜/시각
Crop image	자르기
Ctrl + Left mouse	Ctrl + L 마우스
Current image	현재 이미지
Cyan-Red	
Darken Highlights	하이라이트 어둡게
Date	날짜
Date placeholders use the modification date of the image.	이미지의 수정한 날짜를 이용하여 위치 표시자에 날짜 적기.
Day / Month / Year (as numbers)	일 / 월 / 년 (숫자로)
Decoding this format requires the Microsoft Visual C++ Redistributable.	
Deep Shadows	음영 깊게
Delete	
Delete current file on disk permanently	현재 파일을 디스크에서 영구히 삭제
Delete image file	
Descending	
Display image (EXIF) information	이미지 정보(EXIF) 표시
Do you really want to delete the current image file on disk?	
Do you really want to permanently delete the file %filename%?	%filename% 파일을 영구히 삭제하겠습니까?
Do you really want to save the following parameters as default to the INI file	다음 매개변수를 INI 파일에 기본값으로 저장할 것입니까?
Drag at the left or right border for asymmetric correction.	
EXIF date successfully set on %d images, failed on %d images	
Edit	
Enable/disable automatic contrast correction (histogram equalization)	자동 대비 보정을 켜기/끄기 (히스토그램 균일화)
Enable/disable automatic density correction (local brightness correction)	자동 농도 보정 켜기/끄기 (부분 농도 보정이 켜있어야 함)
Enable/disable full screen mode	전체 화면 모드 켜기/끄기
Enable/disable high quality resampling	고품질 리샘플링 켜기/끄기
Enable/disable keeping of geometry related (zoom/pan/rotation)	보기(배율/이동/회전) 및 이미지 처리(밝기/대비/선명) 매개변수를
Enable/disable landscape picture enhancement mode	풍경 사진 향상 모드 켜기/끄기
Error	
Error during rename/copy	이름 바꾸기/복사 중 에러
Error saving file	파일 저장 에러
Error while writing the following registry key	
Error writing file to disk!	파일을 디스크에 쓰는 중 에러!
Example:	
Exposure bias (EV):	노출 보정 (EV):
Exposure time (s):	노출 시간 (sec):
Extension	
Extracted number from original file name	원본 파일 이름에서 추출된 숫자
F-Number:	F 번호:
File name	파일명
File size	
File type	
Fill paper with crop	
Fill with crop	잘라서 채우기
Fill with crop (no zoom)	잘라서 채우기 (배율 조정 없음)
Filter:	
Fit image to screen	화면에 맞추기
Fit to paper	
Fit to screen	화면에 맞추기
Fit to screen (no zoom)	화면에 맞추기 (배율 조정 없음)
Flash fired:	플래시:
Focal length (mm):	초점 거리 (mm):
Forward mouse button	앞 마우스 버튼
Full screen mode	전체 화면 모드
Goto first/last image of current folder (using sort order as defined)	처음/마지막 이미지 또는 현재 폴더로 가기 (지정된 정렬 순서에 따라)
Goto next image	다음
Goto previous image	이전
Height	높이
Hide histogram	
High quality resampling	
Hour / Minute (as numbers)	
ISO Speed:	ISO 속도:
Image Pixels	이미지 픽셀
Image files in folder	폴더에 있는 파일
Image height:	높이:
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	
Image width:	너비:
Images	이미지
Increase/decrease auto color cast correction amount	자동 색상 보정 정도 증가/감소
Increase/decrease auto contrast correction amount	자동 대비 보정 정도 증가/감소
Increase/decrease brightness	밝기 증가/감소
Increase/decrease contrast	대비 증가/감소
Increase/decrease darkening of highlights (LDC must be on)	하이라이트의 어두움을 증가/감소 (부분 농도 보정이 켜있어야 함)
Increase/decrease lightening of shadows (LDC must be on)	Shadow의 밝기를 증가/감소 (부분 농도 보정이 켜있어야 함)
Increase/decrease sharpness	선명하게 증가/감소
Insufficient rights to change the privilege (DACL) on the registry entry. Continue?	
JPEGView Help	JPEGView 도움말
JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI.	
JPEGView is registered as default viewer for the selected file formats.	
Keep aspect ratio on crop	
Keep parameters	매개변수 유지
Keep processing parameters between images	
Known keys:	
Lanczos/Bicubic	
Landscape	
Landscape picture enhancement mode	풍경 사진 향상 모드
Last modification date/time	마지막으로 수정한 날짜/시각
Left	
Left mouse & drag	왼쪽 마우스 & 드래그
Licensed under the GNU general public license (GPL), see readme file for details	GNU General Public License (GPL) 라이센스, 상세 내용은 readme 파일을 보십시오
Lighten Shadows	음영 밝게
Local density correction	부분 농도 보정
Location:	
Loop folder	폴더 순환
Loop recursively	반복 순환
Loop siblings	동기 순환
Loop through files in current directory and all sibling folders (folders on same level)	현재 폴더와 모든 동기 폴더(같은 수준의 폴더)의 파일 순환
Loop through files in current directory and all subfolders	현재 폴더와 모든 하위 폴더의 파일 순환
Loop through files in current folder	현재 폴더의 파일 순환
Lossless JPEG transformations	
M - G	
Magenta-Green	
Manage 'Open image with' menu...	
Margins:	
Mark image for toggling. Use %s to toggle between marked and current image	바꿀 이미지 선택. 현재 이미지와 선택한 이미지를 바꾸려면 %s 을 사용
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	가상 바탕화면으로 최대화/복원 (다중 모니터 사용시)
Menu entries:	
Modification date:	수정한 날짜:
Modifier keys:	
Month / Short form (text)	월 / 단축 형식 (문자)
Mouse wheel	마우스 휠
Navigation	탐색
New	
New height:	
New name (>> : file gets copied)	새 이름 (>> : 파일은 복사됨)
New name contains backslash character!	새 이름이 \ 문자를 포함함!
New size:	
New width:	
Next image	다음
No image loaded!	
No user INI file exists yet. Create user INI file from INI file template?	사용자 INI 파일이 없습니다. INI 파일 템플릿으로부터 INI 파일을 만들겠습니까?
None	
Not enough memory available	
Note: Set the key 'TrimWithoutPromptLosslessJPEG=true' in the INI file to always trim without showing this message.	
Number (consecutively numbered)	숫자 (연속)
Number of CPU cores used	사용된 CPU 코어의 수
Number of JPEG files in folder: %d	
Number with N digits	N자리 숫자
OK	
Old name	예전 이름
Open folder containing image and select in Windows Explorer	
Open new image or slideshow file	새 이미지 또는 슬라이드 쇼 파일 열기
Order files by	파일 정렬
