//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: pl
//: ISO 3166-1 code:
//: Language: Polish
//: Translator(s) - Name <Contact Info/URL>: Marcin Czerwien <bromden@poczta.fm>
//: Last Updated: 2023-03-22
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d Plikom (owi) zmieniono nazwę, %d Plik(ów) skopiowano, %d Folder(ów) utworzono
%s camera raw images (embedded JPEGs only)	%s obrazy RAW z aparatu (tylko osadzony JPEG)
%s images	%s obrazy(ów)
%s images (processed by Window Imaging Component - WIC)	%s obrazy (ów) (przetworzone przez Windows Imaging Component - WIC)
'My Pictures' folder	Folder 'Moje obrazy'
About JPEGView (32-bit version)...	O JPEGView (wersja 32-bitowa)...
About JPEGView (64-bit version)...	O JPEGView (wersja 64-bitowa)...
Acquisition date:	Data wykonania:
Actual size of image	Rzeczywisty rozmiar obrazu
Align image to horizontal or vertical line	Wyrównaj obraz do linii poziomej lub pionowej
Alignment:	Wyrównanie:
All Files	Wszystkie pliki
All existing user settings will be preserved.	Wszystkie bieżące ustawienia użytkownika będą zachowane.
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	Alternatywnie możesz użyć prawego klawisza myszki na pliku w Eksploratorze Windows i wybrać "Otwórz za pomocą...-> Wybierz program domyślny".
Altitude (m):	 Wysokość n.p.m (m)
Amount	Siła
Application:	Aplikacja:
Applications	Aplikacje
Apply	Zastosuj
Apply Unsharp Mask	Zastosuj maskę wyostrzającą
Apply auto contrast correction using only visible section of image	Zastosuj automatycznę korekcja kontrastu, używając tylko widocznej części obrazu
Ascending	Rosnąco
Auto contrast and color correction	Automatyczna korekcja kontrastu i koloru
Auto crop corrected image (avoids black border)	Automatycznie kadruj po korekcji (usuwa czarne krawędzie)
Auto crop rotated image (avoids black border)	Automatycznie kadruj obracany obraz (usuwa czarne krawędzie)
Auto zoom mode	Tryb auto-zoom
Back mouse button	Klawisz myszy - Wstecz
Batch rename/copy of files	Hurtowa zmiana nazwy/kopiowanie
Blend	Przenikanie
Bottom	Dolny
Box	Ramka
Brightness	Jasność
Browse...	Przeglądaj...
C - R	cyjan-czerwony
Camera model:	Model aparatu:
Can't rename file	Nie można zmienić nazwy pliku
Cancel	Anuluj
Cannot read from parameter DB file '%s'!	Nie można odczytać z pliku parametrów '%s'!
Cannot read parameter DB file '%s' because it is too large!	Nie można odczytać z pliku parametrów '%s', ponieważ jest zbyt duży!
Cannot write to parameter DB file '%s'!	Nie można zapisać do pliku parametrów '%s'!
Click and drag the mouse vertically to correct image tilt.	Chwyć i przesuń myszką w pionie aby skorygować pochylenie.
Clipboard Image	Obraz ze schowka
Close	Zamknij
Close help text display / Close JPEGView	Zamknij Pomoc / Zamknij JPEGView
Color Correction	Korekcja kolorów
Combine keys with '+'	Połącz klawisze znakiem '+'
Confirm	Potwierdź
Confirm save default parameters	Potwierdź zapis parametrów domyślnych
Conflicting entries in Param DB	Konflikt wpisów parametrów DB
Continue rename/copy?	Kontynuować zmianę nazwy/kopiowanie?
Contrast	Kontrast
Contrast Correction	Korekcja kontrastu
Copy file path of the image to clipboard	Kopiuj do schowka ścieżkę dostępu do pliku
Copy screen to clipboard / Copy processed full size image to clipboard	Kopiuj ekran do schowka/ Kopiuj cały zmieniony obraz do schowka
Copying parameter DB to file '%s' failed. Reason: %s	Kopiowanie parametru z DB do pliku %s nie powiodło się! Powód: %s
Correct converging lines (perspective correction)	Korekcja linii zbieżności (Korekcja perspektywy)
Creation date/time	Data utworzenia
Crop image	Kadruj
Crop the image and apply transformation? Cropping cannot be undone!	Czy mam przyciąć obrazek i przeprowadzić transformację? Przycięcie jest nieodwracalne!
Ctrl + Left mouse	Ctrl + Lewy klawisz myszy
Current image	Aktualny obraz
Cyan-Red	Cyjan-Czerwony
Darken Highlights	Przyciemnij rozjaśnienia
Date	Data
Date placeholders use the modification date of the image.	Znaczniki daty używają daty modyfikacji obrazu.
Day / Month / Year (as numbers)	Dzień / Miesiąc / Rok (jako liczby)
Decoding this format requires the Microsoft Visual C++ Redistributable.	Dekodowanie tego formatu wymaga bibliotek Microsoft Visual C++ Redistributable
Deep Shadows	Głębokie cienie
Delete	Usuń
Delete current file on disk permanently	Usuń bieżący plik z dysku
Delete image file	Usuń plik obrazu
Descending	Malejąco
Display image (EXIF) information	Pokaż info o obrazie (EXIF)
Do you really want to delete the current image file on disk?	Czy na pewno usunąć bieżący plik z dysku?
Do you really want to permanently delete the file %filename%?	Czy na pewno trwale skasować plik %filename%?
Do you really want to save the following parameters as default to the INI file	Czy na pewno zapisać parametry jako domyślne do pliku INI?
Drag at the left or right border for asymmetric correction.	Przesuń przy lewym lub prawym brzegu przy korekcji asymetrycznej.
EXIF date successfully set on %d images, failed on %d images	Data z EXIF ustawiona w %d obrazach, niepowodzenie w %d obrazach
Edit	Edytuj
Enable/disable automatic contrast correction (histogram equalization)	Włącz/wyłącz automatyczną korekcję kontrastu (wyrównanie histogramu)
Enable/disable automatic density correction (local brightness correction)	Włącz/wyłącz automatyczną korekcję gęstości (lokalna korekcja jasności)
Enable/disable full screen mode	Włącz/wyłącz tryb pełnoekranowy
Enable/disable high quality resampling	Włącz/wyłącz przetwarzanie wysokiej jakości
Enable/disable keeping of geometry related (zoom/pan/rotation)	Włącz/wyłącz utrzymywanie wyświetlanej geometrii (Powiększenie/Fragment/Obrót)
Enable/disable landscape picture enhancement mode	Włącz/wyłącz tryb polepszania zdjęcia
Error	Błąd
Error during rename/copy	Błąd w czasie zmiany nazwy/kopiowania
Error saving file	Błąd zapisu pliku
Error while writing the following registry key	Błąd zapisu następujących kluczy rejestru
Error writing file to disk!	Błąd zapisu pliku na dysk!
Example:	Przykład:
Exif Date Time:	
Exposure bias (EV):	Kompensacja ekspozycji (EV):
Exposure time (s):	Czas ekspozycji (s):
Extension	Rozszerzenie
Extracted number from original file name	Liczba z oryginalnej nazwy pliku
F-Number:	Przesłona:
File name	Nazwa pliku
File size	Rozmiar pliku
File type	Typ pliku
Fill page with crop	Wypełnij papier kadrem
Fill with crop	Wypełnij kadrem
Fill with crop (no zoom)	Wypełnij kadrem (do 100%)
Filter:	Filtr:
Fit image to screen	Dopasuj do ekranu
Fit to page	Dopasuj do papieru
Fit to screen	Dopasuj do ekranu
Fit to screen (no zoom)	Dopasuj do ekranu (do 100%)
Flash fired:	Lampa błysk.:
Focal length (mm):	Ogniskowa (mm):
Forward mouse button	Klawisz myszy - Następny
Full screen mode	Tryb pełnoekranowy
Goto first/last image of current folder (using sort order as defined)	Idź do pierwszego/ostatniego obrazu w bieżącym folderze (używając zdefiniowanego porządku sortowania)
Goto next image	Pokaż następny obraz
Goto previous image	Wróć do poprzedniego obrazu
Height	Wysokość
Hide histogram	Ukryj histogram
High quality resampling	Resampling wysokiej jakości
Hour / Minute (as numbers)	Godzina / Minuta (jako numery)
ISO Speed:	Wartość ISO:
Image Pixels	Piksele obrazu
Image files in folder	Pliki obrazów w folderze
Image height:	Wysokość obrazu:
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	Przy bezstratnej transformacji szerokość i wysokość obrazka muszą być podzielne przez rozmiar bloku JPEG (8 lub 16)!
Image width:	Szerokość obrazu:
Images	Obrazy
Increase/decrease auto color cast correction amount	Zwiększ/Zmniejsz auto korekcję koloru
Increase/decrease auto contrast correction amount	Zwiększ/Zmniejsz auto korekcję kontrastu
Increase/decrease brightness	Zwiększ/Zmniejsz jasność
Increase/decrease contrast	Zwiększ/Zmniejsz kontrast
Increase/decrease darkening of highlights (LDC must be on)	Zwiększenie/zmniejszenie przyciemniania jasności (LDC musi być włączone)
Increase/decrease lightening of shadows (LDC must be on)	Zwiększenie/zmniejszenie podświetlenia cieni (LDC musi być włączone)
Increase/decrease sharpness	Zwiększ/Zmniejsz ostrość
