//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: pt
//: ISO 3166-1 code: br
//: Language: Portuguese (Brazilian)
//: Translator(s) - Name <Contact Info/URL>: Carpegieri Torezan
//: Last Updated:
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d arquivo(s) renomeado(s), %d arquivo(s) copiado(s), %d pasta(s) criar(s)
%s camera raw images (embedded JPEGs only)	%s imagens da máquina fotográfica
%s images	%s imagens
%s images (processed by Window Imaging Component - WIC)	%s imagens (processadas pelo componente Windows Imaging - WIC)
'My Pictures' folder	Pasta 'Minha imagens'
About JPEGView (32-bit version)...	
About JPEGView (64-bit version)...	
Acquisition date:	Data de aquisição:
Actual size of image	Tamanho real da imagem
Align image to horizontal or vertical line	Alinha a imagem à linha horizontal ou vertical
Alignment:	Alinhamento:
All Files	Todos os arquivos
All existing user settings will be preserved.	
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	Em alternativa pode clicar com o botão direito do rato num ficheiro de imagem do tipo indicado no Windows Explorer e selecione 'Abrir com...' > 'Escolher programa pré-definido'
Altitude (m):	
Amount	Quantidade
Application:	Aplicação:
Applications	Aplicações
Apply	Aplicar
Apply Unsharp Mask	Aplicar máscara de desenfoque
Apply auto contrast correction using only visible section of image	Aplicar correção automática de contraste usando apenas a seção visível da imagem
Ascending	Ascendente
Auto contrast and color correction	Auto contraste e correção de cor
Auto crop corrected image (avoids black border)	Recortar automaticamente a imagem corrigida (evitar contornos a negro)
Auto crop rotated image (avoids black border)	Apagar automaticamente bordas da imagem rodada (evita borda preta)
Auto zoom mode	Modo de Auto zoom
Back mouse button	Mouse botão "Atrás"
Batch rename/copy of files	Renomear/cópia de arquivos
Blend	Sobreposição
Bottom	Inferior
Box	Caixa
Brightness	Brilho
Browse...	Procurar...
C - R	
Camera model:	Modelo da câmera:
Can't rename file	Não é possível renomear arquivo
Cancel	Cancelar
Cannot read from parameter DB file '%s'!	Não é possível ler parâmetro DB arquivo '%s'!
Cannot read parameter DB file '%s' because it is too large!	Não é possível ler parâmetro DB arquivo '%s', pois é muito grande!
Cannot write to parameter DB file '%s'!	 Não é possível escrever para o parâmetro DB arquivo '%s'!
Click and drag the mouse vertically to correct image tilt.	Clique e arraste o rato na vertical para corrigir a inclinação
Clipboard Image	
Close	Sair
Close help text display / Close JPEGView	Fechar texto de ajuda / Fechar JPEGView
Color Correction	Correção de Colores
Combine keys with '+'	Combinar teclas com '+'
Confirm	Confirmar
Confirm save default parameters	Confirme el guardado de los parámetros por defecto
Conflicting entries in Param DB	Entradas conflitantes no BD de parametros
Continue rename/copy?	Continuar renomear/copia?
Contrast	Contraste
Contrast Correction	Correção de Contraste
Copy file path of the image to clipboard	
Copy screen to clipboard / Copy processed full size image to clipboard	Copiar Tela para Área de Tranferência/Copiar imagem processada de tamanho completo para Área de Tranferência
Copying parameter DB to file '%s' failed. Reason: %s	Copiar arquivo DB de parametro '%s' falho. Razão: %s
Correct converging lines (perspective correction)	Corrigir linhas de convergência (correção de perspetiva)
Creation date/time	Criação de data/hora
Crop image	Cortar imagem
Crop the image and apply transformation? Cropping cannot be undone!	Recortar a imagem e aplicar a transformação? Operação não poderá ser desfeita!
Ctrl + Left mouse	Ctrl + botão esquerdo
Current image	Imagem atual
Cyan-Red	Ciano-vermelho
Darken Highlights	Sombras medias
Date	Data
Date placeholders use the modification date of the image.	Usar espaços reservados a data de modificação da imagem.
Day / Month / Year (as numbers)	Dia / Mês / Ano (numéricos)
Decoding this format requires the Microsoft Visual C++ Redistributable.	
Deep Shadows	Sombras profundas
Delete	Eliminar
Delete current file on disk permanently	
Delete image file	Eliminar imagem
Descending	Descendente
Display image (EXIF) information	Mostrar informações da imagem
Do you really want to delete the current image file on disk?	Tem a certeza que pretende remover a imagem do disco?
Do you really want to permanently delete the file %filename%?	Realmente quer deletar permanentemente o arquivo %filename%?
Do you really want to save the following parameters as default to the INI file	Você realmente deseja salvar os seguintes parâmetros como padrão para o arquivo INI
Drag at the left or right border for asymmetric correction.	Clique no contono esquerdo ou direito para corrigir a simetria
EXIF date successfully set on %d images, failed on %d images	Fecha EXIF establecida corretamente em %d imagens, falhou em %d imagens
Edit	Editar
Enable/disable automatic contrast correction (histogram equalization)	Habilitar/Deshabilitar correção automática de contraste (equalização de histograma)
Enable/disable automatic density correction (local brightness correction)	Habilitar/Desabilitar correção automática da densidade (correção de brilho local)
Enable/disable full screen mode	Habilitar/desabilitar o modo de tela cheia
Enable/disable high quality resampling	Habilitar/Desabilitar algoritmo de alta qualidade
Enable/disable keeping of geometry related (zoom/pan/rotation)	Habilitar/Desabilitar manter a relação de aspecto (Zoom/Pan/Rotação)
Enable/disable landscape picture enhancement mode	Ativar/desativar o modo paisagem de melhoramento de imagem
Error	Erro
Error during rename/copy	Erro durante renomear/copia
Error saving file	Erro ao salvar arquivo
Error while writing the following registry key	Ocorreu um erro ao escrever a chave de registo
Error writing file to disk!	Erro ao gravar arquivo em disco!
Example:	Exemplo:
Exif Date Time:	
Exposure bias (EV):	Compensação da exposição (EV):
Exposure time (s):	O tempo de exposição (s):
Extension	Extensão
Extracted number from original file name	Número extraído de nome de arquivo original
F-Number:	Número F:
File name	Nome do arquivo
File size	Tamanho do ficheiro
File type	Tipo de ficheiro
Fill page with crop	
Fill with crop	Preencha com bordas recortadas
Fill with crop (no zoom)	Preencha com bordas recortadas (sem zoom)
Filter:	Filtro:
Fit image to screen	Ajustar imagem a tela
Fit to page	Ajustar ao papel
Fit to screen	Ajustar a Tela
Fit to screen (no zoom)	Ajustar a tela (sem zoom)
Flash fired:	Flash disparado:
Focal length (mm):	Distância Focal (mm):
Forward mouse button	Mouse botão "Avançar"
Full screen mode	Modo de tela cheia
Goto first/last image of current folder (using sort order as defined)	Ir para a primera/última imagem da pasta atual (usando a ordem de classificação, tal como definido)
Goto next image	Ir para imagem seguinte
Goto previous image	Ir para imagem anterior
Height	Altura
Hide histogram	Esconder histograma
High quality resampling	
Hour / Minute (as numbers)	Hora/Minuto (numérico)
ISO Speed:	Velocidade ISO:
Image Pixels	Pixels da imagem
Image files in folder	Arquivos de imagem na pasta
Image height:	Altura da imagem:
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	Largura e altura da imagem devem ser divisíveis pelo tamanho do bloco JPEG (8 ou 16) para transformações sem perdas!
Image width:	Largura da imagem:
Images	Imagens
Increase/decrease auto color cast correction amount	Aumentar/diminuir quantidade de auto correção de colores
Increase/decrease auto contrast correction amount	Aumentar/diminuir quantidade de auto correção de contraste
Increase/decrease brightness	Aumentar/diminuir brilho
Increase/decrease contrast	Aumentar/diminuir contraste
Increase/decrease darkening of highlights (LDC must be on)	Aumento / diminuição de intensidade de luz (LDC deve estar ativo)
Increase/decrease lightening of shadows (LDC must be on)	Aumentar / diminuir a iluminação com sombras (LDC deve estar ativo)
Increase/decrease sharpness	Aumentar/diminuir nitidez
Insufficient rights to change the privilege (DACL) on the registry entry. Continue?	
JPEGView Help	Ajuda de JPEGView
JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI.	O JPEGView é um editor e visualizador de imagens JPEG, BMP, PNG, WEBP, TGA, GIF e TIFF rápido, bastante configurável e com uma interface muito simples.
