//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: pt
//: ISO 3166-1 code:
//: Language: Portuguese
//: Translator(s) - Name <Contact Info/URL>: Sérgio Marques, 2011-2015
//: Last Updated:
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d ficheiro(s) renomeado(s), %d ficheiro(s) copiado(s), %d pasta(s) criada(s)
%s camera raw images (embedded JPEGs only)	Imagens %s de máquina fotográfica
%s images	Imagens %s
%s images (processed by Window Imaging Component - WIC)	Imagens %s (processadas pelo Windows Imaging - WIC)
'My Pictures' folder	Pasta "Minhas imagens"
About JPEGView (32-bit version)...	
About JPEGView (64-bit version)...	
Acquisition date:	Data de aquisição:
Actual size of image	Tamanho real da imagem
Align image to horizontal or vertical line	Alinhar imagem à linha horizontal ou vertical
Alignment:	Alinhamento:
All Files	Todos os ficheiros
All existing user settings will be preserved.	
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	Em alternativa pode clicar com o botão direito do rato num ficheiro de imagem do tipo indicado no Windows Explorer e selecione 'Abrir com...' > 'Escolher programa pré-definido'
Altitude (m):	
Amount	Valor
Application:	Aplicação:
Applications	Aplicações
Apply	Aplicar
Apply Unsharp Mask	Aplicar máscara de desfocagem
Apply auto contrast correction using only visible section of image	Aplicar correção automática de contraste na secção visível da imagem
Ascending	Ascendente
Auto contrast and color correction	Contraste automático e correção de cor
Auto crop corrected image (avoids black border)	Recortar automaticamente a imagem corrigida (evita contornos a negro)
Auto crop rotated image (avoids black border)	Recortar automaticamente as imagens rodadas (evita contornos a preto)
Auto zoom mode	Modo de ampliação automática
Back mouse button	Botão "Recuar" do rato
Batch rename/copy of files	Copiar/mudar nome de ficheiros em lote
Blend	Sobreposição
Bottom	Inferior
Box	Caixa
Brightness	Brilho
Browse...	Procurar...
C - R	C - V
Camera model:	Modelo:
Can't rename file	Não foi possível mudar o nome do ficheiro
Cancel	Cancelar
Cannot read from parameter DB file '%s'!	Não foi possível ler o ficheiro de parâmetros da BD "%s"!
Cannot read parameter DB file '%s' because it is too large!	Não foi possível ler o ficheiro de parâmetros da BD "%s", pois é muito grande!
Cannot write to parameter DB file '%s'!	Não foi possível escrever no ficheiro de parâmetros da BD "%s"!
Click and drag the mouse vertically to correct image tilt.	Clique e arraste o rato na vertical para corrigir a inclinação
Clipboard Image	
Close	Sair
Close help text display / Close JPEGView	Fechar texto de ajuda/Fechar o JPEGView
Color Correction	Correção de cores
Combine keys with '+'	Combinar teclas com '+'
Confirm	Confirmação
Confirm save default parameters	Confirmação de gravação dos parâmetros
Conflicting entries in Param DB	Existem entradas com conflitos nos parâmetros da BD
Continue rename/copy?	Continuar a copiar/mudar nome?
Contrast	Contraste
Contrast Correction	Correção de contraste
Copy file path of the image to clipboard	
Copy screen to clipboard / Copy processed full size image to clipboard	Copiar ecrã para a área de transferência/Copiar imagem processada para a área de transferência
Copying parameter DB to file '%s' failed. Reason: %s	Falha ao copiar os parâmetros da BD para %s. Motivo: %s
Correct converging lines (perspective correction)	Corrigir linhas de convergência (correção de perspetiva)
Creation date/time	Data/hora de criação
Crop image	Recortar imagem
Crop the image and apply transformation? Cropping cannot be undone!	Ajustar imagem e transformar? Esta operação não pode ser desfeita!
Ctrl + Left mouse	Ctrl + botão esquerdo do rato
Current image	Imagem atual
Cyan-Red	Ciano Vermelho
Darken Highlights	Sombras médias
Date	Data
Date placeholders use the modification date of the image.	Os marcadores de posição de data utilizam a data de modificação da imagem
Day / Month / Year (as numbers)	Dia/Mês/Ano (como número)
Decoding this format requires the Microsoft Visual C++ Redistributable.	
Deep Shadows	Sombras profundas
Delete	Eliminar
Delete current file on disk permanently	
Delete image file	Eliminar imagem
Descending	Descendente
Display image (EXIF) information	Mostrar informações da imagem (EXIF)
Do you really want to delete the current image file on disk?	Tem a certeza que pretende remover a imagem do disco?
Do you really want to permanently delete the file %filename%?	Pretende mesmo eliminar permanentemente o ficheiro %filename%?
Do you really want to save the following parameters as default to the INI file	Pretende mesmo gravar os seguintes parâmetros no ficheiro INI e utilizar como padrão?
Drag at the left or right border for asymmetric correction.	Clique no contono esquerdo ou direito para corrigir a simetria
EXIF date successfully set on %d images, failed on %d images	A data EXIF foi definida em %d imagens e falhou em %d
Edit	Editar
Enable/disable automatic contrast correction (histogram equalization)	Ativar/desativar correção automática de contraste (equalização de histograma)
Enable/disable automatic density correction (local brightness correction)	Ativar/desativar correção automática da densidade (correção de brilho)
Enable/disable full screen mode	Ativar/desativar modo de ecrã completo
Enable/disable high quality resampling	Ativar/desativar algoritmo de alta qualidade
Enable/disable keeping of geometry related (zoom/pan/rotation)	Ativar/desativar manutenção de geometria (tamanho/panorâmica/rotação)
Enable/disable landscape picture enhancement mode	Ativar/desativar modo de melhoria da imagem na horizontal
Error	Erro
Error during rename/copy	Erro ao copiar/mudar nome
Error saving file	Erro ao gravar o ficheiro
Error while writing the following registry key	Ocorreu um erro ao escrever a chave de registo
Error writing file to disk!	Erro ao gravar o ficheiro no disco!
Example:	Exemplo:
Exif Date Time:	
Exposure bias (EV):	Compensação da exposição (EV):
Exposure time (s):	Tempo de exposição (seg.):
Extension	Extensão
Extracted number from original file name	Extrair número do nome do ficheiro
F-Number:	Número F:
File name	Nome do ficheiro
File size	Tamanho do ficheiro
File type	Tipo de ficheiro
Fill page with crop	
Fill with crop	Preencher com recortes
Fill with crop (no zoom)	Preencher com recortes (sem ampliação)
Filter:	Filtro:
Fit image to screen	Ajustar imagem ao ecrã
Fit to page	Ajustar ao papel
Fit to screen	Ajustar ao ecrã
Fit to screen (no zoom)	Ajustar ao ecrã (sem ampliação)
Flash fired:	Flash disparado:
Focal length (mm):	Distância focal (mm):
Forward mouse button	Botão "Avançar" do rato
Full screen mode	Modo de ecrã completo
Goto first/last image of current folder (using sort order as defined)	Ir para a primeira/última imagem da pasta atual (utilizar organização definida)
Goto next image	Ir para a imagem seguinte
Goto previous image	Ir para a imagem anterior
Height	Altura
Hide histogram	Ocultar histograma
High quality resampling	
Hour / Minute (as numbers)	Hora/Minuto (numérico)
ISO Speed:	Velocidade ISO:
Image Pixels	Pixeis da imagem
Image files in folder	Ficheiros de imagem na pasta
Image height:	Altura da imagem:
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	Para efetuar a transformação, a largura e altura da imagem devem ser divisíveis pelos tamanhos JPEG (8 ou 16)!
Image width:	Largura da imagem:
Images	Imagens
Increase/decrease auto color cast correction amount	Aumentar/diminuir valor de correção automática de cores
Increase/decrease auto contrast correction amount	Aumentar/diminuir valor de correção automática de contraste
Increase/decrease brightness	Aumentar/diminuir brilho
Increase/decrease contrast	Aumentar/diminuir contraste
Increase/decrease darkening of highlights (LDC must be on)	Aumentar/diminuir intensidade de luz (LDC tem que estar ativo)
Increase/decrease lightening of shadows (LDC must be on)	Aumentar/diminuir luz das sombras (LDC tem que estar ativo)
Increase/decrease sharpness	Aumentar/diminuir nitidez
Insufficient rights to change the privilege (DACL) on the registry entry. Continue?	
JPEGView Help	Ajuda do JPEGView
JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI.	O JPEGView é um editor e visualizador de imagens JPEG, BMP, PNG, WEBP, TGA, GIF e TIFF rápido, bastante configurável e com uma interface muito simples.
