//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: ru
//: ISO 3166-1 code:
//: Language: Russian (Русский)
//: Translator(s) - Name <Contact Info/URL>: Dmitry Yerokhin <erodim@mail.ru>
//: Last Updated: Mar 6, 2023
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	Файлов переименовано: %d, скопировано: %d, создано папок: %d
%s camera raw images (embedded JPEGs only)	RAW-изображения %s (только встроенные JPEG)
%s images	Изображения %s
%s images (processed by Window Imaging Component - WIC)	Изображения %s (обработка Window Imaging Component — WIC)
'My Pictures' folder	папка 'Мои рисунки'
About JPEGView (32-bit version)...	О программе JPEGView (32-разрядная версия)...
About JPEGView (64-bit version)...	О программе JPEGView (64-разрядная версия)...
Acquisition date:	Дата съёмки:
Actual size of image	Настоящий размер изображения
Align image to horizontal or vertical line	Выравнивание изображения по горизонтальной или вертикальной линии
Alignment:	Компоновка:
All Files	Все файлы
All existing user settings will be preserved.	Все имеющиеся пользовательские настройки будут сохранены.
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	Также можно щёлкнуть правой кнопкой мыши по графическому файлу нужного типа в Проводнике и выбрать 'Открыть с помощью > Выбрать программу'.
Altitude (m):	Высота на уровнем моря (м):
Amount	Эффект
Application:	Программа:
Applications	Программы
Apply	Применить
Apply Unsharp Mask	Применить нерезкую маску
Apply auto contrast correction using only visible section of image	Вкл./выкл. автокоррекцию контрастности только видимой области
Ascending	По возрастанию
Auto contrast and color correction	Автокоррекция контрастности и цвета
Auto crop corrected image (avoids black border)	Автообрезка при коррекции (избегать чёрных полей)
Auto crop rotated image (avoids black border)	Автообрезка изображения при повороте (избегать чёрных полей)
Auto zoom mode	Автомасштабирование
Back mouse button	Кнопка мыши 'Назад'
Batch rename/copy of files	Пакетное переименование/копирование файлов
Blend	Растворение
Bottom	Снизу
Box	Box
Brightness	Яркость
Browse...	Обзор
C - R	C - R
Camera model:	Модель камеры:
Can't rename file	Невозможно переименовать файл
Cancel	Отмена
Cannot read from parameter DB file '%s'!	Невозможно прочитать файл '%s' с базой параметров.
Cannot read parameter DB file '%s' because it is too large!	Невозможно прочитать файл '%s' с базой параметров: он слишком велик.
Cannot write to parameter DB file '%s'!	Невозможно записать файл '%s' с базой параметров.
Click and drag the mouse vertically to correct image tilt.	Перетаскивайте мышь вертикально, чтобы устранить/изменить наклон изображения.
Clipboard Image	Изображение в буфере обмена
Close	Закрыть
Close help text display / Close JPEGView	Закрыть справку/JPEGView
Color Correction	Коррекция цвета
Combine keys with '+'	Сочетайте клавиши плюсом ('+')
Confirm	Подтвердите
Confirm save default parameters	Сохранить параметры по умолчанию?
Conflicting entries in Param DB	Конфликт записей в базе параметров
Continue rename/copy?	Продолжить переименование/копирование?
Contrast	Контрастность
Contrast Correction	Коррекция контрастности
Copy file path of the image to clipboard	Скопировать путь к файлу с изображением в буфер обмена
Copy screen to clipboard / Copy processed full size image to clipboard	Скопировать в буфер обмена экран/обработанное полноразмерное изображение
Copying parameter DB to file '%s' failed. Reason: %s	Ошибка копирования базы параметров в файл '%s'. Причина: %s
Correct converging lines (perspective correction)	Коррекция сходящихся линий (перспективы)
Creation date/time	Дата/время создания
Crop image	Обрезать изображение
Crop the image and apply transformation? Cropping cannot be undone!	Обрезать и преобразовать изображение? Обрезка не может быть отменена!
Ctrl + Left mouse	Ctrl + ЛКМ
Current image	Текущее изображение
Cyan-Red	Голубой-Красный
Darken Highlights	Притемнить света
Date	Дата
Date placeholders use the modification date of the image.	Заполнители даты подставляют дату изменения изображения.
Day / Month / Year (as numbers)	день / месяц / год (цифрами)
Decoding this format requires the Microsoft Visual C++ Redistributable.	Для декодирования этого формата требуется Microsoft Visual C++ Redistributable.
Deep Shadows	Глубокие тени
Delete	Удалить
Delete current file on disk permanently	Окончательно удалить этот файл
Delete image file	Удалить графический файл
Descending	По убыванию
Display image (EXIF) information	Показать сведения об изображении (EXIF)
Do you really want to delete the current image file on disk?	Удалить текущий графический файл?
Do you really want to permanently delete the file %filename%?	Удалить файл %filename% окончательно?
Do you really want to save the following parameters as default to the INI file	Хотите сохранить эти параметры в INI-файле как стандартные
Drag at the left or right border for asymmetric correction.	Перетаскивайте мышь к левому или правому краю для несимметричной коррекции.
EXIF date successfully set on %d images, failed on %d images	Дата в EXIF установлена: %d, не установлена: %d
Edit	Изменить
Enable/disable automatic contrast correction (histogram equalization)	Вкл./выкл. автокоррекцию контрастности (подстройку гистограммы)
Enable/disable automatic density correction (local brightness correction)	Вкл./выкл. локальную автоподстройку яркости (ЛПЯ)
Enable/disable full screen mode	Вкл./выкл. полноэкранный режим
Enable/disable high quality resampling	Вкл./выкл. улучшенное сглаживание
Enable/disable keeping of geometry related (zoom/pan/rotation)	Вкл./выкл. сохранение геометрии (масштаб/панорамирование/поворот)
Enable/disable landscape picture enhancement mode	Вкл./выкл. режим улучшения пейзажных изображений
Error	Ошибка
Error during rename/copy	Ошибка при переименовании/копировании
Error saving file	Ошибка сохранения файла
Error while writing the following registry key	Ошибка записи ключа реестра
Error writing file to disk!	Ошибка записи файла на диск.
Example:	Пример:
Exposure bias (EV):	Экспокоррекция (EV):
Exposure time (s):	Выдержка (с):
Extension	Расширение
Extracted number from original file name	номер из исходного имени файла
F-Number:	Диафрагма:
File name	Имя файла
File size	Размер файла
File type	Тип файла
Fill page with crop	Заполнить лист с обрезкой
Fill with crop	Заполнение с обрезкой
Fill with crop (no zoom)	Заполнение с обрезкой (без увеличения)
Filter:	Фильтр
Fit image to screen	Вписать изображение в экран
Fit to page	Вписать в лист
Fit to screen	Подгонка под экран
Fit to screen (no zoom)	Подгонка под экран (без увеличения)
Flash fired:	Вспышка:
Focal length (mm):	Фокусное расстояние (мм):
Forward mouse button	Кнопка мыши 'Вперёд'
Full screen mode	Полноэкранный режим
Goto first/last image of current folder (using sort order as defined)	К первому/последнему изображению в текущей папке (в соответствии с сортировкой)
Goto next image	К следующему изображению
Goto previous image	К предыдущему изображению
Height	Высота
Hide histogram	Скрыть гистограмму
High quality resampling	Высококачественный ресемплинг
Hour / Minute (as numbers)	час / минута (цифрами)
ISO Speed:	Чувствительность ISO:
Image Pixels	Исходные пикселы
Image files in folder	Графические файлы в папке
Image height:	Высота:
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	Для преобразования без потерь ширина и высота изображения должны быть кратны размеру блока JPEG (8 или 16).
Image width:	Ширина:
Images	Изображения
Increase/decrease auto color cast correction amount	Регулировка автокоррекции цветов
Increase/decrease auto contrast correction amount	Регулировка автокоррекции контрастности
Increase/decrease brightness	Регулировка яркости
Increase/decrease contrast	Регулировка контрастности
Increase/decrease darkening of highlights (LDC must be on)	Регулировка притемнения светов (нужно включить ЛПЯ)
Increase/decrease lightening of shadows (LDC must be on)	Регулировка высветления теней (нужно включить ЛПЯ)
Increase/decrease sharpness	Регулировка резкости
Insufficient rights to change the privilege (DACL) on the registry entry. Continue?	Недостаточно прав для изменения привилегии (DACL) в записи реестра. Продолжить?
JPEGView Help	Справка JPEGView
JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI.	JPEGView — это компактная и быстрая программа для просмотра/редактирования JPEG, JPEG XR (HD Photo), BMP, PNG, WebP, TGA, GIF, TIFF и RAW с богатыми возможностями настройки и лаконичным интерфейсом.
JPEGView is registered as default viewer for the selected file formats.	Установите/снимите отметки у типов файлов для регистрации/дерегистрации JPEGView как стандартной программы их просмотра.
Keep aspect ratio on crop	Соблюдать пропорции при обрезке
Keep parameters	Запоминать параметры
Keep processing parameters between images	Помнить параметры обработки при смене изображений
Known keys:	Распознаваемые клавиши:
Lanczos/Bicubic	Lanczos/бикубический
Landscape	Альбомная
Landscape picture enhancement mode	Режим улучшения пейзажей
Last modification date/time	Дата/время изменения
Left	Слева
Left mouse & drag	Перетаскивание с ЛКМ
Licensed under the GNU general public license (GPL), see readme file for details	Лицензия GNU General Public License (GPL),    см. файл с документацией
Lighten Shadows	Высветлить тени
Local density correction	Автокоррекция светов/теней
Location:	Место съёмки:
Loop folder	Циклично в папке
Loop recursively	Циклично с вложенными папками
Loop siblings	Циклично с папками той же вложенности
Loop through files in current directory and all sibling folders (folders on same level)	Цикличный просмотр файлов в текущей папке и всех папках того же уровня
Loop through files in current directory and all subfolders	Цикличный просмотр файлов в текущей папке и её подпапках
Loop through files in current folder	Цикличный просмотр файлов в текущей папке
Lossless JPEG transformations	Преобразовать JPEG без потерь
M - G	M - G
Magenta-Green	Пурпурный-Зелёный
Manage 'Open image with' menu...	Настройка меню 'Открыть в...'
Margins:	Поля:
Mark image for toggling. Use %s to toggle between marked and current image	Отметить файл (%s — переключение между отмеченным и текущим)
Maximize/restore to/from virtual desktop (only for multi-monitor systems)	Распахнуть на виртуальный рабочий стол/вернуть (для мультимониторных систем)
Menu entries:	Элементы в меню
Modification date:	Дата изменения:
Modifier keys:	Модификаторы:
Month / Short form (text)	месяц / месяц коротко (текст)
Mouse wheel	Колёсико мыши
Navigation	Навигация
New	Создать
New height:	Новая высота:
New name (>> : file gets copied)	Новое имя (>> : файл скопирован)
New name contains backslash character!	В новом имени содержится символ '\'.
New size:	Новый размер:
New width:	Новая ширина:
Next image	Следующее изображение
No image loaded!	НЕ ЗАГРУЖЕНО ИЗОБРАЖЕНИЕ!
No user INI file exists yet. Create user INI file from INI file template?	Пользовательского INI-файла пока нет. Создать его из шаблона INI-файла?
None	Нет
Not enough memory available	Недостаточно памяти
Note: Set the key 'CropWithoutPromptLosslessJPEG=true' in the INI file to always crop without showing this message.	* Чтобы при обрезке не было этого сообщения, установите в INI-файле ключ 'CropWithoutPromptLosslessJPEG=true'.
Number (consecutively numbered)	номер (последовательный)
Number of CPU cores used	Используется ядер ЦП
Number of JPEG files in folder: %d	Файлов JPEG в папке: %d
Number with N digits	номер с N цифрами
OK	OK
Old name	Старое имя
Open folder containing image and select in Windows Explorer	Открыть папку с файлом и выбрать его в Проводнике Windows
Open new image or slideshow file	Открыть изображение или файл со слайдшоу
Order files by	Сортировка файлов
Orientation:	Ориентация:
Original file extension	исходное расширение файла
Original file name (with extension)	исходное имя файла (с расширением)
Original file name (without extension)	исходное имя файла (без расширения)
Pan image	Переместить изображение
Paper size:	Бумага:
Parameter DB	Параметры БД
Parameter DB error	Ошибка в базе параметров
Parameter DB file '%s' could not be opened!	Невозможно открыть файл '%s' c базой параметров.
Parameter DB file '%s' is not valid (invalid header)!	Неверный файл '%s' с базой параметров (некорректный заголовок).
Paste from clipboard	Вставить из буфера обмена
Pasting image from clipboard failed!	Ошибка при вставке изображения из буфера обмена.
Performing the lossless transformation failed!	Ошибка преобразования без потерь!
Performing the transformation failed	Ошибка преобразования
Perspective Correction	Коррекция перспективы
Pixels	пкс
Placeholders:	Заполнители:
Portrait	Книжная
Press 'OK' to continue with registration or 'Cancel' to abort all registrations.	OK — зарегистрировать, 'Отмена' — отказаться от всех регистраций файлов.
Press ESC to exit...	ESC — выход
Press any key to search the subdirectories for image files.	Нажмите любую клавишу для поиска графических файлов во вложенных папках.
Preview	Предпросмотр
Previous image	Предыдущее изображение
Print	Печать
Print Image	Печать изображения
Printer driver	Драйвер принтера
Printer:	Принтер:
Project home page	Сайт проекта
Radius	Радиус
Random	Случайно
Reading the JPEG file from disk failed	Ошибка чтения файла JPEG
Reason:	Причина:
Registering or unregistering file extensions in this registry area requires administrator privileges and cannot be done in JPEGView.	Регистрация/дерегистрация расширений в этой области реестра требует прав администратора и не может быть выполнена в JPEGView.
Registration applies to the current user only.	Регистрация действует только для текущего пользователя.
Remove from	Удалить из БД
Rename	Переименовать
Rename/copy images to:	Переименовать/скопировать в:
Renaming file failed!	Ошибка переименования файла.
Reset	Сброс
Resize Image	Изменение размера изображения
Right	Справа
Right mouse button: Context menu	Правая кнопка мыши: Контекстное меню
Roll from bottom	Развёртывание снизу вверх
Roll from left	Развёртывание слева направо
Roll from right	Развёртывание справа налево
Roll from top	Развёртывание сверху вниз
Rotate Image	Поворот изображения
Rotate current file on disk lossless by 270 deg (W/H must be multiple of 16)	Повернуть на 90° влево без потерь и записать в файл (Ш/В должны быть кратны 16)
Rotate current file on disk lossless by 90 deg (W/H must be multiple of 16)	Повернуть на 90° вправо без потерь и записать в файл (Ш/В должны быть кратны 16)
Rotate image 90 deg clockwise	Повернуть на 90° вправо
Rotate image 90 deg counter-clockwise	Повернуть на 90° влево
Rotate image and fit to screen	Повернуть изображение и вписать в экран
Rotate image by user-defined angle	Повернуть на произвольный угол
Rotate the image by dragging with the mouse.	Вращайте изображение, перетаскивая по нему мышь.
SIMD mode used	Режим SIMD
Same as Image	Как изображение
Saturation	Насыщенность
Save	Сохранить
Save (%s) / delete (%s) image processing parameters into/from parameter DB	Сохранить (%s) / удалить (%s) параметры обработки изображения в базе данных
Save as (in screen size/resolution)	Сохранить как (в экранном размере/разрешении)
Save as template	Сохранить как шаблон
Save cropped image	Сохранить обрезанное изображение
Save processed image to JPEG file (original size)	Сохранить обработанное изображение как JPEG (с исходным размером)
Save processed image to JPEG file (screen size)	Сохранить обработанное изображение как JPEG (с экранным размером)
Save to	Сохранить в
Scaling mode:	Масштабирование:
Screen Pixels	Экранные пикселы
Scroll from bottom	Выталкивание снизу вверх
Scroll from left	Выталкивание слева направо
Scroll from right	Выталкивание справа налево
Scroll from top	Выталкивание сверху вниз
Select Printer...	Выбрать принтер
Select all	Выбрать все
Select application	Выберите программу
Select file to display in 'File Open' dialog	Выберите в окне открытия файлов файл для показа
Select none	Отменить весь выбор
Select parameter DB to restore	Выберите базу параметров для восстановления
Set Fixed Crop Size	Выбрать размер обрезки
Set JPEGView as default image viewer	Назначить JPEGView стандартной программой просмотра графики
