//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: sk
//: ISO 3166-1 code:
//: Language: Slovak
//: Translator(s) - Name <Contact Info/URL>: Marián Hikaník <www.mojepreklady.net>
//: Last Updated: 19.03.2023
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	premenovaných súborov: %d, skopírovaných súborov: %d, vytvorených priečinkov: %d
%s camera raw images (embedded JPEGs only)	%s neupravených (raw) obrázkov z fotoaparátu (len vložené súbory JPEG)
%s images	%s obrázkov
%s images (processed by Window Imaging Component - WIC)	%s obrázkov (spracovaných súčasťou Window Imaging Component - WIC)
'My Pictures' folder	Priečinok 'Moje obrázky'
About JPEGView (32-bit version)...	O programe JPEGView (32-bitovej verzii)...
About JPEGView (64-bit version)...	O programe JPEGView (64-bitovej verzii)...
Acquisition date:	Dátum získania:
Actual size of image	Aktuálna veľkosť obrázka
Align image to horizontal or vertical line	Zarovnať obrázok na horizontálnu alebo vertikálnu líniu
Alignment:	Zarovnanie:
All Files	Všetky súbory
All existing user settings will be preserved.	Všetky existujúce používateľské nastavenia budú zachované.
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	Alternatívne môžete kliknúť na súbor s obrázkom pravým tlačidlom myši v Prieskumníkovi a vybrať voľbu 'Otvoriť s... > Vybrať predvolený program'
Altitude (m):	Nadmorská výška (m):
Amount	Množstvo
Application:	Aplikácia:
Applications	Aplikácie
Apply	Použiť
Apply Unsharp Mask	Aplikovať masku rozostrenia
Apply auto contrast correction using only visible section of image	Aplikovať automatickú korekciu kontrastu s použitím len viditeľnej sekcie obrázka
Ascending	Vzostupne
Auto contrast and color correction	Automatická korekcia kontrastu a farieb
Auto crop corrected image (avoids black border)	Automaticky orezať upravený obrázok (zabráni čiernemu okraju)
Auto crop rotated image (avoids black border)	Automaticky orezať otočený obrázok (zabráni čiernemu okraju)
Auto zoom mode	Automatický režim priblíženia
Back mouse button	Tlačidlo myši späť
Batch rename/copy of files	Dávkové premenovanie/kopírovanie súborov
Blend	Zmiešať
Bottom	Dole
Box	Box
Brightness	Jas
Browse...	Prehľadávať...
C - R	Azúrová - Červená
Camera model:	Model fotoaparátu:
Can't rename file	Nemožno premenovať súbor
Cancel	Zrušiť
Cannot read from parameter DB file '%s'!	Nemožno čítať zo súboru DB s parametrami '%s'!
Cannot read parameter DB file '%s' because it is too large!	Nemožno čítať zo súboru DB s parametrami '%s', pretože je príliš veľký!
Cannot write to parameter DB file '%s'!	Nemožno zapisovať do súboru DB s parametrami '%s'!
Click and drag the mouse vertically to correct image tilt.	Náklon obrázka upravíte kliknutím a ťahaním myšou vertikálne.
Clipboard Image	Obrázok v schránke
Close	Zavrieť
Close help text display / Close JPEGView	Zavrieť zobrazenie pomocného textu / Zavrieť JPEGView
Color Correction	Korekcia farby
Combine keys with '+'	Klávesy môžete kombinovať pomocou '+'
Confirm	Potvrdiť
Confirm save default parameters	Potvrdiť uloženie predvolených parametrov
Conflicting entries in Param DB	Konfliktné záznamy v DB parametrov
