//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: sr
//: ISO 3166-1 code:
//: Language: Serbian (српски)
//: Translator(s) - Name <Contact Info/URL>: Ljuba Cirovic <ljuba.cirovic@gmail.com>
//: Last Updated: 2023-03-12
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d datoteka(e) preimenovano, %d datoteka(e) kopirano, %d folder(a) kreirano
%s camera raw images (embedded JPEGs only)	%s snimaka kamere (samo ugnežđeni JPEG-ovi)
%s images	%s slike
%s images (processed by Window Imaging Component - WIC)	%s slika (obrađeno pomoću Window Imaging Component - WIC)
'My Pictures' folder	Folder 'My Pictures'
About JPEGView (32-bit version)...	O JPEGView programu (32-bitna verzija)...
About JPEGView (64-bit version)...	O JPEGView programu (64-bitna verzija)...
Acquisition date:	Datum pribavljanja:
Actual size of image	Stvarna veličina slike
Align image to horizontal or vertical line	Poravnaj sliku po horizontalnoj ili vertikalnoj liniji
Alignment:	Poravnanje:
All Files	Sve datoteke
All existing user settings will be preserved.	Sva postojeća korisnička podešavanja će biti očuvana.
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	Alternativno, desni klik na datoteku sa slikom datog tipa u Windows Explorer-u i izaberi 'Open with...> Odaberite podrazumevani program'
Altitude (m):	Visina (m)
Amount	Iznos
Application:	Aplikacija:
Applications	Aplikacije
Apply	Primeni
Apply Unsharp Mask	Primeni masku za zamućivanje
Apply auto contrast correction using only visible section of image	Primeni automatsku ispravku kontrasta koristeći samo vidljivi deo slike
Ascending	Rastuće
Auto contrast and color correction	Automatska ispravka kontrasta i boje
Auto crop corrected image (avoids black border)	Automatski opseci ispravljenu sliku (izbegavanje crnog okvira)
Auto crop rotated image (avoids black border)	Automatski opseci rotiranu sliku (izbegavanje crnog okvira)
Auto zoom mode	Mod automatskog zumiranja
Back mouse button	Dugme na mišu za nazadovanje
Batch rename/copy of files	Paketno preimenovanje/kopiranje datoteka
Blend	Stopi
Bottom	Dno
Box	Kutija
Brightness	Osvetljenje
Browse...	Pregledanje...
C - R	C - R
Camera model:	Model kamere
Can't rename file	Ne mogu da promenim ime datoteke
Cancel	Otkaži
Cannot read from parameter DB file '%s'!	Ne mogu da učitam iz parametarske DB datoteke '%s'!
Cannot read parameter DB file '%s' because it is too large!	Ne mogu da učitam parametarsku DB datoteku '%s' jer je prevelika!
Cannot write to parameter DB file '%s'!	Ne mogu da upišem u parametarsku DB datoteku '%s'!
Click and drag the mouse vertically to correct image tilt.	Klikni i prevuci mišem vertikalno da ispraviš nagib slike,
Clipboard Image	Slika sa radne table (Clipboard-a)
Close	Zatvori
Close help text display / Close JPEGView	Zatvori prikaz teksta uputstva / Zatvori JPEGView
Color Correction	Ispravka boje
Combine keys with '+'	Kombinuj tastere sa '+'
Confirm	Potvrdi
Confirm save default parameters	Potvrdi čuvanje podrazumevanih parametara
Conflicting entries in Param DB	Konfliktni unosi u Param DB
Continue rename/copy?	Nastavi preimenovanje/kopiranje?
Contrast	Kontrast
