//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: sv
//: ISO 3166-1 code:
//: Language: Swedish
//: Translator(s): Åke Engelbrektson <eson57@gmail.com> http://svenskasprakfiler.se
//: Last Updated: 2013-12-08
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string

//? For the strings below which are short and have no context:
//?   "in" in context is shorthand for "inch"
//?   "cm" in context is shorthand for "centimeter"
//?   "C - R" in context is "Cyan Red" colors
//?   "M - G" in context is "Magenta Green" colors
//?   "Y - B" in context is "Yellow Blue" colors
//?   "yes"/"no" in context is for showing EXIF flags
//?   "on"/"off" in context is for showing a setting active or not
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d  %d fil(er) omdöpt(a), %d fil(er) kopierad(e), %d mapp(ar) skapad(e)	%d
%s camera raw images (embedded JPEGs only)	%s rå-bilder (endast inbäddad JPEG)
%s images	%s bilder
%s images (processed by Window Imaging Component - WIC)	%s bilder (bearbetade av Window Imaging Component - WIC)
'My Pictures' folder	'Mina bilder'
About JPEGView (32-bit version)...	
About JPEGView (64-bit version)...	
Acquisition date:	Anskaffningsdatum:
Actual size of image	Verklig bildstorlek
Align image to horizontal or vertical line	Justera bildposition efter horisontell eller vertikal linje
Alignment:	Justering:
All Files	Alla filer
All existing user settings will be preserved.	
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	Alternativt, högerklicka på en bild i Utforskaren och välj 'Öppna med', samt välj önskat standardprogram.
Altitude (m):	
Amount	Mängd
Application:	Program:
Applications	Program
Apply	Verkställ
Apply Unsharp Mask	Justera oskärpa
Apply auto contrast correction using only visible section of image	Använd automatisk kontrastkorrigering med hjälp av endast synlig del av bild
Ascending	Stigande
Auto contrast and color correction	Automatisk kontrast- och färgkorrektion
Auto crop corrected image (avoids black border)	Beskär korrigerad bild automatiskt (förhindrar svarat kanter)
Auto crop rotated image (avoids black border)	Beskär roterad bild automatiskt (förebygger svart kant)
Auto zoom mode	Auto-zoom
Back mouse button	Tillbaka-musknapp
Batch rename/copy of files	Byt namn/Kopiera filer (Batch-läge)
Blend	Blanda
Bottom	Underkant
Box	
Brightness	Ljus
Browse...	Bläddra...
C - R	
Camera model:	Kameramodell:
Can't rename file	 Kan inte döpa om filen
Cancel	Avbryt
Cannot read from parameter DB file '%s'!	Kan inte läsa från databasfilen '%s'!
Cannot read parameter DB file '%s' because it is too large!	  Kan inte läsa databasfilen '%s' för att den är för stor!
Cannot write to parameter DB file '%s'!	 Kan inte skriva till databasfilen '%s'!
Click and drag the mouse vertically to correct image tilt.	Klicka och dra vertikalt med musen, för att korrigera bildens lutning
Clipboard Image	
Close	Stäng
Close help text display / Close JPEGView	Stäng hjälpfilen/Stäng JPEGView
Color Correction	Färger
Combine keys with '+'	Kombinera tangenter med '+'
Confirm	  Bekräfta
Confirm save default parameters	Bekräfta standardparametrar
Conflicting entries in Param DB	Databasposter i konflikt
Continue rename/copy?	Fortsätta byta namn/kopiera?
Contrast	Kontrast
Contrast Correction	Kontrastjustering
Copy file path of the image to clipboard	
Copy screen to clipboard/ Copy processed full size image to clipboard	Kopiera skärmbild till urklipp/Kopiera bearbetad fullstorleksbild till urklipp
Copying parameter DB to file '%s' failed. Reason: %s	Kopiering av databas till '%s' misslyckades. Orsak: %s
Correct converging lines (perspective correction)	Korrigera konvergerande linjer (perspektivkorrigering)
Creation date/time	Skapad datum/tid
Crop image	Beskär
Ctrl + Left mouse	Ctrl + Vänster musknapp
Current image	Aktuell bild
Cyan-Red	Cyan-Röd
Darken Highlights	Högdagrar
Date	Datum
Date placeholders use the modification date of the image.	Datum-platshållare använder 'Senast ändrad' från bilden
Day / Month / Year (as numbers)	Dag/Månad/År (med siffror)
Decoding this format requires the Microsoft Visual C++ Redistributable.	
Deep Shadows	Djupa skuggor
Delete	Ta bort
Delete current file on disk permanently	Ta bort aktuell fil permanent
Delete image file	Ta bort bildfil
Descending	Fallande
Display image (EXIF) information	Visa bildinformation (EXIF)
Do you really want to delete the current image file on disk?	Vill du verkligen ta bort den aktuella bildfilen från disken?
Do you really want to permanently delete the file %filename%?	Vill du verkligen ta bort %filename% permanent?
Do you really want to save the following parameters as default to the INI file	Vill du verkligen spara följande parametrar som standard?
Drag at the left or right border for asymmetric correction.	Dra i vänster eller höger kant för asymmetrisk korrigering
EXIF date successfully set on %d images, failed on %d images	EXIF-data applicerat på %d bilder, misslyckades med %d bilder
Edit	Redigera
Enable/disable automatic contrast correction (histogram equalization)	Aktivera/Inaktivera automatisk kontrastkorrigering (histogramutjämning)
Enable/disable automatic density correction (local brightness correction)	Aktivera/Inaktivera automatisk densitetkorrigering (LDC)
Enable/disable full screen mode	Aktivera/Inaktivera helskärmsläge
Enable/disable high quality resampling	Aktivera/Inaktivera högkvalitativ omsampling
Enable/disable keeping of geometry related (zoom/pan/rotation)	Aktivera/Inaktivera bevarande av geometrirelaterad (zoom/pan/rotation)
Enable/disable landscape picture enhancement mode	Aktivera/Inaktivera optimeringsläge för liggande bild
Error	Fel
Error during rename/copy	Fel vid namnbyte/kopiering
Error saving file	Fel! Kunde inte spara fil
Error while writing the following registry key	Kunde inte skriva till följande registernyckel
Error writing file to disk!	Fel! Kunde inte skriva fil till disk
Example:	Exempel:
Exposure bias (EV):	 Bias:
Exposure time (s):	Exponeringstid:
Extension	Filtillägg
Extracted number from original file name	Nummer extraherade från ursprungligt filnamn
F-Number:	F-Nummer:
File name	Filnamn
File size	Filstorlek
File type	Filtyp
Fill paper with crop	
Fill with crop	Fyll ut med beskuren bild
Fill with crop (no zoom)	Sträck ut över alla skärmar (ingen zoom)
Filter:	
Fit image to screen	Anpassa bild till skärm
Fit to paper	Anpassa till papper
Fit to screen	Anpassa till skärm
Fit to screen (no zoom)	Anpassa till skärm (ingen zoom)
Flash fired:	Blixt:
Focal length (mm):	Brännvidd:
Forward mouse button	Framåt-musknapp
Full screen mode	Helskärmsläge
Goto first/last image of current folder (using sort order as defined)	Gå till första/sista bilden i aktuell mapp (sorterat enligt specifikation)
Goto next image	Gå till nästa bild
Goto previous image	Gå till föregående bild
Height	Höjd
Hide histogram	Dölj Histogram
High quality resampling	
Hour / Minute (as numbers)	Timmar / Minuter (i siffror)
ISO Speed:	ISO:
Image Pixels	Bildpunkter
Image files in folder	Bildfiler i mapp
Image height:	Höjd:
Image width and height must be dividable by the JPEG block size (8 or 16) for lossless transformations!	Bildbredd och -höjd måste vara delbart med JPEG-blockstorlek (8 eller 16), för förlustfri transformering!
Image width:	Bredd:
Images	Bilder
Increase/decrease auto color cast correction amount	 Justera automatisk färgkorrigering
Increase/decrease auto contrast correction amount	Justera automatisk kontrastkorrigering
Increase/decrease brightness	Justera ljus
Increase/decrease contrast	Justera kontrast
Increase/decrease darkening of highlights (LDC must be on)	Öka/Minska nedtoning av högdagrar (LDC måste vara aktiverat)
Increase/decrease lightening of shadows (LDC must be on)	Öka/Minska ljussättning av skuggor (LDC måste vara aktiverat)
Increase/decrease sharpness	 Justera skärpa
Insufficient rights to change the privilege (DACL) on the registry entry. Continue?	
JPEGView Help	JPEGView hjälp
JPEGView is a lean, fast and highly configurable viewer/editor for JPEG, BMP, PNG, WEBP, TGA, GIF and TIFF images with a minimal GUI.	JPEGView är en lätt, snabb och mycket konfigurerbar visare/redigerare för JPEG, BMP, PNG, WEBP, TGA, GIF och TIFF-filer med ett minimalt användargränssnitt.
JPEGView is registered as default viewer for the selected file formats.	JPEGView är registrerad som standardvisare för de valda filtilläggen.
Keep aspect ratio on crop	Bevara proportioner vid beskärning
Keep parameters	Bevara parametrar
Keep processing parameters between images	Behåll berbetningsparametrar mellan bilder
Known keys:	Giltiga tangenter:
Lanczos/Bicubic	
Landscape	Landskap
Landscape picture enhancement mode	Optimeringsläge för liggande bild
Last modification date/time	  Senast ändrad datum/tid
Left	Vänster
Left mouse & drag	Vänster musknapp & drag
