//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: tr
//: ISO 3166-1 code: TR
//: Language: Turkish (Türkçe)
//: Translator(s) - Name <Contact Info/URL>: Kaya Zeren <translator@zeron.net>
//: Last Updated: 2023-03-11
//: Additional Notes:
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d dosya yeniden adlandırıldı, %d dosya kopyalandı, %d klasör oluşturuldu
%s camera raw images (embedded JPEGs only)	%s raw kamera görselleri (yalnızca gömülü JPEG)
%s images	%s görsel
%s images (processed by Window Imaging Component - WIC)	%s görsel (Window Imaging Component - WIC tarafından işlenmiş)
'My Pictures' folder	'Resimlerim' klasörü
About JPEGView (32-bit version)...	JPEGView hakkında (32-bit sürümü)...
About JPEGView (64-bit version)...	JPEGView hakkında (64-bit sürümü)...
Acquisition date:	Oluşturulma tarihi:
Actual size of image	Gerçek boyuta dön
Align image to horizontal or vertical line	Görseli yatay ya da dikey çizgiye hizala
Alignment:	Hizalama:
All Files	Tüm dosyalar
All existing user settings will be preserved.	Var olan tüm kullanıcı ayarları korunacak.
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	Alternatif olarak belirtilen türdeki bir görsel dosyasına Dosya Gezgini içinde sağ tıklayıp 'Birlikte aç... > Varsayılan programı seç' komutunu kullanabilirsiniz
Altitude (m):	Yükseklik (m)
Amount	Miktar
Application:	Uygulama
Applications	Uygulamalar
Apply	Uygula
Apply Unsharp Mask	Keskinlik azaltma maskesi uygula
Apply auto contrast correction using only visible section of image	Otomatik karşıtlık düzeltme görselin yalnızca görülebilen kısımlarına uygulansın
Ascending	Artan
Auto contrast and color correction	Otomatik karşıtlık ve renk düzeltme
Auto crop corrected image (avoids black border)	Düzeltilen görselin otomatik kırpılmasını aç/kapat (siyah kenar oluşmasını engeller)
Auto crop rotated image (avoids black border)	Döndürülen görselin otomatik otomatik kırpılmasını aç/kapat (siyah kenar oluşmasını engeller)
Auto zoom mode	Otomatik yakınlaştırma kipi
Back mouse button	Geri fare tuşu
Batch rename/copy of files	Toplu dosya adlandırma ya da kopyalama
Blend	Karıştır
Bottom	Alt
Box	Kutu
Brightness	Parlaklık
Browse...	Göz at...
C - R	M - K
Camera model:	Kamera modeli:
Can't rename file	Dosya yeniden adlandırılamadı
Cancel	İptal
Cannot read from parameter DB file '%s'!	Parametre '%s' veri tabanı dosyasından okunamadı!
Cannot read parameter DB file '%s' because it is too large!	Parametre '%s' veri tabanı dosyası çok büyük olduğundan okunamadı!
Cannot write to parameter DB file '%s'!	Parametre '%s' veri tabanı dosyasına yazılamadı!
Click and drag the mouse vertically to correct image tilt.	Fareyi sol tuşa basılı tutup dikey yönde hareket ettirerek görsel doğrultusunu düzeltin.
Clipboard Image	Panodaki görsel
Close	Kapat
Close help text display / Close JPEGView	Yardım metnini kapat / JPEGView kapat
Color Correction	Rengi düzelt
Combine keys with '+'	Tuşlar '+' ile birleştirilsin
Confirm	Onayla
Confirm save default parameters	Varsayılan parametreleri kaydetmek istediğinizi onaylayın
Conflicting entries in Param DB	Parametre veri tabanında çakışan kayıtlar var
Continue rename/copy?	Yeniden adlandırma ya da kopyalama işlemi sürdürülsün mü?
Contrast	Karşıtlık
Contrast Correction	Karşıtlığı düzelt
Copy file path of the image to clipboard	Görselin dosya yolunu panoya kopyala
