//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: zh
//: ISO 3166-1 code: tw
//: Language: Chinese, Traditional (繁體中文)
//: Translator(s) - Name <Contact Info/URL>: 風逸蘭
//: Last Updated:
//: Additional Notes:
//Update:2023/03/09 - Based on the simplified Chinese version converted chs -> cht
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	已重命名 %d 個文件，已復制 %d 個文件，已創建 %d 個文件夾
%s camera raw images (embedded JPEGs only)	%s 相機原始圖片（僅嵌入式JPEG）
%s images	%s 圖片
%s images (processed by Window Imaging Component - WIC)	%s 圖片（由Windows映像組件-WIC處理）
'My Pictures' folder	“圖片”文件夾
About JPEGView (32-bit version)...	關於JPEGView（32位版本）...
About JPEGView (64-bit version)...	關於JPEGView（64位版本）...
Acquisition date:	獲取日期：
Actual size of image	圖片實際大小
Align image to horizontal or vertical line	圖片水平或垂直對齊
Alignment:	對齊位置：
All Files	所有文件
All existing user settings will be preserved.	將保留所有現有用戶設置。
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	或者，在Windows資源管理器中指定類型的圖片文件上點擊鼠標右鍵並選擇“打開方式...>選擇默認程序”。
Altitude (m):	高度（m）：
Amount	數量
Application:	應用程序：
Applications	應用程序
Apply	應用
Apply Unsharp Mask	應用“USM銳化”
Apply auto contrast correction using only visible section of image	僅可見部份圖片應用自動對比度校正
Ascending	升序
Auto contrast and color correction	自動對比度和色彩校正
Auto crop corrected image (avoids black border)	自動裁剪校正後的圖片（避免黑邊框）
Auto crop rotated image (avoids black border)	自動裁剪旋轉後的圖片（避免黑邊框）
Auto zoom mode	自動縮放模式
Back mouse button	鼠標返回按鈕
Batch rename/copy of files	批量重命名/複製文件
Blend	混合
Bottom	下
Box	Box
Brightness	亮度
Browse...	瀏覽...
C - R	青-紅
Camera model:	相機型號：
Can't rename file	無法重命名文件
Cancel	取消
Cannot read from parameter DB file '%s'!	無法讀取參數數據庫文件 '%s'！
Cannot read parameter DB file '%s' because it is too large!	參數數據庫文件 '%s' 過大，無法讀取！
Cannot write to parameter DB file '%s'!	無法寫入到參數數據庫文件 '%s'！
Click and drag the mouse vertically to correct image tilt.	點選並垂直拖動鼠標來校正圖片傾斜。
Clipboard Image	剪貼板的圖片
Close	關閉
Close help text display / Close JPEGView	關閉幫助文字顯示/關閉JPEGView
Color Correction	色彩校正
Combine keys with '+'	與 '+' 組合鍵
Confirm	確認
Confirm save default parameters	確認保存默認參數
Conflicting entries in Param DB	參數數據庫中的項目衝突
Continue rename/copy?	是否繼續重命名/複製？
Contrast	對比度
Contrast Correction	對比度校正
Copy file path of the image to clipboard	將圖片的文件路徑複製到剪貼板
Copy screen to clipboard / Copy processed full size image to clipboard	將屏幕複製到剪貼板/將處理後的全尺寸圖片複製到剪貼板
Copying parameter DB to file '%s' failed. Reason: %s	複製參數數據庫到文件 '%s' 失敗。原因: %s
Correct converging lines (perspective correction)	正確的匯聚線（透視校正）
Creation date/time	創建日期/時間
Crop image	裁剪圖片
Crop the image and apply transformation? Cropping cannot be undone!	是否裁剪圖片並應用轉換？裁剪無法被復原！
Ctrl + Left mouse	Ctrl + 鼠標左鍵
Current image	當前圖片
Cyan-Red	青-紅
Darken Highlights	高光變暗
Date	日期
Date placeholders use the modification date of the image.	日期佔位符使用圖片的修改日期。
Day / Month / Year (as numbers)	日/月/年（數字）
Decoding this format requires the Microsoft Visual C++ Redistributable.	解碼此格式需要 Microsoft Visual C++ Redistributable。
Deep Shadows	加深陰影
Delete	刪除
Delete current file on disk permanently	從硬盤永久刪除當前文件
Delete image file	刪除圖片文件
Descending	降序
Display image (EXIF) information	顯示圖片 EXIF 信息
Do you really want to delete the current image file on disk?	您真的想要刪除硬盤上的當前圖片文件嗎？
Do you really want to permanently delete the file %filename%?	您真的想要永久刪除文件 %filename% 嗎？
Do you really want to save the following parameters as default to the INI file	您真的想要將以下參數保存為默認的 INI 文件？
Drag at the left or right border for asymmetric correction.	如要非對稱校正請拖動左邊或右邊的邊框。
EXIF date successfully set on %d images, failed on %d images	%d 個圖片的 EXIF 日期設定成功，%d 個圖片失敗
Edit	編輯
Enable/disable automatic contrast correction (histogram equalization)	啟用/停用自動對比度校正（直方圖均衡）
Enable/disable automatic density correction (local brightness correction)	啟用/停用自動的密度校正（局部亮度校正）
Enable/disable full screen mode	啟用/停用全屏模式
Enable/disable high quality resampling	啟用/停用高品質重取樣
