//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: zh
//: ISO 3166-1 code:
//: Language: Chinese, Simplified (简体中文)
//: Translator(s) - Name <Contact Info/URL>: Based on the traditional Chinese version of 風逸蘭
//: Last Updated:
//: Additional Notes:
//Update:2021/06/28 补全翻译，调整部分原有翻译使其更符合简体中文阅读习惯 by dunkeng
//Update:2022/10/17 by mowumo
//Update:2023/02/11 补全翻译，调整部分原有翻译问题 by dunkeng
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	已重命名 %d 个文件，已复制 %d 个文件，已创建 %d 个文件夹
%s camera raw images (embedded JPEGs only)	%s 相机原始图片（仅嵌入式JPEG）
%s images	%s 图片
%s images (processed by Window Imaging Component - WIC)	%s 图片（由Windows映像组件-WIC处理）
'My Pictures' folder	“图片”文件夹
About JPEGView (32-bit version)...	关于JPEGView（32位版本）...
About JPEGView (64-bit version)...	关于JPEGView（64位版本）...
Acquisition date:	获取日期：
Actual size of image	图片实际大小
Align image to horizontal or vertical line	图片水平或垂直对齐
Alignment:	对齐位置：
All Files	所有文件
All existing user settings will be preserved.	将保留所有现有用户设置。
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	或者，在Windows资源管理器中指定类型的图片文件上点击鼠标右键并选择“打开方式...>选择默认程序”。
Altitude (m):	高度（m）：
Amount	数量
Application:	应用程序：
Applications	应用程序
Apply	应用
Apply Unsharp Mask	应用“USM锐化”
Apply auto contrast correction using only visible section of image	仅可见部份图片应用自动对比度校正
Ascending	升序
Auto contrast and color correction	自动对比度和色彩校正
Auto crop corrected image (avoids black border)	自动裁剪校正后的图片（避免黑边框）
Auto crop rotated image (avoids black border)	自动裁剪旋转后的图片（避免黑边框）
Auto zoom mode	自动缩放模式
Back mouse button	鼠标返回按钮
Batch rename/copy of files	批量重命名/复制文件
Blend	混合
Bottom	下
Box	Box
Brightness	亮度
Browse...	浏览...
C - R	青-红
Camera model:	相机型号：
Can't rename file	无法重命名文件
Cancel	取消
Cannot read from parameter DB file '%s'!	无法读取参数数据库文件 '%s'！
Cannot read parameter DB file '%s' because it is too large!	参数数据库文件 '%s' 过大，无法读取！
Cannot write to parameter DB file '%s'!	无法写入到参数数据库文件 '%s'！
Click and drag the mouse vertically to correct image tilt.	点选并垂直拖动鼠标来校正图片倾斜。
Clipboard Image	剪贴板的图片
Close	关闭
Close help text display / Close JPEGView	关闭帮助文字显示/关闭JPEGView
Color Correction	色彩校正
Combine keys with '+'	与 '+' 组合键
Confirm	确认
Confirm save default parameters	确认保存默认参数
Conflicting entries in Param DB	参数数据库中的项目冲突
Continue rename/copy?	是否继续重命名/复制？
Contrast	对比度
Contrast Correction	对比度校正
Copy file path of the image to clipboard	将图片的文件路径复制到剪贴板
Copy screen to clipboard / Copy processed full size image to clipboard	将屏幕复制到剪贴板/将处理后的全尺寸图片复制到剪贴板
Copying parameter DB to file '%s' failed. Reason: %s	复制参数数据库到文件 '%s' 失败。原因: %s
Correct converging lines (perspective correction)	正确的汇聚线（透视校正）
Creation date/time	创建日期/时间
Crop image	裁剪图片
Crop the image and apply transformation? Cropping cannot be undone!	是否裁剪图片并应用转换？裁剪无法被复原！
Ctrl + Left mouse	Ctrl + 鼠标左键
Current image	当前图片
Cyan-Red	青-红
Darken Highlights	高光变暗
Date	日期
